task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
38;node10;99/37f24c;nf-9937f24ce81c64b3475b4ff68f72bff2;adapter_removal;JK2701_L7;adapter_removal (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180261;1669828197000;1669828198000;17739;1001;-;172.8;0.0;3235840;5615616;3235840;5632000;17804668;3297482;44581;88984;0;1208320;6;0;/data/work/99/37f24ce81c64b3475b4ff68f72bff2;-;-
39;cpu14;d2/7c7cf1;nf-d27c7cf13dc17ed83996d5d06f6f9743;adapter_removal;JK2702_L8;adapter_removal (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180294;1669828193000;1669828194000;13706;931;-;166.1;0.0;3194880;5615616;3194880;5632000;17827118;3327102;43433;89130;0;1183744;6;0;/data/work/d2/7c7cf13dc17ed83996d5d06f6f9743;-;-
78;node8;5c/e27407;nf-5ce2740786234d80773680493a7d0374;adapter_removal;JK2809_L7;adapter_removal (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180445;1669828195000;1669828197000;16555;1451;-;157.4;0.1;95895552;8990535680;95895552;8993239040;21581909;6091068;82086;178123;0;2060288;26979;35;/data/work/5c/e2740786234d80773680493a7d0374;-;-
85;node10;cc/93b988;nf-cc93b988e6f9879d1b9f7a2dd63e6d69;adapter_removal;JK2716_L7;adapter_removal (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180653;1669828194000;1669828197000;16347;3007;-;149.3;0.1;140365824;8990535680;140365824;8993239040;34989863;16349370;203105;444693;0;5632000;72064;70;/data/work/cc/93b988e6f9879d1b9f7a2dd63e6d69;-;-
40;cpu05;35/e321eb;nf-35e321eba1baf4912c6febba9052b3ff;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180324;1669828195000;1669828196000;15676;913;-;163.0;0.0;3203072;5615616;3203072;5632000;17541707;3056841;41121;89090;0;1069056;6;0;/data/work/35/e321eba1baf4912c6febba9052b3ff;-;-
83;node10;16/22b217;nf-1622b217c421e723a4ff93eba483bc7e;adapter_removal;JK2714_L8;adapter_removal (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180593;1669828201000;1669828204000;23407;2567;-;156.2;0.1;168005632;8990535680;168005632;9057427456;30790646;13217047;164539;356345;0;4599808;82741;87;/data/work/16/22b217c421e723a4ff93eba483bc7e;-;-
91;cpu05;4e/1d453a;nf-4e1d453a55f52913b812d61292c68db9;adapter_removal;JK2722_L7;adapter_removal (JK2722_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180840;1669828197000;1669828201000;20160;3802;-;149.5;0.1;198393856;8990535680;198393856;8993239040;43582748;22875015;285785;622542;0;7835648;136461;124;/data/work/4e/1d453a55f52913b812d61292c68db9;-;-
102;node8;a6/e0af7f;nf-a6e0af7f2732f1e1bdeb7f7686b9bc55;adapter_removal;JK2833_L7;adapter_removal (JK2833_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828181204;1669828200000;1669828206000;24796;5100;-;152.9;0.2;281333760;8990535680;281333760;8993239040;53909613;30363155;401510;890373;0;10063872;191165;162;/data/work/a6/e0af7f2732f1e1bdeb7f7686b9bc55;-;-
79;cpu05;6b/1413e7;nf-6b1413e79afe0e4613a71e8f4bde40ce;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180474;1669828190000;1669828192000;11526;1969;-;152.3;0.0;81592320;8990535680;83075072;8993239040;26397134;9823733;125694;266836;0;3383296;19864;24;/data/work/6b/1413e79afe0e4613a71e8f4bde40ce;-;-
81;node10;78/43a2ac;nf-7843a2ace644785add1f0d41ebacef21;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180532;1669828202000;1669828204000;23468;1954;-;158.3;0.1;85078016;8990535680;85078016;8993239040;25623209;9125294;128895;267156;0;3076096;16153;23;/data/work/78/43a2ace644785add1f0d41ebacef21;-;-
120;cpu14;e4/f13550;nf-e4f1355070516c701c26587a4d8f9ce8;adapter_removal;JK2851_L7;adapter_removal (JK2851_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828181743;1669828198000;1669828206000;24257;7871;-;148.5;0.3;460369920;8990539776;460369920;8993239040;78155506;48566477;650440;1424563;0;16093184;371492;410;/data/work/e4/f1355070516c701c26587a4d8f9ce8;-;-
76;cpu14;e7/91fd69;nf-e791fd69f3d2f273572d06a6c84975d1;adapter_removal;JK2707_L7;adapter_removal (JK2707_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669828180385;1669828205000;1669828207000;26615;1533;-;165.6;0.1;93741056;8990535680;93741056;8993239040;22100597;6560737;78132;177912;0;2301952;23007;37;/data/work/e7/91fd69f3d2f273572d06a6c84975d1;-;-
