task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
75;cpu14;a3/cb4fbb;nf-a3cb4fbb8325a53afa3e0cefc294782d;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248700;1669816263000;1669816264000;15300;241;-;102.5;0.0;3256320;5615616;3256320;5632000;701796;455600;158;50;0;462848;6;0;/data/work/a3/cb4fbb8325a53afa3e0cefc294782d;-;-
83;node8;45/37dd41;nf-4537dd41cccc810d6f275b849b8c0e63;adapter_removal;JK2714_L8;adapter_removal (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248981;1669816266000;1669816269000;20019;2542;-;152.0;0.1;163921920;8990535680;163921920;9057427456;30790494;13217065;175908;356344;0;4554752;94785;86;/data/work/45/37dd41cccc810d6f275b849b8c0e63;-;-
89;node10;61/8fd76f;nf-618fd76fee775e109280981d0daf7407;adapter_removal;JK2720_L8;adapter_removal (JK2720_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249127;1669816266000;1669816270000;20873;3502;-;153.7;0.1;211165184;8990535680;211165184;9057427456;39433324;19809930;244598;534486;0;6782976;137334;123;/data/work/61/8fd76fee775e109280981d0daf7407;-;-
46;node8;69/d0a532;nf-69d0a53253331132376b9e03caa51b25;adapter_removal;JK2702_L8;adapter_removal (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248673;1669816269000;1669816270000;21327;1017;-;171.1;0.0;3289088;5615616;3289088;5632000;17826879;3327083;42122;89130;0;1183744;4;3;/data/work/69/d0a53253331132376b9e03caa51b25;-;-
76;node10;e7/696559;nf-e7696559775b5b7218ec34816455d8dc;adapter_removal;JK2707_L7;adapter_removal (JK2707_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248763;1669816258000;1669816260000;11237;1558;-;159.8;0.1;102064128;8990535680;102064128;9057427456;22100629;6560786;83267;177912;0;2281472;26367;32;/data/work/e7/696559775b5b7218ec34816455d8dc;-;-
80;node10;ca/88eb83;nf-ca88eb833ffe1878efc50f8e6afa6d86;adapter_removal;JK2711_L8;adapter_removal (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248887;1669816266000;1669816268000;19113;2120;-;161.6;0.0;81330176;8990535680;81330176;8993239040;26469323;9920435;126158;267274;0;3432448;10939;25;/data/work/ca/88eb833ffe1878efc50f8e6afa6d86;-;-
84;cpu05;ac/9be45e;nf-ac9be45e34621e3cf0b0e7e2df84c7d4;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249014;1669816268000;1669816271000;21986;2509;-;152.9;0.1;166232064;8990535680;166232064;9057427456;29664087;12159147;159332;356183;0;4096000;82569;67;/data/work/ac/9be45e34621e3cf0b0e7e2df84c7d4;-;-
107;cpu14;16/bbdd03;nf-16bbdd0342691adffc7af833b72e3b8c;adapter_removal;JK2738_L8;adapter_removal (JK2738_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249754;1669816266000;1669816272000;22246;6172;-;152.2;0.2;306315264;8990539776;306315264;8993239040;65361046;39588315;496690;1068916;0;13414400;235094;221;/data/work/16/bbdd0342691adffc7af833b72e3b8c;-;-
47;cpu05;41/938bed;nf-41938bedfa6c8577468dda1d885bf715;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248730;1669816273000;1669816274000;25270;954;-;176.4;0.0;3186688;5615616;3186688;5632000;17541710;3056822;41488;89089;0;1097728;6;0;/data/work/41/938bedfa6c8577468dda1d885bf715;-;-
77;node10;e8/64b152;nf-e864b152b31aa7e4c5dc023f27415152;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248793;1669816261000;1669816263000;14207;1660;-;159.2;0.1;92807168;8990535680;92807168;9057427456;22147944;6623896;80079;178202;0;2314240;21145;25;/data/work/e8/64b152b31aa7e4c5dc023f27415152;-;-
81;node10;32/8910bf;nf-328910bf67b755fe796f7b6ffda2677b;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248918;1669816269000;1669816271000;22082;1997;-;156.6;0.1;85327872;8990535680;85327872;9057427456;25623225;9125236;120917;267150;0;3096576;18291;28;/data/work/32/8910bf67b755fe796f7b6ffda2677b;-;-
82;node8;5e/c9dbe2;nf-5ec9dbe2435cc5f27d5c34a52eafe753;adapter_removal;JK2713_L7;adapter_removal (JK2713_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248951;1669816271000;1669816274000;25049;2745;-;154.5;0.1;157241344;8990535680;157241344;9057427456;30693364;13086637;159668;355768;0;4575232;70774;58;/data/work/5e/c9dbe2435cc5f27d5c34a52eafe753;-;-
86;cpu05;7f/90cb8e;nf-7f90cb8e5b54b29ff9d5ba88fddcd3a3;adapter_removal;JK2717_L8;adapter_removal (JK2717_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249042;1669816271000;1669816274000;24958;3095;-;146.2;0.1;137883648;8990535680;137883648;8993239040;35111994;16513565;203974;445416;0;5709824;78555;68;/data/work/7f/90cb8e5b54b29ff9d5ba88fddcd3a3;-;-
92;node8;06/648f42;nf-06648f42c09302130156c9ca44e1d0d0;adapter_removal;JK2723_L8;adapter_removal (JK2723_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249239;1669816274000;1669816278000;28761;4014;-;154.2;0.1;203997184;8990535680;203997184;8993239040;43754413;23106298;289849;623559;0;7913472;120947;117;/data/work/06/648f42c09302130156c9ca44e1d0d0;-;-
45;node8;c0/ec7eb3;nf-c0ec7eb3e62a529ed1b5ece1833fd496;adapter_removal;JK2701_L7;adapter_removal (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248644;1669816274000;1669816275000;26356;1112;-;170.1;0.0;3317760;5689344;3317760;5754880;17804427;3297477;41979;88985;0;1216512;11;4;/data/work/c0/ec7eb3e62a529ed1b5ece1833fd496;-;-
114;cpu14;7e/392978;nf-7e39297889e759de5f40709fd1709b8a;adapter_removal;JK2845_L7;adapter_removal (JK2845_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249956;1669816273000;1669816280000;30044;6869;-;151.0;0.3;402989056;8990539776;402989056;8993239040;70073559;42498589;565437;1246497;0;14102528;320767;286;/data/work/7e/39297889e759de5f40709fd1709b8a;-;-
116;cpu14;2c/02aa4f;nf-2c02aa4fe0d335d773897f187c864bc4;adapter_removal;JK2747_L8;adapter_removal (JK2747_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816250013;1669816271000;1669816279000;28987;7880;-;147.2;0.3;440528896;8990539776;440528896;8993239040;78324855;49477217;621718;1336141;0;16756736;357544;336;/data/work/2c/02aa4fe0d335d773897f187c864bc4;-;-
79;node8;85/906c3a;nf-85906c3ae3997ed3d9c1a7e1a984dad5;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816248855;1669816281000;1669816283000;34145;2049;-;160.1;0.0;83111936;8990535680;83111936;9057427456;26396864;9823682;118692;266838;0;3428352;16987;26;/data/work/85/906c3ae3997ed3d9c1a7e1a984dad5;-;-
85;cpu05;f0/ddc244;nf-f0ddc244c8ef6fa8acee30052fc67dc0;adapter_removal;JK2716_L7;adapter_removal (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249071;1669816278000;1669816281000;31929;2907;-;151.5;0.1;145113088;8993120256;145113088;8993239040;34989870;16349388;206720;444692;0;5627904;77552;73;/data/work/f0/ddc244c8ef6fa8acee30052fc67dc0;-;-
90;cpu05;6b/1fc563;nf-6b1fc56392013d47cb0c7173f5adb309;adapter_removal;JK2821_L7;adapter_removal (JK2821_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249183;1669816275000;1669816279000;29817;3387;-;155.6;0.2;222236672;8990535680;222236672;9057427456;37746057;18227206;239125;534250;0;6103040;132196;112;/data/work/6b/1fc56392013d47cb0c7173f5adb309;-;-
95;cpu05;90/5672be;nf-905672be8695b71d5e0af38b67ca6909;adapter_removal;JK2726_L8;adapter_removal (JK2726_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249331;1669816281000;1669816285000;35669;4372;-;155.9;0.1;202334208;8992149504;202334208;9057427456;48075958;26402897;333964;712630;0;8986624;128488;121;/data/work/90/5672be8695b71d5e0af38b67ca6909;-;-
96;node8;9a/41cda7;nf-9a41cda7039235a896d425bb0d86bf71;adapter_removal;JK2827_L7;adapter_removal (JK2827_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249360;1669816279000;1669816283000;33640;4285;-;150.2;0.1;178728960;8990535680;178728960;8993239040;45827752;24295131;326421;712306;0;8130560;108207;97;/data/work/9a/41cda7039235a896d425bb0d86bf71;-;-
99;node10;85/a03ee1;nf-85a03ee14719e0a4c287de2734358d5e;adapter_removal;JK2830_L7;adapter_removal (JK2830_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249451;1669816272000;1669816276000;26549;4737;-;149.7;0.2;273645568;8990535680;273645568;9057427456;49868917;27329239;353523;801347;0;9068544;195448;183;/data/work/85/a03ee14719e0a4c287de2734358d5e;-;-
112;cpu14;8e/58f3bc;nf-8e58f3bc8869dbf74d075d41378f6dd6;adapter_removal;JK2743_L7;adapter_removal (JK2743_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249901;1669816278000;1669816285000;35099;7360;-;148.7;0.2;347901952;8990539776;347901952;8993239040;73657297;45713714;577319;1245034;0;15552512;281942;244;/data/work/8e/58f3bc8869dbf74d075d41378f6dd6;-;-
113;cpu14;c7/ac96b7;nf-c7ac96b717a487c1fdd2e4e12d55190b;adapter_removal;JK2744_L8;adapter_removal (JK2744_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249930;1669816278000;1669816286000;36070;7583;-;149.9;0.3;357687296;8990539776;357687296;8993239040;74003627;46180946;573890;1247062;0;15659008;257480;265;/data/work/c7/ac96b717a487c1fdd2e4e12d55190b;-;-
7;node8;63/0e0b4c;nf-630e0b4cff903c19a5aa2f968f0a83ab;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669816246470;1669816284000;1669816284000;37530;80;-;44.0;0.0;11243520;19623936;11243520;19640320;764976;1786548;149;13;0;1789952;9;5;/data/work/63/0e0b4cff903c19a5aa2f968f0a83ab;-;-
105;node8;01/f2afcf;nf-01f2afcf7b9d64c57089d307417ab062;adapter_removal;JK2836_L7;adapter_removal (JK2836_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249647;1669816276000;1669816282000;32353;5714;-;148.6;0.2;253652992;8990539776;253652992;9057427456;57950650;33397094;440657;979402;0;11128832;186628;163;/data/work/01/f2afcf7b9d64c57089d307417ab062;-;-
91;node10;5e/96877a;nf-5e96877a696132e2fd2220241b64f8fd;adapter_removal;JK2722_L7;adapter_removal (JK2722_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816249210;1669816284000;1669816288000;38790;4046;-;155.6;0.1;194064384;8990535680;194064384;8993239040;43582761;22875088;276116;622547;0;7872512;110012;102;/data/work/5e/96877a696132e2fd2220241b64f8fd;-;-
118;cpu14;a4/952b3e;nf-a4952b3e1e39425df2f9be2c3538cba1;adapter_removal;JK2749_L7;adapter_removal (JK2749_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669816250068;1669816281000;1669816289000;38932;8244;-;150.6;0.3;446287872;8990539776;446287872;9057427456;82250017;52239193;636563;1422883;0;17788928;324648;328;/data/work/a4/952b3e1e39425df2f9be2c3538cba1;-;-
