task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
42;node10;ce/be44d3;nf-cebe44d36147090953426501a2643a3d;adapter_removal;JK2701_L7;adapter_removal (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857210;1669866867000;1669866868000;10790;954;-;169.9;0.0;3203072;5615616;3203072;5632000;17804706;3297540;44832;88984;0;1183744;5;0;/data/work/ce/be44d36147090953426501a2643a3d;-;-
43;node8;f8/19ca17;nf-f819ca17d60d66a1109187ae69e4ddd6;adapter_removal;JK2702_L8;adapter_removal (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857238;1669866873000;1669866874000;16762;1041;-;172.8;0.0;3330048;5615616;3330048;5632000;17826914;3327111;44671;89131;0;1183744;5;0;/data/work/f8/19ca17d60d66a1109187ae69e4ddd6;-;-
44;cpu14;fc/ea8db0;nf-fcea8db0356c54a25d26b5bbdc413600;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857301;1669866871000;1669866872000;14699;885;-;167.5;0.0;3158016;5615616;3158016;5632000;17541750;3056867;42190;89089;0;1069056;5;0;/data/work/fc/ea8db0356c54a25d26b5bbdc413600;-;-
75;cpu05;a0/66d8f8;nf-a066d8f87af80046ee2e5d1476db85d9;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857329;1669866867000;1669866867000;9671;239;-;104.7;0.0;3252224;5615616;3252224;5632000;701784;455600;158;50;0;462848;5;0;/data/work/a0/66d8f87af80046ee2e5d1476db85d9;-;-
77;node8;c6/e2337b;nf-c6e2337bcffd8a3a2d822aec574d58bf;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857390;1669866880000;1669866882000;24610;1449;-;153.3;0.1;97378304;8990535680;97378304;8993239040;22147727;6623868;82924;178202;0;2289664;31195;38;/data/work/c6/e2337bcffd8a3a2d822aec574d58bf;-;-
85;node10;ca/5176bb;nf-ca5176bb32ef76247a54f17ac9d6974c;adapter_removal;JK2716_L7;adapter_removal (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857598;1669866869000;1669866872000;14402;3029;-;150.4;0.1;149286912;8990535680;149286912;8993239040;34989956;16349517;205419;444693;0;5632000;80038;74;/data/work/ca/5176bb32ef76247a54f17ac9d6974c;-;-
79;cpu05;be/4a993d;nf-be4a993d26eb9ca265a3eb8ad069c9e2;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857449;1669866869000;1669866871000;13551;1992;-;156.8;0.1;88735744;8990535680;88735744;8993239040;26397042;9823602;119240;266836;0;3416064;15409;22;/data/work/be/4a993d26eb9ca265a3eb8ad069c9e2;-;-
81;node8;40/bef4d9;nf-40bef4d9493013cf18fc347cbb89990e;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857511;1669866875000;1669866877000;19489;1941;-;156.2;0.1;87441408;8990535680;87441408;8993239040;25622930;9125204;120764;267152;0;3055616;16457;22;/data/work/40/bef4d9493013cf18fc347cbb89990e;-;-
84;node8;8d/294054;nf-8d294054e21174d05a69caf3d8cfc5ac;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857627;1669866878000;1669866880000;22373;2570;-;153.6;0.1;179355648;8990535680;179355648;8993239040;29663945;12159196;162212;356181;0;4136960;84038;85;/data/work/8d/294054e21174d05a69caf3d8cfc5ac;-;-
88;node10;15/cd83ac;nf-15cd83ac8d03a8ce2c8f30df82fb7ba3;adapter_removal;JK2719_L7;adapter_removal (JK2719_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669866857722;1669866877000;1669866881000;23278;3469;-;151.3;0.1;210210816;8990535680;210210816;9057427456;39286408;19612307;247927;533619;0;6742016;135663;112;/data/work/15/cd83ac8d03a8ce2c8f30df82fb7ba3;-;-
