task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;node10;5b/dfe675;nf-5bdfe6758fb3828bb49eabac87fc5e4e;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669427383949;1669427395000;1669427398000;14051;3000;-;141.9;0.9;1256878080;1868234752;1256878080;1935347712;23572038;7447909;211;698;0;7462912;23;195;/data/work/5b/dfe6758fb3828bb49eabac87fc5e4e;-;-
7;cpu14;cf/7d15ea;nf-cf7d15eaf84348f6016f7fb3a44051e2;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2A;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669427384032;1669427391000;1669427399000;14968;6000;-;162.8;0.2;318128128;4640055296;318214144;4666916864;24902943;3173634;19683;10423;0;3690496;10;1;/data/work/cf/7d15eaf84348f6016f7fb3a44051e2;-;-
2;cpu05;da/3e14ac;nf-da3e14ac5c0aa177a4885397a5d29511;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669427384064;1669427397000;1669427397000;12936;101;-;55.0;0.0;3051520;4071424;3051520;4079616;3321263;6316475;774;426;413696;3170304;2;3;/data/work/da/3e14ac5c0aa177a4885397a5d29511;-;-
9;cpu05;78/e1878c;nf-78e1878c9ef84df8a4375334e8444ded;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669427384102;1669427395000;1669427397000;12898;2000;-;125.1;0.0;39505920;47456256;39505920;47460352;11899394;4118869;210;694;57344;4141056;22;103;/data/work/78/e1878c9ef84df8a4375334e8444ded;-;-
1;node10;9f/6210bb;nf-9f6210bb04ba6d2eef1111d1e98aa64f;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669427384135;1669427397000;1669427398000;13865;0;-;86.3;0.0;2928640;11567104;2928640;11571200;1427213;8406723;463;1452;0;8421376;2;2;/data/work/9f/6210bb04ba6d2eef1111d1e98aa64f;-;-
5;node8;0e/80b83f;nf-0e80b83f84e76cee224f98184c0d6d23;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669427384174;1669427393000;1669427395000;10826;328;-;29.8;0.0;3162112;4071424;3162112;4079616;11101414;18397775;1427;1199;0;9211904;2;1;/data/work/0e/80b83f84e76cee224f98184c0d6d23;-;-
3;cpu14;e0/aacdab;nf-e0aacdabb13c8093935e77b527668163;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669427384212;1669427396000;1669427397000;12788;255;-;87.4;0.0;3067904;4071424;3067904;4079616;33229936;53915506;3561;3600;0;27217920;2;3;/data/work/e0/aacdabb13c8093935e77b527668163;-;-
10;node10;33/d69085;nf-33d6908563f543e551f74999fbfbc455;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669427384248;1669427397000;1669427399000;14752;2000;-;144.7;0.9;1273352192;1887285248;1273352192;1935343616;24281240;7666964;212;699;0;7688192;24;181;/data/work/33/d6908563f543e551f74999fbfbc455;-;-
8;node8;44/85060f;nf-4485060fac2354b3d351a35fb058835e;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669427384282;1669427394000;1669427400000;15718;4000;-;206.0;0.2;261320704;4635860992;263983104;4669317120;28736333;3711222;27351;11176;0;4194304;15;7;/data/work/44/85060fac2354b3d351a35fb058835e;-;-
12;cpu14;86/3e933a;nf-863e933a5520b094f5a7a7ea667c5cb2;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669427384318;1669427394000;1669427399000;14682;4000;-;230.9;0.2;309194752;4640055296;309555200;4666916864;25173619;3157652;20239;10446;0;3735552;10;8;/data/work/86/3e933a5520b094f5a7a7ea667c5cb2;-;-
11;cpu05;de/08a240;nf-de08a2404d5887a018c057dcbe5e342e;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669427384352;1669427396000;1669427398000;13648;2000;-;120.0;0.0;40525824;48062464;40525824;48066560;12746100;4372329;209;695;0;4390912;14;85;/data/work/de/08a2404d5887a018c057dcbe5e342e;-;-
