task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;00/ebd84c;nf-00ebd84cb12eaec5deae564e4176ac8a;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669485353972;1669485361000;1669485362000;8028;244;-;39.7;0.0;3043328;4071424;3043328;4079616;11101687;18397785;1425;1199;0;9211904;2;0;/data/work/00/ebd84cb12eaec5deae564e4176ac8a;-;-
10;node10;18/035dd9;nf-18035dd9288588b689840e490942ee39;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354043;1669485361000;1669485364000;9957;2000;-;143.3;0.9;1270546432;1901768704;1270562816;1935343616;24281241;7666964;212;699;0;7688192;27;177;/data/work/18/035dd9288588b689840e490942ee39;-;-
5;cpu14;0d/aea700;nf-0daea7007f6a83a6acee754c4f7a8d20;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485353748;1669485365000;1669485367000;13252;2000;-;137.2;0.9;1200791552;1398472704;1200791552;1482338304;23572060;7447909;212;698;0;7467008;18;201;/data/work/0d/aea7007f6a83a6acee754c4f7a8d20;-;-
3;cpu05;16/c12f11;nf-16c12f11b4a6a92e72ebe870c7e3ed9b;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669485353794;1669485364000;1669485366000;12206;1000;-;42.6;0.0;2879488;11567104;2879488;11571200;1427214;8406723;463;1452;0;8421376;2;0;/data/work/16/c12f11b4a6a92e72ebe870c7e3ed9b;-;-
7;node8;1c/4f9509;nf-1c4f950980171e1ec2994a90e1539954;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2A;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485353834;1669485362000;1669485368000;14166;4000;-;192.0;0.2;286904320;4640055296;286904320;4669317120;24904770;3173622;19741;10465;0;3616768;14;6;/data/work/1c/4f950980171e1ec2994a90e1539954;-;-
1;node8;9b/ee1256;nf-9bee1256d07d23008709e4368ec1573b;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669485353906;1669485366000;1669485367000;13094;79;-;59.5;0.0;3194880;4071424;3194880;4079616;3321003;6316450;774;426;0;3170304;2;3;/data/work/9b/ee1256d07d23008709e4368ec1573b;-;-
9;node8;b7/157606;nf-b7157606b909862c57e25bcc857804a1;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354008;1669485361000;1669485363000;8992;2000;-;128.1;0.0;39432192;47456256;39432192;47460352;11899154;4118859;208;694;0;4141056;18;106;/data/work/b7/157606b909862c57e25bcc857804a1;-;-
11;node10;6c/e6da29;nf-6ce6da2940b32d209011f55d59b20d5c;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354144;1669485362000;1669485364000;9856;2000;-;129.5;0.0;40468480;48062464;40468480;48066560;12746102;4372329;209;695;0;4390912;14;104;/data/work/6c/e6da2940b32d209011f55d59b20d5c;-;-
14;cpu14;81/a48cfa;nf-81a48cfa1e5523c226f609853ce4e899;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354178;1669485366000;1669485369000;14822;3000;-;141.6;0.9;1265213440;1935343616;1265213440;1935347712;23572054;7447909;211;698;0;7462912;16;190;/data/work/81/a48cfa1e5523c226f609853ce4e899;-;-
17;node10;1c/5dd803;nf-1c5dd80350dd144a262b6a0e04a6e9c7;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354280;1669485364000;1669485369000;14720;4000;-;235.7;0.2;286593024;4635865088;286650368;4695248896;28736071;3711233;27326;11176;0;4149248;10;2;/data/work/1c/5dd80350dd144a262b6a0e04a6e9c7;-;-
6;cpu14;3e/373049;nf-3e3730490608e0bb029c0b2a08e69a97;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485353873;1669485366000;1669485371000;17127;4000;-;264.4;0.2;319258624;4640055296;323010560;4666916864;28533293;3637522;26644;11030;0;4104192;10;8;/data/work/3e/3730490608e0bb029c0b2a08e69a97;-;-
4;cpu05;bc/b55723;nf-bcb55723b9c5cc2d910003697aa46b43;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669485353940;1669485370000;1669485370000;16060;411;-;53.3;0.0;3072000;4071424;3072000;4079616;33229921;53915506;3496;3600;0;27217920;2;3;/data/work/bc/b55723b9c5cc2d910003697aa46b43;-;-
8;cpu05;be/f061b6;nf-bef061b6bc20ac306cc27121b4d96e10;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354078;1669485365000;1669485371000;16922;4000;-;209.9;0.2;322424832;4640055296;327647232;4668325888;28700560;3711232;27315;11134;0;4268032;10;8;/data/work/be/f061b6bc20ac306cc27121b4d96e10;-;-
16;cpu05;ed/ea50da;nf-edea50da076b5b987122e5f2bb9d9654;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2B;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354244;1669485368000;1669485372000;17756;3000;-;248.0;0.2;252334080;4635860992;252334080;4666916864;24901965;3173631;19754;10465;0;3760128;10;4;/data/work/ed/ea50da076b5b987122e5f2bb9d9654;-;-
12;cpu05;a5/65c378;nf-a565c3786db5e90ee7608f34bb9a03c9;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354110;1669485370000;1669485375000;20890;4000;-;220.0;0.2;311025664;4640956416;311980032;4666916864;25140772;3157652;20247;10404;0;3653632;10;2;/data/work/a5/65c3786db5e90ee7608f34bb9a03c9;-;-
13;node8;bd/84e856;nf-bd84e8565b8bf2bd145d3e40cc5d9350;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354215;1669485367000;1669485373000;18785;5000;-;224.7;0.2;319881216;4640055296;322113536;4666920960;28504259;3637513;26757;11030;0;4087808;10;4;/data/work/bd/84e8565b8bf2bd145d3e40cc5d9350;-;-
15;node8;16/0add39;nf-160add391ac6a2d1942d5ef5e4f837ec;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354314;1669485374000;1669485376000;21686;2000;-;130.5;0.0;39727104;47456256;39727104;47460352;11899154;4118859;209;694;0;4141056;9;111;/data/work/16/0add391ac6a2d1942d5ef5e4f837ec;-;-
18;node10;13/bb4d62;nf-13bb4d62117e519bcff3e28a91280d03;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354348;1669485372000;1669485374000;19652;2000;-;145.6;0.4;555540480;1887285248;1270521856;2069561344;24281241;7666964;212;699;0;7688192;18;177;/data/work/13/bb4d62117e519bcff3e28a91280d03;-;-
20;node10;b6/1bf476;nf-b61bf4765fe0316facd3bd0b446076ab;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354381;1669485375000;1669485380000;25619;4000;-;243.8;0.2;316203008;4640055296;320917504;4666916864;25141650;3157652;20165;10488;0;3608576;9;4;/data/work/b6/1bf4765fe0316facd3bd0b446076ab;-;-
21;cpu14;ea/d4e326;nf-ead4e3262bd1284742881b878d2ac2e9;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354414;1669485376000;1669485380000;25586;3000;-;211.7;0.2;335814656;4640055296;338321408;4666916864;28534353;3637522;26789;11030;0;4059136;9;4;/data/work/ea/d4e3262bd1284742881b878d2ac2e9;-;-
19;cpu05;48/282496;nf-482824960cf48eef8adb8861c0154a11;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354446;1669485381000;1669485383000;28554;2000;-;131.5;0.0;40521728;48062464;40521728;48066560;12746102;4372329;210;695;0;4390912;9;100;/data/work/48/2824960cf48eef8adb8861c0154a11;-;-
23;node8;c8/78bfdc;nf-c878bfdcc72c05aea76bd13e04923a33;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669485354479;1669485382000;1669485384000;29521;2000;-;143.6;0.9;1268097024;1901772800;1268113408;2002456576;23571802;7447899;210;698;0;7462912;16;191;/data/work/c8/78bfdcc72c05aea76bd13e04923a33;-;-
25;cpu14;99/30cf1d;nf-9930cf1d6be55ab06d89e993fc281bf1;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354525;1669485381000;1669485385000;30475;3000;-;285.9;0.2;282480640;4643848192;282480640;4666916864;28766035;3711232;27321;11134;0;4104192;9;8;/data/work/99/30cf1d6be55ab06d89e993fc281bf1;-;-
22;cpu05;8c/6c5f35;nf-8c6c5f3557851b924bc0525457ab7316;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2C;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669485354559;1669485384000;1669485388000;33441;3000;-;235.7;0.2;316624896;4640055296;316747776;4668325888;24903774;3173632;19784;10423;0;3567616;9;3;/data/work/8c/6c5f3557851b924bc0525457ab7316;-;-
