task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;node8;8e/d2ee8e;nf-8ed2ee8e5e8b70e2a5ccf748b1b7d803;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2A;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084422;1669426094000;1669426098000;13578;3000;-;233.6;0.2;270245888;4640055296;271581184;4666916864;24902756;3173622;19668;10465;0;3801088;10;3;/data/work/8e/d2ee8e5e8b70e2a5ccf748b1b7d803;-;-
3;cpu14;8c/745aa4;nf-8c745aa44d01f3ceabf42851ee88a582;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669426084465;1669426096000;1669426098000;13535;1000;-;31.8;0.0;2899968;11567104;2899968;11571200;1427229;8406723;463;1452;0;8421376;2;1;/data/work/8c/745aa44d01f3ceabf42851ee88a582;-;-
5;cpu05;e3/5d8456;nf-e35d84565f6df3291d7534f8b72dcbf3;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669426084548;1669426096000;1669426096000;11452;261;-;80.5;0.0;3104768;4071424;3104768;4079616;33229938;53915521;3500;3600;77824;27217920;2;4;/data/work/e3/5d84565f6df3291d7534f8b72dcbf3;-;-
6;node8;52/1deed3;nf-521deed308c945175a56dbcc553cd9a8;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669426084584;1669426097000;1669426097000;12416;291;-;30.1;0.0;3002368;4071424;3002368;4079616;11101413;18397774;1428;1199;0;9211904;2;3;/data/work/52/1deed308c945175a56dbcc553cd9a8;-;-
4;cpu14;4e/d239ae;nf-4ed239ae1799f21ce194768dcafd44a7;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669426084621;1669426095000;1669426098000;13379;3000;-;116.0;0.0;54689792;60657664;54689792;60661760;23572059;7447909;212;698;0;7462912;14;143;/data/work/4e/d239ae1799f21ce194768dcafd44a7;-;-
7;node10;62/620feb;nf-62620feb31c485f491a01de30131f75f;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669426084658;1669426096000;1669426098000;13342;1000;-;129.4;0.0;39493632;47456256;39493632;47460352;11899395;4118869;209;694;0;4141056;17;115;/data/work/62/620feb31c485f491a01de30131f75f;-;-
1;cpu05;22/cde134;nf-22cde134990917a1328491f36143fa6f;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084690;1669426094000;1669426099000;14310;3000;-;203.7;0.2;229826560;4635860992;229826560;4668321792;28500741;3637534;26748;11030;10530816;4136960;70;3;/data/work/22/cde134990917a1328491f36143fa6f;-;-
9;cpu14;79/38c0a4;nf-7938c0a4b165d4c56d1eb5d933d84cd5;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669426084761;1669426095000;1669426098000;13239;3000;-;134.1;0.9;1261854720;1935339520;1261854720;1935343616;24281250;7666964;211;699;0;7688192;18;168;/data/work/79/38c0a4b165d4c56d1eb5d933d84cd5;-;-
12;cpu05;60/29be75;nf-6029be75d204e11da98665b32a162b1f;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669426084831;1669426098000;1669426100000;15169;2000;-;130.5;0.0;40583168;48062464;40583168;48066560;12746099;4372329;210;695;348160;4390912;19;108;/data/work/60/29be75d204e11da98665b32a162b1f;-;-
11;node8;26/9e179d;nf-269e179d0c85cf7fd91e759e4cf06498;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084865;1669426096000;1669426100000;15135;3000;-;246.4;0.2;315371520;4640055296;320319488;4666916864;25142308;3157642;20253;10404;0;3715072;10;6;/data/work/26/9e179d0c85cf7fd91e759e4cf06498;-;-
15;cpu14;99/b757df;nf-99b757df741f541c907d8174499dc2ec;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2B;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084899;1669426093000;1669426099000;14101;4000;-;232.2;0.2;312102912;4640055296;312102912;4666916864;24903426;3173631;19729;10465;0;3624960;10;5;/data/work/99/b757df741f541c907d8174499dc2ec;-;-
2;node10;91/8a7e51;nf-918a7e51a2ff54e59a61ce219030500a;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669426084509;1669426098000;1669426098000;13491;68;-;76.8;0.0;3076096;4071424;3076096;4079616;3321244;6316460;774;426;0;3170304;2;2;/data/work/91/8a7e51a2ff54e59a61ce219030500a;-;-
14;node10;a8/dec8d6;nf-a8dec8d65eb5dd7f872fab0cda20dc0f;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084795;1669426098000;1669426102000;17205;3000;-;228.6;0.2;322850816;4640055296;322850816;4666916864;28536664;3637522;26843;11030;0;4198400;10;7;/data/work/a8/dec8d65eb5dd7f872fab0cda20dc0f;-;-
13;node10;a6/a9c82d;nf-a6a9c82d6f2f299eeb625f9f59ce00cc;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669426084930;1669426100000;1669426103000;18070;3000;-;115.8;0.0;54628352;60657664;54628352;60661760;23572043;7447909;212;698;0;7467008;10;146;/data/work/a6/a9c82d6f2f299eeb625f9f59ce00cc;-;-
10;node8;4b/ab4745;nf-4bab474509f6aa9d39ac7827bded0fbd;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084726;1669426097000;1669426102000;17274;4000;-;240.4;0.2;314228736;4640055296;316080128;4666920960;28735916;3711222;27310;11134;0;4210688;10;8;/data/work/4b/ab474509f6aa9d39ac7827bded0fbd;-;-
17;cpu05;60/faebca;nf-60faebcac686ec9d7bb994fcaeca719c;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669426084972;1669426100000;1669426105000;20028;4000;-;192.1;0.2;308416512;4644175872;308416512;4666916864;28733700;3711233;27336;11134;225280;4100096;10;2;/data/work/60/faebcac686ec9d7bb994fcaeca719c;-;-
16;node8;e8/2f21c8;nf-e82f21c82682fdd21a0e22a977727c15;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669426085004;1669426105000;1669426107000;21996;1000;-;130.9;0.0;39686144;47456256;39686144;47460352;11899139;4118859;209;694;0;4141056;9;103;/data/work/e8/2f21c82682fdd21a0e22a977727c15;-;-
