task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;0b/0ff4c5;nf-0b0ff4c5f473beed2975ddf2a930d54c;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669470138655;1669470152000;1669470153000;14345;676;-;32.0;0.0;3215360;4071424;3215360;4079616;33229920;53915506;3500;3600;0;27217920;2;4;/data/work/0b/0ff4c5f473beed2975ddf2a930d54c;-;-
5;cpu05;12/1087b0;nf-121087b0dba6d5eb5abb4c67fc1d8db1;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669470138758;1669470145000;1669470148000;9242;3000;-;132.8;0.9;1176150016;1398472704;1176150016;1420181504;23572040;7447909;211;698;0;7462912;21;198;/data/work/12/1087b0dba6d5eb5abb4c67fc1d8db1;-;-
3;node8;33/2db9a2;nf-332db9a2e29722b0a5591e84acbb85bf;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669470138827;1669470150000;1669470150000;11173;457;-;19.2;0.0;3084288;4071424;3084288;4079616;11101423;18397774;1428;1199;0;9211904;2;2;/data/work/33/2db9a2e29722b0a5591e84acbb85bf;-;-
9;node10;ea/62a299;nf-ea62a29919d8ff89da7763bd9191b983;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669470138900;1669470147000;1669470152000;13100;4000;-;254.0;0.2;317292544;4640055296;317988864;4666916864;28769359;3711232;27358;11134;0;4120576;10;8;/data/work/ea/62a29919d8ff89da7763bd9191b983;-;-
10;node8;f9/1ccdae;nf-f91ccdae1e4c7628295d5492cf3225be;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669470138936;1669470147000;1669470149000;10064;2000;-;140.8;0.9;1272692736;1834659840;1272725504;1868234752;24280991;7666954;210;699;0;7688192;24;179;/data/work/f9/1ccdae1e4c7628295d5492cf3225be;-;-
14;node10;bd/b1790f;nf-bdb1790fff0dadb8d8e256d8acc18b04;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669470138999;1669470152000;1669470154000;15001;2000;-;141.4;0.9;1267982336;1935343616;1267982336;1935347712;23572038;7447909;211;698;0;7467008;25;191;/data/work/bd/b1790fff0dadb8d8e256d8acc18b04;-;-
13;node8;7e/589caf;nf-7e589caf0be35147cea1fff0e14eb2b7;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669470139031;1669470148000;1669470155000;15969;6000;-;196.0;0.2;303480832;4640055296;303480832;4666916864;28505763;3637513;26874;11030;0;4231168;15;7;/data/work/7e/589caf0be35147cea1fff0e14eb2b7;-;-
17;cpu14;2e/967e53;nf-2e967e530357a5f94ddd268bbb680bbb;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669470139141;1669470148000;1669470151000;11859;3000;-;102.7;0.0;55361536;61227008;55361536;61231104;24281257;7666964;212;699;0;7688192;18;110;/data/work/2e/967e530357a5f94ddd268bbb680bbb;-;-
18;cpu05;26/2beb75;nf-262beb75bd05d3e3f0a807bf5053c816;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669470139173;1669470147000;1669470152000;12827;4000;-;275.8;0.2;281726976;4640165888;281726976;4695248896;28766805;3711233;27259;11176;0;4218880;10;8;/data/work/26/2beb75bd05d3e3f0a807bf5053c816;-;-
21;cpu14;65/7127f4;nf-657127f44ac7aede8e25f2df5068dc16;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669470139272;1669470149000;1669470152000;12728;3000;-;125.4;0.7;959836160;1134403584;959836160;1134407680;23572060;7447909;211;698;0;7462912;14;176;/data/work/65/7127f44ac7aede8e25f2df5068dc16;-;-
