task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;node8;21/f319e1;nf-21f319e1ad2161918cf60957aa2624c9;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669529562245;1669529575000;1669529575000;12755;154;-;55.3;0.0;3190784;4071424;3190784;4079616;11101436;18397775;1427;1199;0;9211904;2;3;/data/work/21/f319e1ad2161918cf60957aa2624c9;-;-
1;cpu14;61/05f4c2;nf-6105f4c29a04f1a06b67cd6aac2b6bd9;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669529562283;1669529574000;1669529576000;13717;1000;-;86.2;0.0;2809856;11567104;2809856;11571200;1427231;8406723;471;1452;0;8421376;2;1;/data/work/61/05f4c29a04f1a06b67cd6aac2b6bd9;-;-
5;node10;1a/e7ef7e;nf-1ae7ef7e2f455efe8390a6bd77881fe9;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669529562404;1669529577000;1669529577000;14596;258;-;90.7;0.0;2994176;4071424;2994176;4079616;33229919;53915506;3504;3600;0;27217920;2;3;/data/work/1a/e7ef7e2f455efe8390a6bd77881fe9;-;-
4;cpu14;83/30e3b3;nf-8330e3b3cdc440be9717bd06becda064;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669529562441;1669529572000;1669529575000;12559;3000;-;144.5;0.9;1266393088;1935343616;1266393088;1935347712;23572055;7447909;211;698;0;7462912;16;189;/data/work/83/30e3b3cdc440be9717bd06becda064;-;-
8;node8;3b/360aca;nf-3b360acab4f8a1530df1ea6d61beec5b;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669529562589;1669529573000;1669529576000;13411;3000;-;125.8;0.9;1247715328;1935339520;1247715328;1935343616;24281007;7666955;211;699;0;7688192;21;174;/data/work/3b/360acab4f8a1530df1ea6d61beec5b;-;-
16;cpu05;dc/090e24;nf-dc090e2457cb650fc4e78154f2dc3a97;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669529562822;1669529572000;1669529578000;15178;5000;-;178.1;0.2;269103104;4637958144;269103104;4666916864;28733598;3711233;27323;11134;6295552;4186112;55;0;/data/work/dc/090e2457cb650fc4e78154f2dc3a97;-;-
23;cpu14;e7/33af49;nf-e733af49aab1abf60a9c7fe63d0bfd2a;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669529562990;1669529571000;1669529574000;11010;3000;-;113.2;0.0;54624256;60657664;54624256;60661760;23572055;7447909;211;698;0;7462912;18;135;/data/work/e7/33af49aab1abf60a9c7fe63d0bfd2a;-;-
6;cpu05;3d/b39a9d;nf-3db39a9dfb107bb215767173808cfab3;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669529562200;1669529578000;1669529579000;16800;490;-;12.0;0.0;3022848;4071424;3022848;4079616;3321265;6316475;774;426;413696;3170304;2;0;/data/work/3d/b39a9dfb107bb215767173808cfab3;-;-
2;cpu05;b4/8092c5;nf-b48092c57d3ae271cd3034767ca75777;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669529562326;1669529575000;1669529580000;17674;4000;-;212.7;0.2;325091328;4640055296;330915840;4666916864;28534807;3637521;26812;11030;0;4165632;10;7;/data/work/b4/8092c57d3ae271cd3034767ca75777;-;-
10;node10;4e/947ed7;nf-4e947ed757ef55ce8a0934bcf51ef4b1;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669529562509;1669529575000;1669529579000;16491;3000;-;267.3;0.2;264572928;4635860992;264572928;4695248896;28766774;3711232;27233;11134;0;4231168;10;5;/data/work/4e/947ed757ef55ce8a0934bcf51ef4b1;-;-
