task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu05;34/c62800;nf-34c628004721598876692884bdf0cec1;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669410999502;1669411006000;1669411008000;8498;2000;-;123.1;0.0;39661568;47456256;39661568;47460352;11899394;4118869;210;694;0;4141056;18;95;/data/work/34/c628004721598876692884bdf0cec1;-;-
2;node10;c2/c0b936;nf-c2c0b936c93432101dd5993115d49ea4;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669410999572;1669411008000;1669411010000;10428;0;-;55.1;0.0;2912256;11567104;2912256;11571200;1427213;8406723;462;1452;0;8421376;2;0;/data/work/c2/c0b936c93432101dd5993115d49ea4;-;-
11;node8;5d/997061;nf-5d997061c3a21de9945be039bafdf555;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669410999797;1669411010000;1669411013000;13203;3000;-;110.3;0.9;1241923584;1767694336;1241939968;1801269248;12745841;4372319;209;695;0;4390912;18;143;/data/work/5d/997061c3a21de9945be039bafdf555;-;-
15;cpu05;33/e17c62;nf-33e17c6272423947ba412a61f2081a79;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669410999930;1669411008000;1669411011000;11070;2000;-;111.9;0.0;39591936;47456256;39591936;47460352;11899393;4118869;209;694;0;4141056;10;80;/data/work/33/e17c6272423947ba412a61f2081a79;-;-
24;cpu05;05/2ca78e;nf-052ca78eb8ba0a70764dd16f4122d614;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2C;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669411000188;1669411007000;1669411012000;11812;3000;-;258.9;0.2;314863616;4640055296;317095936;4666916864;24904280;3173632;19763;10423;4608000;3604480;49;8;/data/work/05/2ca78eb8ba0a70764dd16f4122d614;-;-
27;node10;02/237a35;nf-02237a35ce494b5a5154d15093f75e55;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669411000360;1669411012000;1669411014000;13640;2000;-;127.1;0.0;40435712;48062464;40435712;48066560;12746100;4372329;209;695;0;4395008;16;102;/data/work/02/237a35ce494b5a5154d15093f75e55;-;-
6;node8;42/ff09f2;nf-42ff09f22d084397c2d739c1b855c60c;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669410999649;1669411017000;1669411017000;17351;94;-;67.9;0.0;3051520;4071424;3051520;4079616;3320983;6316450;774;426;0;3170304;4;0;/data/work/42/ff09f22d084397c2d739c1b855c60c;-;-
1;node10;cf/86da7e;nf-cf86da7ef6935a9e8cbc6613d576c351;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669410999687;1669411016000;1669411016000;16313;96;-;87.0;0.0;3104768;4071424;3104768;4079616;11101668;18397784;1428;1199;0;9211904;2;3;/data/work/cf/86da7ef6935a9e8cbc6613d576c351;-;-
12;node8;69/b8ac9d;nf-69b8ac9d8c076c6501d0a6ca4102b531;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669410999832;1669411009000;1669411014000;14168;4000;-;216.9;0.2;295669760;4640055296;297345024;4666920960;25141931;3157643;20238;10404;0;3657728;10;7;/data/work/69/b8ac9d8c076c6501d0a6ca4102b531;-;-
16;cpu14;dc/a955e1;nf-dca955e1787fc52fd0950f2f4af7604e;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2B;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669411000033;1669411011000;1669411016000;15967;4000;-;239.6;0.2;308879360;4640055296;310218752;4666916864;24903814;3173631;19741;10423;0;3633152;10;8;/data/work/dc/a955e1787fc52fd0950f2f4af7604e;-;-
19;node10;cc/efc18d;nf-ccefc18d06d1f3c4720f0e7faf817653;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669411000066;1669411016000;1669411018000;17934;1000;-;132.0;0.0;40607744;48062464;40607744;48066560;12746100;4372329;209;695;0;4390912;12;107;/data/work/cc/efc18d06d1f3c4720f0e7faf817653;-;-
