task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu05;a9/06a618;nf-a906a6188fc0ff97b98bfdf162086ded;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669503666733;1669503676000;1669503676000;9267;104;-;95.9;0.0;3219456;4071424;3219456;4079616;11101669;18397785;1427;1199;0;9211904;2;1;/data/work/a9/06a6188fc0ff97b98bfdf162086ded;-;-
5;cpu14;0c/d06090;nf-0cd0609074d0ec5e21456a2f86944929;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669503666875;1669503676000;1669503676000;9125;97;-;56.6;0.0;2998272;4071424;2998272;4079616;3321260;6316460;774;426;0;3170304;2;1;/data/work/0c/d0609074d0ec5e21456a2f86944929;-;-
6;node8;f7/2e929a;nf-f72e929aae5b2e1b748db88957f4de9d;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669503666605;1669503678000;1669503680000;13395;1000;-;37.7;0.0;2887680;11567104;2887680;11571200;1426977;8406714;461;1452;0;8421376;2;0;/data/work/f7/2e929aae5b2e1b748db88957f4de9d;-;-
9;node10;43/81be6a;nf-4381be6a8a74df824ff114ca92bc89e2;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669503666692;1669503674000;1669503677000;10308;3000;-;82.5;0.0;39661568;47456256;39661568;47460352;11899395;4118868;210;694;0;4141056;18;88;/data/work/43/81be6a8a74df824ff114ca92bc89e2;-;-
3;node10;32/a889b0;nf-32a889b0afe15271a0093d7289abc35e;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669503666775;1669503680000;1669503680000;13225;263;-;84.1;0.0;2895872;4071424;2895872;4079616;33229920;53915506;3542;3600;0;27217920;2;2;/data/work/32/a889b0afe15271a0093d7289abc35e;-;-
12;cpu14;7d/a2bce1;nf-7da2bce15bc2342cdf8739fe139ed664;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669503666989;1669503680000;1669503682000;15011;1000;-;128.6;0.0;40448000;48062464;40448000;48066560;12746117;4372329;210;695;0;4390912;15;97;/data/work/7d/a2bce15bc2342cdf8739fe139ed664;-;-
11;cpu05;5b/04ecb2;nf-5b04ecb25763962fbfeffe980d839521;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669503667019;1669503677000;1669503681000;13981;2000;-;283.4;0.2;299675648;4640055296;299675648;4669079552;25138883;3157652;20141;10446;0;3538944;10;4;/data/work/5b/04ecb25763962fbfeffe980d839521;-;-
16;cpu14;d5/8887fe;nf-d58887fe81972d8f41a5ccc45a3e38c7;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669503667090;1669503677000;1669503679000;11910;2000;-;97.8;0.9;1178615808;1398628352;1178615808;1466687488;11899411;4118868;210;694;0;4141056;18;137;/data/work/d5/8887fe81972d8f41a5ccc45a3e38c7;-;-
15;cpu05;b1/7db7a7;nf-b17db7a74d8eae8774eb8b33d5bba722;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2B;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669503667164;1669503677000;1669503682000;14836;4000;-;201.0;0.2;287248384;4640055296;287248384;4669079552;24902852;3173631;19723;10507;0;3645440;10;2;/data/work/b1/7db7a74d8eae8774eb8b33d5bba722;-;-
20;node10;fa/cc534e;nf-facc534eb474c6d5fb689df1fcbb9530;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669503667265;1669503677000;1669503680000;12735;2000;-;131.0;0.0;40480768;48062464;40480768;48066560;12746102;4372329;211;695;0;4395008;14;103;/data/work/fa/cc534eb474c6d5fb689df1fcbb9530;-;-
