task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
9;node10;b4/276d4b;nf-b4276d4b370b9a3edffb632b7970f8d3;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669423146595;1669423154000;1669423156000;9405;2000;-;128.9;0.0;39612416;47456256;39612416;47460352;11899394;4118869;210;694;0;4141056;14;106;/data/work/b4/276d4b370b9a3edffb632b7970f8d3;-;-
4;cpu14;e6/20b5e4;nf-e620b5e41b6c241e30a1845029adb34b;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669423146641;1669423152000;1669423158000;11359;4000;-;200.4;0.2;314765312;4640055296;319135744;4666916864;28535073;3637522;26789;11072;0;4087808;10;5;/data/work/e6/20b5e41b6c241e30a1845029adb34b;-;-
3;cpu05;91/60f019;nf-9160f01948c0f1384e2c267e251b1041;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669423146680;1669423157000;1669423157000;10320;255;-;87.2;0.0;2932736;4071424;2932736;4079616;33229918;53915506;3490;3600;0;27217920;2;2;/data/work/91/60f01948c0f1384e2c267e251b1041;-;-
6;node8;17/58d21b;nf-1758d21bed5dc1521bfaf8313db1be1d;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669423146710;1669423153000;1669423155000;8290;1000;-;19.7;0.0;10891264;33910784;10891264;33914880;1426957;8406713;461;1452;0;8421376;6;1;/data/work/17/58d21bed5dc1521bfaf8313db1be1d;-;-
2;node8;30/082cd4;nf-30082cd4be267379bbd573616cb43cbe;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669423146764;1669423155000;1669423155000;8236;237;-;28.5;0.0;2924544;4071424;2924544;4079616;3320989;6316450;774;426;0;3170304;2;0;/data/work/30/082cd4be267379bbd573616cb43cbe;-;-
10;node10;bf/c30f44;nf-bfc30f4494702fce811243dbc6d04717;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669423146856;1669423154000;1669423156000;9144;2000;-;146.1;0.9;1271902208;1887285248;1271902208;2002452480;24281234;7666964;211;699;0;7688192;28;187;/data/work/bf/c30f4494702fce811243dbc6d04717;-;-
8;cpu14;f8/2623b8;nf-f82623b83bf45803404b2ea0b6091683;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669423146887;1669423153000;1669423159000;12113;4000;-;280.9;0.2;287117312;4637958144;287117312;4666916864;28767964;3711232;27365;11176;0;4173824;10;8;/data/work/f8/2623b83bf45803404b2ea0b6091683;-;-
11;cpu14;8f/acfaeb;nf-8facfaeb334b2decc5c294593b4890de;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669423146971;1669423155000;1669423158000;11029;3000;-;98.3;0.8;1095360512;1121808384;1095360512;1121812480;12746116;4372328;210;695;0;4390912;14;149;/data/work/8f/acfaeb334b2decc5c294593b4890de;-;-
13;node10;48/7ff774;nf-487ff77441384499dbf43369f53bc02e;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669423146996;1669423153000;1669423158000;11004;4000;-;189.9;0.2;318468096;4640055296;318910464;4666916864;28537689;3637522;26896;11030;0;4071424;10;6;/data/work/48/7ff77441384499dbf43369f53bc02e;-;-
1;cpu05;22/2f4181;nf-222f41811965b02aa390fa287bcbf087;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669423146738;1669423158000;1669423159000;12262;932;-;9.6;0.0;2928640;4071424;2928640;4079616;11101667;18397783;1428;1199;0;9211904;2;3;/data/work/22/2f41811965b02aa390fa287bcbf087;-;-
