task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;ec/fe62d4;nf-ecfe62d4b87c626789694c5aa9199da2;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669435599652;1669435610000;1669435610000;10348;241;-;23.9;0.0;3186688;4071424;3186688;4079616;3321261;6316460;774;426;0;3170304;2;3;/data/work/ec/fe62d4b87c626789694c5aa9199da2;-;-
5;node10;fe/ddcc02;nf-feddcc02a25e7b29123545c134b2e55e;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669435599755;1669435611000;1669435612000;12245;0;-;69.5;0.0;2768896;11567104;2768896;11571200;1427213;8406723;466;1452;0;8421376;2;2;/data/work/fe/ddcc02a25e7b29123545c134b2e55e;-;-
10;cpu05;57/b66523;nf-57b6652313baf362e04b71e202abed1b;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669435599899;1669435607000;1669435611000;11101;2000;-;145.3;0.9;1269211136;1820176384;1269211136;1935343616;24281234;7666964;211;699;270336;7688192;38;174;/data/work/57/b6652313baf362e04b71e202abed1b;-;-
13;cpu05;f9/4b74bd;nf-f94b74bdc3dacb9e1b2a6e2d0916f93b;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669435599935;1669435608000;1669435610000;10065;2000;-;128.9;0.0;40419328;48062464;40419328;48066560;12746102;4372329;210;695;0;4390912;14;105;/data/work/f9/4b74bdc3dacb9e1b2a6e2d0916f93b;-;-
12;node10;4d/64dddf;nf-4d64dddf633377809514283132b55fcd;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669435599972;1669435609000;1669435614000;14028;4000;-;225.7;0.2;317624320;4644347904;317624320;4666920960;28503333;3637522;26809;11030;0;4235264;10;6;/data/work/4d/64dddf633377809514283132b55fcd;-;-
18;node10;70/0b1d25;nf-700b1d25a226530a20231ed50726e9a6;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669435600142;1669435608000;1669435611000;10858;3000;-;119.0;0.4;500862976;1134972928;500862976;1134977024;24281240;7666964;212;699;0;7688192;18;142;/data/work/70/0b1d25a226530a20231ed50726e9a6;-;-
21;cpu14;99/cc5668;nf-99cc56683fe38b523bb7df9cc125f318;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669435600208;1669435609000;1669435614000;13792;4000;-;221.3;0.2;317747200;4644372480;317747200;4666916864;28534864;3637522;26834;11114;0;4272128;10;7;/data/work/99/cc56683fe38b523bb7df9cc125f318;-;-
24;node8;3c/454510;nf-3c454510879fc038e5703d88c1bcac4a;NFCORE_MAG:MAG:FASTP;test_minigut_sample2C;NFCORE_MAG:MAG:FASTP (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669435600370;1669435613000;1669435616000;15630;3000;-;99.6;0.9;1220636672;1801281536;1220636672;1868394496;11899142;4118858;209;694;0;4141056;20;151;/data/work/3c/454510879fc038e5703d88c1bcac4a;-;-
27;cpu14;98/c66e67;nf-98c66e67041ec50ecb14df85d9f30b54;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669435600404;1669435612000;1669435614000;13596;2000;-;145.3;0.9;1273503744;1893376000;1273511936;2069561344;24281256;7666964;212;699;0;7688192;30;169;/data/work/98/c66e67041ec50ecb14df85d9f30b54;-;-
3;cpu14;99/1bf132;nf-991bf132ae274e1c60c2520950d4c816;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669435599535;1669435612000;1669435616000;16465;3000;-;252.9;0.2;323997696;4640055296;324923392;4669079552;28503275;3637522;26868;11030;0;4112384;10;8;/data/work/99/1bf132ae274e1c60c2520950d4c816;-;-
