task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu05;ae/ab61ad;nf-aeab61ada4c626d4550c703f87126398;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669432791683;1669432803000;1669432803000;11317;260;-;78.3;0.0;3043328;4071424;3043328;4079616;33229939;53915521;3509;3600;77824;27217920;2;2;/data/work/ae/ab61ada4c626d4550c703f87126398;-;-
5;node10;7d/77e24e;nf-7d77e24ec4a8f8920acd94839f26071c;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669432791765;1669432805000;1669432805000;13235;95;-;56.5;0.0;2965504;4071424;2965504;4079616;3321244;6316460;774;426;0;3170304;3;3;/data/work/7d/77e24ec4a8f8920acd94839f26071c;-;-
1;cpu14;e8/1be409;nf-e81be409dd6b9980917d39e96fea0139;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669432791806;1669432802000;1669432804000;12194;0;-;56.8;0.0;2895872;11567104;2895872;11571200;1427229;8406723;462;1452;0;8421376;2;2;/data/work/e8/1be409dd6b9980917d39e96fea0139;-;-
6;node10;7a/a14651;nf-7aa1465145840448fbc8bc8aee088094;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669432791840;1669432802000;1669432802000;10160;178;-;48.2;0.0;3014656;4071424;3014656;4079616;11101669;18397784;1427;1199;0;9211904;2;0;/data/work/7a/a1465145840448fbc8bc8aee088094;-;-
9;cpu05;15/3b9fe8;nf-153b9fe8f758febcf95e3a2c6784d1dd;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669432791975;1669432801000;1669432804000;12025;3000;-;114.2;0.3;367538176;1134972928;367538176;1134977024;24281239;7666964;211;699;0;7688192;14;152;/data/work/15/3b9fe8f758febcf95e3a2c6784d1dd;-;-
15;node8;af/f7c619;nf-aff7c619234068ba125be859338be92d;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669432792109;1669432801000;1669432803000;10891;2000;-;123.9;0.0;39682048;47456256;39682048;47460352;11899142;4118859;209;694;0;4141056;14;110;/data/work/af/f7c619234068ba125be859338be92d;-;-
14;cpu14;a3/e1bcec;nf-a3e1bcec67016c52966163fde241d139;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669432792178;1669432799000;1669432804000;11822;4000;-;251.9;0.2;282472448;4637958144;282472448;4695248896;28502895;3637522;26814;11114;0;4210688;10;3;/data/work/a3/e1bcec67016c52966163fde241d139;-;-
18;cpu14;40/f805ea;nf-40f805eaba51166ece4a7e03505d7bff;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669432792309;1669432800000;1669432805000;12691;4000;-;237.2;0.2;318689280;4640055296;318750720;4666916864;28765561;3711233;27279;11134;0;4186112;10;2;/data/work/40/f805eaba51166ece4a7e03505d7bff;-;-
25;node8;fb/5ba5ee;nf-fb5ba5ee798b854686d78096256f2d31;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2C;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669432792439;1669432801000;1669432806000;13561;4000;-;219.6;0.2;317681664;4640055296;318251008;4669079552;24906168;3173622;19848;10465;0;3604480;11;6;/data/work/fb/5ba5ee798b854686d78096256f2d31;-;-
26;node8;e8/8ccf1e;nf-e88ccf1e7cd43bd1ad3e00574f3a89f9;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669432792534;1669432800000;1669432805000;12466;4000;-;202.5;0.2;314445824;4640055296;316387328;4666916864;28734891;3711222;27330;11218;0;4136960;10;2;/data/work/e8/8ccf1e7cd43bd1ad3e00574f3a89f9;-;-
