task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;17/5c93a3;nf-175c93a3e0e016f978ad1e96d0760352;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669464587259;1669464602000;1669464602000;14741;204;-;43.2;0.0;3039232;4071424;3039232;4079616;11101670;18397784;1425;1199;0;9211904;2;2;/data/work/17/5c93a3e0e016f978ad1e96d0760352;-;-
4;node8;fb/bedb15;nf-fbbedb152c177d07ad5107cb6266ef46;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669464587382;1669464600000;1669464600000;12618;75;-;72.5;0.0;3026944;4071424;3026944;4079616;3320995;6316450;773;426;0;3170304;2;2;/data/work/fb/bedb152c177d07ad5107cb6266ef46;-;-
2;cpu14;18/cc9522;nf-18cc95229a06e39dd1c1e39b724ac804;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669464587422;1669464599000;1669464600000;12578;251;-;89.1;0.0;3014656;4071424;3014656;4079616;33229935;53915506;3538;3600;0;27217920;2;3;/data/work/18/cc95229a06e39dd1c1e39b724ac804;-;-
5;cpu14;f3/a70cd2;nf-f3a70cd2474a9ff9c85754f4560354a1;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669464587454;1669464600000;1669464602000;14546;2000;-;140.6;0.9;1260339200;1868234752;1260339200;1868238848;23572055;7447909;211;698;0;7467008;20;197;/data/work/f3/a70cd2474a9ff9c85754f4560354a1;-;-
3;cpu05;de/c63e9d;nf-dec63e9d3af1f118a727756c21a97402;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669464587525;1669464600000;1669464601000;13475;0;-;91.5;0.0;2883584;11567104;2883584;11571200;1427214;8406723;463;1452;0;8421376;2;2;/data/work/de/c63e9d3af1f118a727756c21a97402;-;-
8;cpu14;7b/761276;nf-7b761276b062f1f07521b93dff94cf95;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669464587555;1669464598000;1669464603000;15445;3000;-;227.5;0.2;306565120;4640055296;307105792;4666916864;28733734;3711232;27334;11134;0;4259840;10;2;/data/work/7b/761276b062f1f07521b93dff94cf95;-;-
10;node8;93/6dd974;nf-936dd9748da879ef6a530d42821dc564;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669464587587;1669464600000;1669464603000;15413;2000;-;130.0;0.9;1252921344;1935339520;1252921344;1935343616;24280992;7666954;210;699;0;7688192;15;177;/data/work/93/6dd9748da879ef6a530d42821dc564;-;-
12;node10;bd/617daf;nf-bd617daf975a867b17932a6ad38538b8;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669464587622;1669464597000;1669464599000;11378;2000;-;127.8;0.0;40472576;48062464;40472576;48066560;12746101;4372329;210;695;0;4390912;18;91;/data/work/bd/617daf975a867b17932a6ad38538b8;-;-
16;node8;dd/20dc2a;nf-dd20dc2a40f11924f1d6c8bea85a659c;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669464587764;1669464600000;1669464602000;14236;2000;-;129.6;0.0;39645184;47456256;39645184;47460352;11899147;4118859;209;694;0;4141056;15;176;/data/work/dd/20dc2a40f11924f1d6c8bea85a659c;-;-
20;cpu05;67/64ded1;nf-6764ded1274428083a1ac284327599e1;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669464587893;1669464599000;1669464601000;13107;2000;-;116.3;0.0;40443904;48062464;40443904;48066560;12746103;4372329;211;695;0;4390912;18;80;/data/work/67/64ded1274428083a1ac284327599e1;-;-
