task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;52/fd026f;nf-52fd026fb6c997f011ad6493e5fd31ad;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669522676832;1669522686000;1669522687000;10168;602;-;18.1;0.0;3182592;4071424;3182592;4079616;11101670;18397785;1426;1199;0;9211904;2;2;/data/work/52/fd026fb6c997f011ad6493e5fd31ad;-;-
3;node8;da/44d174;nf-da44d1741f4aea75e03f567a274890de;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669522676735;1669522688000;1669522689000;12265;251;-;89.5;0.0;3104768;4071424;3104768;4079616;33229686;53915497;3519;3600;0;27217920;2;4;/data/work/da/44d1741f4aea75e03f567a274890de;-;-
5;node10;3f/4b5bc0;nf-3f4b5bc060ad097303ffb6ad6ea9e6e0;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522676769;1669522683000;1669522686000;9231;3000;-;112.5;0.0;54693888;60657664;54693888;60661760;23572032;7447909;211;698;0;7462912;18;145;/data/work/3f/4b5bc060ad097303ffb6ad6ea9e6e0;-;-
9;node8;e3/8d4636;nf-e38d4636e4eea5b349a0c0fda875eacb;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522676802;1669522685000;1669522687000;10198;2000;-;128.1;0.0;39538688;47456256;39538688;47460352;11899162;4118860;209;694;0;4141056;18;90;/data/work/e3/8d4636e4eea5b349a0c0fda875eacb;-;-
10;cpu05;8e/941ce1;nf-8e941ce1e8112045907eeca035afefb3;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522676971;1669522685000;1669522687000;10029;2000;-;142.1;0.9;1272168448;1893376000;1272176640;1935343616;24281241;7666964;212;699;0;7688192;28;169;/data/work/8e/941ce1e8112045907eeca035afefb3;-;-
13;cpu14;2f/19b99b;nf-2f19b99bcfa92bb4636e7ebe5e1801ad;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522677006;1669522689000;1669522692000;14994;2000;-;130.5;0.0;40427520;48062464;40427520;48066560;12746118;4372329;210;695;0;4390912;10;102;/data/work/2f/19b99bcfa92bb4636e7ebe5e1801ad;-;-
14;node10;5a/5ab8c1;nf-5a5ab8c195724bea630a02c092450493;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522677078;1669522685000;1669522688000;10922;3000;-;140.9;0.9;1261240320;1935343616;1261240320;1935347712;23572037;7447909;211;698;0;7462912;16;192;/data/work/5a/5ab8c195724bea630a02c092450493;-;-
18;cpu05;5b/907ff1;nf-5b907ff1eb358113c62093c53b583866;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522677215;1669522688000;1669522691000;13785;3000;-;150.3;0.9;1273589760;1887285248;1273589760;1935343616;24281240;7666964;212;699;0;7692288;32;176;/data/work/5b/907ff1eb358113c62093c53b583866;-;-
20;cpu14;4e/8b1eb2;nf-4e8b1eb2f93759074dec0b9306b953fa;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522677312;1669522688000;1669522690000;12688;2000;-;127.7;0.0;40349696;48062464;40349696;48066560;12746118;4372329;210;695;0;4390912;18;103;/data/work/4e/8b1eb2f93759074dec0b9306b953fa;-;-
23;node10;f5/d2cc22;nf-f5d2cc22638eaf6c337e9b5e02691bdc;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669522677345;1669522687000;1669522690000;12655;3000;-;137.5;0.9;1250865152;1801125888;1250865152;1801129984;23572032;7447909;210;698;0;7467008;16;191;/data/work/f5/d2cc22638eaf6c337e9b5e02691bdc;-;-
