task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
18;node8;35/fc2a8d;nf-35fc2a8d355383c2510209faf8179a01;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961200;1669475967000;1669475970000;8800;2000;-;143.0;0.9;1272287232;1887285248;1272287232;1935343616;24280995;7666954;211;699;0;7688192;29;188;/data/work/35/fc2a8d355383c2510209faf8179a01;-;-
28;node10;58/e2263f;nf-58e2263f11b8ef787fdb0914bbc5669e;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961495;1669475967000;1669475969000;7505;1000;-;132.8;0.0;40415232;48062464;40415232;48066560;12746101;4372329;210;695;0;4390912;18;107;/data/work/58/e2263f11b8ef787fdb0914bbc5669e;-;-
14;node8;10/7f6f1e;nf-107f6f1e66788f1acb3fec1d22694554;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961048;1669475969000;1669475972000;10952;2000;-;141.9;0.9;1262981120;1935343616;1262981120;1935347712;23571798;7447899;211;698;0;7462912;18;191;/data/work/10/7f6f1e66788f1acb3fec1d22694554;-;-
16;cpu05;27/2c0815;nf-272c0815616598a9b796dfb69c733092;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961091;1669475973000;1669475975000;13909;2000;-;128.4;0.0;39555072;47456256;39555072;47460352;11899397;4118869;210;694;0;4141056;18;106;/data/work/27/2c0815616598a9b796dfb69c733092;-;-
21;cpu14;b0/d01a7b;nf-b0d01a7bf4e058e3577206b42b81616f;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961233;1669475969000;1669475971000;9767;2000;-;127.9;0.0;40554496;48062464;40554496;48066560;12746118;4372329;209;695;0;4390912;18;110;/data/work/b0/d01a7bf4e058e3577206b42b81616f;-;-
22;node8;7a/ce60e0;nf-7ace60e0042dbb320fb480a7d30e9356;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961335;1669475971000;1669475974000;12665;3000;-;142.2;0.9;1256808448;1868234752;1256808448;1868238848;23571792;7447899;210;698;0;7467008;14;191;/data/work/7a/ce60e0042dbb320fb480a7d30e9356;-;-
25;cpu14;49/0fb978;nf-490fb9784d35ffe24a84a06dc5ca3e4a;NFCORE_MAG:MAG:FASTP;test_minigut_sample2C;NFCORE_MAG:MAG:FASTP (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961367;1669475971000;1669475972000;10633;1000;-;129.4;0.0;39653376;47456256;39653376;47460352;11899412;4118869;210;694;0;4141056;15;105;/data/work/49/0fb9784d35ffe24a84a06dc5ca3e4a;-;-
26;node10;0a/4a86f7;nf-0a4a86f723bb69d09c042b57bc69578a;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475961462;1669475971000;1669475974000;12538;3000;-;143.9;0.9;1270026240;1887285248;1270026240;2069561344;24281241;7666964;213;699;0;7692288;24;174;/data/work/0a/4a86f723bb69d09c042b57bc69578a;-;-
1;cpu14;fc/dd4606;nf-fcdd460625fedfe72ee803c37d20d7c1;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669475960621;1669475973000;1669475973000;12379;241;-;87.5;0.0;3059712;4071424;3059712;4079616;33229935;53915506;3544;3600;0;27217920;2;2;/data/work/fc/dd460625fedfe72ee803c37d20d7c1;-;-
7;node10;3b/0aef24;nf-3b0aef2482238016edb5ef7de64fe15b;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669475960698;1669475970000;1669475972000;11302;2000;-;126.2;0.0;39653376;47456256;39653376;47460352;11899395;4118869;210;694;0;4141056;14;99;/data/work/3b/0aef2482238016edb5ef7de64fe15b;-;-
