task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
10;cpu14;fd/6c4eaf;nf-fd6c4eaf8658c1154cc8a9f79cda07b1;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419391773;1669419398000;1669419401000;9227;2000;-;143.2;0.9;1274220544;1885523968;1274220544;1935343616;24281256;7666964;213;699;0;7688192;27;176;/data/work/fd/6c4eaf8658c1154cc8a9f79cda07b1;-;-
15;node10;0e/04ecd7;nf-0e04ecd702733d106c238a05893bc4a4;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419391947;1669419398000;1669419400000;8053;1000;-;130.5;0.0;39673856;47456256;39673856;47460352;11899395;4118869;210;694;0;4141056;18;90;/data/work/0e/04ecd702733d106c238a05893bc4a4;-;-
25;cpu14;05/ebb851;nf-05ebb85154c700d7d4aaedd341fba618;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419392258;1669419399000;1669419402000;9742;2000;-;114.3;0.2;214085632;1134972928;214085632;1134977024;24281256;7666964;212;699;0;7688192;10;133;/data/work/05/ebb85154c700d7d4aaedd341fba618;-;-
7;cpu05;73/cce5c3;nf-73cce5c32289bff57c85ee6e601897a5;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419391594;1669419403000;1669419405000;13406;2000;-;99.7;0.9;1211838464;1801281536;1211838464;1868394496;11899393;4118868;210;694;0;4141056;20;159;/data/work/73/cce5c32289bff57c85ee6e601897a5;-;-
3;cpu05;c6/0a10c2;nf-c60a10c203d4e61d2a40e5b904a07a64;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669419391627;1669419402000;1669419402000;10373;77;-;58.2;0.0;2985984;4071424;2985984;4079616;3321264;6316475;773;426;413696;3170304;2;2;/data/work/c6/0a10c203d4e61d2a40e5b904a07a64;-;-
6;cpu05;13/87506c;nf-1387506c3a12e84d2a33ff1b8086c9f3;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419391666;1669419401000;1669419404000;12334;2000;-;142.9;0.9;1271967744;1901772800;1271967744;2002456576;23572037;7447909;211;698;0;7462912;25;187;/data/work/13/87506c3a12e84d2a33ff1b8086c9f3;-;-
11;node10;48/6211f9;nf-486211f93b37c9332e15c6af71b746c5;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419391837;1669419402000;1669419404000;12163;2000;-;132.1;0.0;40513536;48062464;40513536;48066560;12746101;4372329;210;695;0;4395008;10;96;/data/work/48/6211f93b37c9332e15c6af71b746c5;-;-
17;cpu14;a0/9dbc13;nf-a09dbc13d8e0ae6e2f1b63816a945cf7;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419392026;1669419401000;1669419403000;10974;2000;-;144.8;0.4;530984960;1887285248;1273966592;2069561344;24281256;7666964;212;699;0;7688192;25;174;/data/work/a0/9dbc13d8e0ae6e2f1b63816a945cf7;-;-
20;node10;d2/7ccf37;nf-d27ccf37bd29c90a3d28efad03a2f44f;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419392127;1669419400000;1669419402000;9873;2000;-;128.4;0.0;40505344;48062464;40505344;48066560;12746101;4372329;211;695;0;4390912;14;100;/data/work/d2/7ccf37bd29c90a3d28efad03a2f44f;-;-
21;cpu05;92/01c5c2;nf-9201c5c222eeb58d0da4d58a5fb2dd84;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669419392160;1669419401000;1669419404000;11840;3000;-;142.3;0.9;1247469568;1868234752;1247469568;1935347712;23572037;7447909;211;698;450560;7462912;28;195;/data/work/92/01c5c222eeb58d0da4d58a5fb2dd84;-;-
