task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;node8;52/c8bd3f;nf-52c8bd3f0d58e0395e6e66bf5e14f74d;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669398695816;1669398703000;1669398705000;9184;1000;-;59.1;0.0;2973696;11567104;2973696;11571200;1426944;8406713;461;1452;0;8421376;2;0;/data/work/52/c8bd3f0d58e0395e6e66bf5e14f74d;-;-
2;cpu05;f7/6a3e08;nf-f76a3e0865b28180b0914cedac2d0f0f;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398695894;1669398704000;1669398706000;10106;2000;-;140.3;0.9;1271369728;1901772800;1271414784;1935347712;23572037;7447909;211;698;0;7462912;17;181;/data/work/f7/6a3e0865b28180b0914cedac2d0f0f;-;-
15;node10;50/87393a;nf-5087393a70e5a70069021ca590126333;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696324;1669398702000;1669398704000;7676;2000;-;128.5;0.0;39653376;47456256;39653376;47460352;11899394;4118869;210;694;0;4141056;18;108;/data/work/50/87393a70e5a70069021ca590126333;-;-
20;node10;e6/d2cdb4;nf-e6d2cdb4dc344f2a5cc11a808a120865;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696450;1669398703000;1669398705000;8550;2000;-;119.6;0.0;40357888;48062464;40357888;48066560;12746100;4372329;210;695;0;4390912;14;87;/data/work/e6/d2cdb4dc344f2a5cc11a808a120865;-;-
22;cpu05;f9/205364;nf-f9205364548c030a0afb6307c2f00103;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696512;1669398702000;1669398705000;8488;3000;-;141.9;0.9;1264041984;1935343616;1264041984;2002456576;23572036;7447909;210;698;0;7462912;23;203;/data/work/f9/205364548c030a0afb6307c2f00103;-;-
7;cpu05;e6/d44d9c;nf-e6d44d9ca5e69c9a27c38033d4d157bd;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398695770;1669398706000;1669398708000;12230;2000;-;128.8;0.0;39530496;47456256;39530496;47460352;11899393;4118869;209;694;0;4145152;14;95;/data/work/e6/d44d9ca5e69c9a27c38033d4d157bd;-;-
5;node8;44/5e394b;nf-445e394b2abfec0f637ec5322924739b;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669398695999;1669398707000;1669398708000;12001;91;-;60.0;0.0;2965504;4071424;2965504;4079616;3320976;6316450;774;426;0;3170304;2;2;/data/work/44/5e394b2abfec0f637ec5322924739b;-;-
4;cpu14;ae/a0935e;nf-aea0935e2533f672b7853ea12d2d50ab;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669398696035;1669398708000;1669398709000;12965;252;-;83.5;0.0;3100672;4071424;3100672;4079616;33229935;53915506;3536;3600;0;27217920;2;2;/data/work/ae/a0935e2533f672b7853ea12d2d50ab;-;-
9;cpu14;58/ae5942;nf-58ae59427daf83852e6be31f0162f265;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696072;1669398708000;1669398710000;13928;2000;-;144.7;0.9;1274642432;1753067520;1274642432;1868234752;24281245;7666964;210;699;0;7688192;23;178;/data/work/58/ae59427daf83852e6be31f0162f265;-;-
11;cpu14;54/32649b;nf-5432649b67032f8783acf530b1926eb7;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696182;1669398705000;1669398707000;10818;2000;-;127.9;0.0;40411136;48062464;40411136;48066560;12746117;4372329;210;695;0;4390912;19;96;/data/work/54/32649b67032f8783acf530b1926eb7;-;-
26;node10;22/4b5fb7;nf-224b5fb7672b0396650de5d33948dfb4;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696647;1669398705000;1669398708000;11353;2000;-;138.1;0.9;1271373824;1935339520;1271373824;2069561344;24281238;7666964;212;699;0;7692288;18;164;/data/work/22/4b5fb7672b0396650de5d33948dfb4;-;-
28;node8;48/3aa9e1;nf-483aa9e1453bf0493635b1fdf70dcd3f;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696723;1669398708000;1669398710000;13277;2000;-;132.0;0.0;40460288;48062464;40460288;48066560;12745833;4372319;209;695;0;4395008;15;114;/data/work/48/3aa9e1453bf0493635b1fdf70dcd3f;-;-
6;cpu14;bd/02c7af;nf-bd02c7af5b6eb735121e5249772c329f;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669398695964;1669398710000;1669398712000;16036;1132;-;8.8;0.0;2920448;4071424;2920448;4079616;11101685;18397784;1420;1199;0;9211904;2;0;/data/work/bd/02c7af5b6eb735121e5249772c329f;-;-
18;cpu14;7b/74b68c;nf-7b74b68c126acef29ec51a347ba90f24;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696390;1669398713000;1669398715000;18610;2000;-;145.1;0.5;698605568;1887285248;1274396672;1935343616;24281256;7666964;212;699;0;7688192;30;174;/data/work/7b/74b68c126acef29ec51a347ba90f24;-;-
13;node8;f8/fbd08e;nf-f8fbd08ee8bc2ff6708b1d19f2c2a5cc;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669398696250;1669398709000;1669398712000;15750;2000;-;123.0;0.1;163663872;1134403584;163663872;1134407680;23571770;7447899;209;698;0;7462912;14;155;/data/work/f8/fbd08ee8bc2ff6708b1d19f2c2a5cc;-;-
8;cpu05;30/a59d60;nf-30a59d6040765a24f453224295eed73e;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2A;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669398695854;1669398714000;1669398719000;23146;4000;-;220.1;0.2;303636480;4640055296;304144384;4669321216;24903673;3173632;19796;10423;3211264;3547136;29;6;/data/work/30/a59d6040765a24f453224295eed73e;-;-
1;cpu05;13/6fb7b4;nf-136fb7b4f43e19ba13ff8e9315e04eda;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669398695932;1669398720000;1669398724000;28068;3000;-;276.1;0.2;274771968;4637958144;274771968;4669317120;28502307;3637522;26852;11030;0;4026368;9;3;/data/work/13/6fb7b4f43e19ba13ff8e9315e04eda;-;-
10;cpu14;a8/3435b7;nf-a83435b72809724dd779e858b5b3bd26;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669398696108;1669398719000;1669398723000;26892;3000;-;239.9;0.2;313102336;4640055296;313978880;4668321792;28766549;3711232;27349;11134;0;4083712;9;3;/data/work/a8/3435b72809724dd779e858b5b3bd26;-;-
14;node8;b9/4cd974;nf-b94cd9746695d7c06e15a41743fb0577;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669398696217;1669398720000;1669398724000;27783;3000;-;247.0;0.2;322203648;4640055296;322805760;4666920960;28537412;3637512;26847;11030;0;4055040;9;7;/data/work/b9/4cd9746695d7c06e15a41743fb0577;-;-
