task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;node8;7c/5d9f97;nf-7c5d9f97a0fa77072140aa97cab299d0;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669430026282;1669430037000;1669430037000;10718;105;-;44.4;0.0;3043328;4071424;3043328;4079616;3320990;6316450;774;426;0;3170304;2;0;/data/work/7c/5d9f97a0fa77072140aa97cab299d0;-;-
2;node10;fa/a05932;nf-faa0593210d6d18ecff410c8537b1ab7;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669430026321;1669430039000;1669430040000;13679;216;-;98.3;0.0;3084288;4071424;3084288;4079616;33229919;53915506;3495;3600;0;27217920;4;2;/data/work/fa/a0593210d6d18ecff410c8537b1ab7;-;-
5;cpu14;bb/66606d;nf-bb66606d7ab7cc5a8a95010eb4600dac;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669430026465;1669430037000;1669430039000;12535;1000;-;83.1;0.0;2932736;11567104;2932736;11571200;1427228;8406723;462;1452;0;8421376;2;2;/data/work/bb/66606d7ab7cc5a8a95010eb4600dac;-;-
8;node8;db/1630e0;nf-db1630e0543d54077fe18474bfe47855;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026501;1669430035000;1669430037000;10499;2000;-;116.5;0.0;39600128;47456256;39600128;47460352;11899141;4118859;209;694;0;4141056;10;79;/data/work/db/1630e0543d54077fe18474bfe47855;-;-
10;node10;b3/d86a89;nf-b3d86a89bb0472cf5c359e5c8bb4783f;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026540;1669430038000;1669430041000;14460;3000;-;146.9;0.9;1273737216;1887285248;1273737216;2069561344;24281239;7666964;212;699;0;7688192;25;175;/data/work/b3/d86a89bb0472cf5c359e5c8bb4783f;-;-
11;cpu05;bb/df470d;nf-bbdf470d0f541a13ce529567a40248f0;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026644;1669430033000;1669430035000;8356;2000;-;131.9;0.0;40271872;48062464;40271872;48066560;12746119;4372344;210;695;368640;4390912;23;101;/data/work/bb/df470d0f541a13ce529567a40248f0;-;-
14;cpu14;64/7652db;nf-647652dba41b6ca1149028d39ed4e507;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026707;1669430034000;1669430037000;10293;3000;-;123.7;0.4;521498624;1134403584;521498624;1134407680;23572059;7447909;212;698;0;7462912;18;160;/data/work/64/7652dba41b6ca1149028d39ed4e507;-;-
15;node8;60/9980cd;nf-609980cd3fbae4b70c082e73728c684d;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026806;1669430033000;1669430035000;8194;2000;-;131.9;0.0;39591936;47456256;39591936;47460352;11899141;4118859;208;694;0;4141056;18;114;/data/work/60/9980cd3fbae4b70c082e73728c684d;-;-
18;node10;38/8a1ad4;nf-388a1ad45b15d0cc81cc6a62cf03b00e;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026876;1669430037000;1669430040000;13124;3000;-;143.8;0.9;1270267904;1901768704;1270300672;1935343616;24281235;7666964;212;699;0;7688192;24;177;/data/work/38/8a1ad45b15d0cc81cc6a62cf03b00e;-;-
20;cpu05;6d/db0e08;nf-6ddb0e0848d35c660b88dc406e9f603b;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669430026941;1669430035000;1669430038000;11059;3000;-;113.5;0.6;787681280;1752309760;1244327936;1868378112;12746100;4372329;210;695;0;4390912;19;154;/data/work/6d/db0e0848d35c660b88dc406e9f603b;-;-
