task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;4d/02af8c;nf-4d02af8cb7bcca52d8c12dbd31fb0f05;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670159990879;1670159996000;1670159997000;6121;0;-;66.9;0.0;2895872;11567104;2895872;11571200;688913;12080;244;18;815104;20480;3;0;/data/work/4d/02af8cb7bcca52d8c12dbd31fb0f05;-;-
11;cpu05;f1/0c443e;nf-f10c443ed906d88ad21a07cc8b0391de;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670159999438;1670160012000;1670160012000;12562;0;-;68.6;0.0;3178496;5632000;3178496;5636096;136880;5532;227;19;0;12288;4;0;/data/work/f1/0c443ed906d88ad21a07cc8b0391de;-;-
18;cpu14;6a/2fc8c5;nf-6a2fc8c5f283948a8d4ebeb25fd84481;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670159999751;1670160010000;1670160010000;10249;0;-;89.5;0.0;3186688;5632000;3186688;5636096;136897;5532;227;19;0;12288;4;1;/data/work/6a/2fc8c5f283948a8d4ebeb25fd84481;-;-
19;cpu14;7e/e94c99;nf-7ee94c99a2633b44a77159c18aae9550;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670159999878;1670160008000;1670160008000;8122;0;-;81.5;0.0;3264512;5632000;3264512;5636096;136898;5532;227;19;0;12288;4;1;/data/work/7e/e94c99a2633b44a77159c18aae9550;-;-
10;node8;c9/d048b8;nf-c9d048b84d8c8e5f60eb574dbe6d2e4a;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670159999470;1670160015000;1670160015000;15530;0;-;85.3;0.0;3289088;5632000;3289088;5636096;136679;5523;226;19;0;12288;4;4;/data/work/c9/d048b84d8c8e5f60eb574dbe6d2e4a;-;-
12;cpu14;30/d73bb1;nf-30d73bb14a2b866e1821267f6026757d;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670159999504;1670160012000;1670160012000;12496;0;-;85.9;0.0;3272704;5632000;3272704;5636096;140786;5814;237;20;0;16384;5;1;/data/work/30/d73bb14a2b866e1821267f6026757d;-;-
13;node10;46/684f51;nf-46684f514d686241f4d7d1f59bb55983;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670159999681;1670160015000;1670160015000;15319;0;-;100.8;0.0;3383296;5632000;3383296;5636096;136876;5533;227;19;0;12288;4;0;/data/work/46/684f514d686241f4d7d1f59bb55983;-;-
20;node10;35/1992dc;nf-351992dce7c830336516776a3170b8ce;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input06_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input06_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670159999722;1670160011000;1670160016000;16278;3000;-;152.7;0.2;259309568;4576530432;259309568;4627087360;21130652;2342005;11441;6378;0;2625536;10;6;/data/work/35/1992dce7c830336516776a3170b8ce;-;-
2;node8;42/597269;nf-42597269cb33ee21d75893afff57fbb3;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670159999247;1670160010000;1670160018000;18753;8000;-;35.1;0.6;1758756864;32933298176;1770213376;54214979584;47592143;643213;6140;113;0;602112;1455;299;/data/work/42/597269cb33ee21d75893afff57fbb3;-;-
3;cpu05;21/ff479e;nf-21ff479e50ec6651f61c340ef6b14c3f;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670159999324;1670160016000;1670160020000;20676;3000;-;215.1;0.2;264380416;4571893760;267460608;4627087360;21099938;2041103;11451;5942;0;2412544;10;2;/data/work/21/ff479e50ec6651f61c340ef6b14c3f;-;-
