task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;5e/f3e3c5;nf-5ef3e3c56324fcf940504e9b0cfa22e6;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670196712017;1670196716000;1670196718000;5983;0;-;60.5;0.0;2920448;11567104;2920448;11571200;689110;12089;245;18;0;20480;2;0;/data/work/5e/f3e3c56324fcf940504e9b0cfa22e6;-;-
8;node8;7c/da1f36;nf-7cda1f36bd861de1ebe3164a6ca41bc7;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670196720647;1670196732000;1670196732000;11353;0;-;67.1;0.0;3284992;5632000;3284992;5636096;136684;5523;226;19;0;12288;4;3;/data/work/7c/da1f36bd861de1ebe3164a6ca41bc7;-;-
10;node10;bc/ec091c;nf-bcec091c4f1c1179a1d43882699bf8c3;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670196720613;1670196737000;1670196737000;16387;0;-;85.9;0.0;3330048;5632000;3330048;5636096;136877;5532;227;19;0;12288;4;3;/data/work/bc/ec091c4f1c1179a1d43882699bf8c3;-;-
14;node10;b4/e662c8;nf-b4e662c8a0e374b2dd4597988a35efee;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input04_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input04_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670196720748;1670196732000;1670196736000;15252;3000;-;212.5;0.2;255291392;4571893760;256368640;4627087360;21130200;2342005;11399;6399;0;2625536;10;2;/data/work/b4/e662c8a0e374b2dd4597988a35efee;-;-
5;node8;69/699ddb;nf-69699ddb698726b619b97ce013b5aafd;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input02_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input02_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670196720367;1670196730000;1670196737000;16633;7000;-;35.4;0.6;1760063488;32892370944;1771814912;54173528064;47512139;622253;6152;113;0;593920;1527;287;/data/work/69/699ddb698726b619b97ce013b5aafd;-;-
3;cpu05;bc/bc341e;nf-bcbc341ea1aae9946c68950fa67184f5;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670196720408;1670196733000;1670196741000;20592;8000;-;33.3;0.6;1846996992;33408077824;1861767168;54802059264;47592355;643233;6141;113;0;602112;1816;341;/data/work/bc/bc341ea1aae9946c68950fa67184f5;-;-
4;cpu14;04/009f80;nf-04009f8033ff6c1caa39effd4e66b3ae;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input02_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input02_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670196720443;1670196736000;1670196740000;19557;3000;-;206.1;0.2;258355200;4571893760;259432448;4627087360;21128861;2342005;11412;6378;0;2600960;10;9;/data/work/04/009f8033ff6c1caa39effd4e66b3ae;-;-
2;node10;a1/ee849f;nf-a1ee849f802d6dcd111c9500fd47f1e7;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670196720477;1670196734000;1670196738000;17523;3000;-;210.4;0.2;271630336;4576661504;271630336;4627087360;21102254;2041103;11507;5942;0;2400256;10;7;/data/work/a1/ee849f802d6dcd111c9500fd47f1e7;-;-
6;node8;98/17a420;nf-9817a4203b5d1dea51b7b2535d630a12;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670196720510;1670196734000;1670196741000;20490;7000;-;37.3;0.6;1769570304;32885551104;1781047296;54165307392;47592200;643252;6139;113;0;602112;1466;286;/data/work/98/17a4203b5d1dea51b7b2535d630a12;-;-
9;cpu05;e2/fddb2a;nf-e2fddb2a8d8f43a19d8d0bf26e52974e;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670196720548;1670196739000;1670196739000;18452;0;-;85.3;0.0;3272704;5632000;3272704;5636096;140768;5814;237;20;0;16384;4;1;/data/work/e2/fddb2a8d8f43a19d8d0bf26e52974e;-;-
7;cpu05;2b/28f85a;nf-2b28f85ac7001bd741a10e81836aa02a;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670196720677;1670196736000;1670196740000;19323;2000;-;215.1;0.2;228032512;4571893760;228032512;4627087360;21100619;2041103;11515;5963;0;2457600;11;7;/data/work/2b/28f85ac7001bd741a10e81836aa02a;-;-
