task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;f0/7bc3e7;nf-f07bc3e7d42a6e2c8140eaccabae1fe3;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670186914505;1670186917000;1670186918000;3495;0;-;62.3;0.0;3010560;11567104;3010560;11571200;689109;12089;245;18;0;20480;4;0;/data/work/f0/7bc3e7d42a6e2c8140eaccabae1fe3;-;-
7;cpu05;e8/2b3571;nf-e82b3571e9ddd9122a8389c9fc8c783a;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670186923873;1670186936000;1670186940000;16127;2000;-;214.0;0.2;254197760;4571893760;255262720;4627087360;21100095;2041103;11465;5942;0;2285568;10;7;/data/work/e8/2b3571e9ddd9122a8389c9fc8c783a;-;-
31;cpu14;4c/c14d9f;nf-4cc14d9f346489f04d139b0e699b7a80;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input11_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input11_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670186924688;1670186937000;1670186941000;16312;2000;-;207.5;0.2;211046400;4569796608;211046400;4627087360;21101253;2041103;11571;5942;0;2449408;10;8;/data/work/4c/c14d9f346489f04d139b0e699b7a80;-;-
15;cpu14;07/53cb6e;nf-0753cb6ef5f4377d56dd3d3700422ce2;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670186923954;1670186939000;1670186942000;18046;2000;-;212.0;0.2;265363456;4571893760;269279232;4627087360;21099959;2041104;11451;5942;0;2404352;10;8;/data/work/07/53cb6ef5f4377d56dd3d3700422ce2;-;-
17;node10;49/decf40;nf-49decf408b3cebd4727ea35b87bd7b34;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input07_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input07_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670186924136;1670186937000;1670186944000;19864;7000;-;35.7;0.6;1761931264;32909172736;1773473792;54181937152;47592516;643356;6141;113;0;602112;1474;295;/data/work/49/decf408b3cebd4727ea35b87bd7b34;-;-
21;node10;21/5d9f4c;nf-215d9f4c9c3609539cea2156c25201b5;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input07_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input07_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670186924167;1670186942000;1670186946000;21833;3000;-;222.0;0.2;259182592;4571893760;259182592;4627087360;21101537;2041104;11441;5942;0;2433024;10;8;/data/work/21/5d9f4c9c3609539cea2156c25201b5;-;-
25;cpu05;46/de2ad5;nf-46de2ad5686b5c4de516297a7f0dc843;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input09_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input09_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670186924502;1670186936000;1670186940000;15498;2000;-;209.6;0.2;251092992;4571897856;253095936;4627087360;21100400;2041103;11495;5942;0;2289664;11;7;/data/work/46/de2ad5686b5c4de516297a7f0dc843;-;-
3;node10;a4/b22f86;nf-a4b22f863f92fb183362aee98063e013;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670186923495;1670186939000;1670186947000;23505;8000;-;36.8;0.6;1766830080;32916516864;1777954816;54198591488;47592500;643346;6141;113;0;602112;1432;318;/data/work/a4/b22f863f92fb183362aee98063e013;-;-
2;node8;a9/bba151;nf-a9bba1513cc18a8bcb1508ace06fdf4a;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670186923577;1670186944000;1670186948000;24423;3000;-;206.2;0.1;203907072;4567699456;204701696;4627087360;21102019;2041094;11500;5942;0;2469888;10;8;/data/work/a9/bba1513cc18a8bcb1508ace06fdf4a;-;-
6;cpu14;a1/d611e7;nf-a1d611e7608e31f15038728a16dbd8d5;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670186923695;1670186939000;1670186947000;23305;8000;-;32.8;0.6;1771859968;33000267776;1781972992;54344892416;47592437;643280;6141;113;0;606208;1433;338;/data/work/a1/d611e7608e31f15038728a16dbd8d5;-;-
