task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;35/7959f7;nf-357959f714b176dd7430360a0461eca2;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670240090072;1670240101000;1670240115000;24928;5000;-;1.4;0.0;2879488;11567104;2879488;11571200;689132;12088;245;18;0;20480;2;1;/data/work/35/7959f714b176dd7430360a0461eca2;-;-
6;cpu14;78/e63783;nf-78e6378370e9cc597ab71c77da4d8c64;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670240118721;1670240132000;1670240135000;16279;2000;-;194.1;0.2;215969792;4567699456;216313856;4598755328;21100116;2041103;11470;5942;0;2338816;10;9;/data/work/78/e6378370e9cc597ab71c77da4d8c64;-;-
27;node8;bd/23dc09;nf-bd23dc097d2fb3dc0b7f1e537ff60d86;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input09_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input09_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670240119394;1670240130000;1670240135000;15606;3000;-;180.6;0.1;194965504;4567699456;194965504;4627087360;21102371;2041094;11532;5942;0;2392064;10;1;/data/work/bd/23dc097d2fb3dc0b7f1e537ff60d86;-;-
2;node10;73/f41d33;nf-73f41d33c670a98bdf3efebeb0006950;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670240118548;1670240136000;1670240139000;20452;2000;-;209.8;0.2;250642432;4571893760;251101184;4627087360;21102392;2041103;11523;5942;0;2371584;10;9;/data/work/73/f41d33c670a98bdf3efebeb0006950;-;-
13;cpu05;e7/f476b0;nf-e7f476b08b786b1917412e6b3bca9d47;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670240118855;1670240131000;1670240139000;20145;7000;-;36.8;0.6;1761857536;32899723264;1773355008;54181928960;47592528;643360;6141;113;0;602112;1428;299;/data/work/e7/f476b08b786b1917412e6b3bca9d47;-;-
15;node10;7e/4c3d7b;nf-7e4c3d7b56000e24dc5edce2392affcb;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670240118957;1670240134000;1670240138000;19043;3000;-;202.7;0.2;207536128;4569796608;207536128;4600164352;21102595;2041105;11539;5942;0;2412544;10;8;/data/work/7e/4c3d7b56000e24dc5edce2392affcb;-;-
19;node8;dd/536ccd;nf-dd536ccdfcded578604e50245f0aca36;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input07_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input07_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670240119023;1670240133000;1670240140000;20977;7000;-;36.6;0.6;1768206336;32909168640;1779789824;54190325760;47592306;643326;6140;113;0;606208;1439;300;/data/work/dd/536ccdfcded578604e50245f0aca36;-;-
21;cpu14;3f/05b447;nf-3f05b447c82047e075d0eee85502931d;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input07_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input07_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670240119189;1670240133000;1670240137000;17811;3000;-;211.2;0.2;265482240;4571897856;267481088;4627087360;21100206;2041104;11475;5942;0;2285568;10;6;/data/work/3f/05b447c82047e075d0eee85502931d;-;-
26;cpu05;fb/416c44;nf-fb416c44c4f818c3f9cf0f981cce53d5;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input09_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input09_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670240119328;1670240130000;1670240138000;18672;7000;-;33.7;0.6;1773101056;32986259456;1783341056;54330810368;47592435;643294;6141;113;0;602112;1419;337;/data/work/fb/416c44c4f818c3f9cf0f981cce53d5;-;-
33;cpu05;de/457d53;nf-de457d53e7e139bf9dc87e96b30a3b1f;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input11_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input11_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670240119587;1670240135000;1670240139000;19413;2000;-;217.7;0.2;225521664;4571893760;225521664;4627087360;21101009;2041103;11549;5942;0;2326528;10;8;/data/work/de/457d53e7e139bf9dc87e96b30a3b1f;-;-
