task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;74/a147c5;nf-74a147c56d79499e12b6d2fb038c5436;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670189407979;1670189410000;1670189411000;3021;0;-;54.8;0.0;2904064;11567104;2904064;11571200;689110;12089;245;18;0;20480;3;0;/data/work/74/a147c56d79499e12b6d2fb038c5436;-;-
8;cpu14;33/31e6e2;nf-3331e6e21a45dc975952ad1857d17925;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189418843;1670189433000;1670189433000;14157;0;-;97.0;0.0;3252224;5632000;3252224;5636096;136898;5532;227;19;0;12288;3;2;/data/work/33/31e6e21a45dc975952ad1857d17925;-;-
47;node10;61/0818ce;nf-610818cea47d3b5bb14f9e3073860d19;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189420103;1670189434000;1670189434000;13897;0;-;92.1;0.0;3334144;5632000;3334144;5636096;136877;5532;227;19;0;12288;3;1;/data/work/61/0818cea47d3b5bb14f9e3073860d19;-;-
10;node10;3c/5bd054;nf-3c5bd054213a20ca7f65400c1b68a9e6;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670189418707;1670189436000;1670189436000;17293;0;-;90.1;0.0;3330048;5632000;3330048;5636096;140765;5814;237;20;0;16384;5;4;/data/work/3c/5bd054213a20ca7f65400c1b68a9e6;-;-
18;node8;9d/68f918;nf-9d68f918ac3f928a1e6e8ce9d54a7e36;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189419056;1670189439000;1670189440000;20944;0;-;90.1;0.0;3219456;5632000;3219456;5636096;136684;5523;226;19;0;12288;3;0;/data/work/9d/68f918ac3f928a1e6e8ce9d54a7e36;-;-
19;cpu14;95/a904bb;nf-95a904bb5bdc9d6546034a69126ce3c9;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189419195;1670189435000;1670189435000;15805;0;-;116.4;0.0;3325952;5632000;3325952;5636096;136899;5533;227;19;0;12288;4;1;/data/work/95/a904bb5bdc9d6546034a69126ce3c9;-;-
24;cpu05;4a/b5dfe7;nf-4ab5dfe7f147f8f3196aa5516615bbf8;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189419226;1670189438000;1670189438000;18774;0;-;94.8;0.0;3321856;5632000;3321856;5636096;136880;5532;227;19;0;12288;3;0;/data/work/4a/b5dfe7f147f8f3196aa5516615bbf8;-;-
41;cpu14;b6/84bfb6;nf-b684bfb69d66ea20d9e01f88480ac04a;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189419916;1670189435000;1670189435000;15084;0;-;93.4;0.0;3284992;5632000;3284992;5636096;136898;5532;227;19;0;12288;4;1;/data/work/b6/84bfb69d66ea20d9e01f88480ac04a;-;-
59;node10;c2/e5a538;nf-c2e5a538aa9e22adc873b9b2c24570aa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189420470;1670189437000;1670189437000;16530;0;-;90.8;0.0;3334144;5632000;3334144;5636096;136876;5532;227;19;0;12288;4;0;/data/work/c2/e5a538aa9e22adc873b9b2c24570aa;-;-
9;node8;95/1812ac;nf-951812ac74671ddc05e8ee5f7d665fb5;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670189418806;1670189440000;1670189440000;21194;0;-;105.8;0.0;3272704;5632000;3272704;5636096;136686;5524;226;19;0;12288;4;0;/data/work/95/1812ac74671ddc05e8ee5f7d665fb5;-;-
