task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;a0/3eb8a3;nf-a03eb8a3f85e4cced778ec350b196cfd;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670224628736;1670224636000;1670224655000;26264;10000;-;0.7;0.0;2875392;11567104;2875392;11571200;689130;12087;245;18;0;20480;2;1;/data/work/a0/3eb8a3f85e4cced778ec350b196cfd;-;-
10;node10;6c/104c02;nf-6c104c02ff8e4f9db04ba72124b6225e;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224657321;1670224671000;1670224671000;13679;0;-;95.5;0.0;3383296;5632000;3383296;5636096;136877;5532;227;19;0;12288;4;3;/data/work/6c/104c02ff8e4f9db04ba72124b6225e;-;-
12;cpu14;af/527515;nf-af5275151ba61062670ea74ff427d560;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224657541;1670224672000;1670224672000;14459;0;-;67.6;0.0;3309568;5632000;3309568;5636096;136898;5532;227;19;0;12288;4;0;/data/work/af/5275151ba61062670ea74ff427d560;-;-
18;node10;66/f1361c;nf-66f1361c562d203eb84973fdd507780c;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224657747;1670224671000;1670224671000;13253;0;-;56.1;0.0;3256320;5632000;3256320;5636096;136877;5532;227;19;1024000;12288;4;3;/data/work/66/f1361c562d203eb84973fdd507780c;-;-
34;node8;53/ec6cad;nf-53ec6cad0e4b797193e32855e375c498;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658279;1670224675000;1670224675000;16721;0;-;98.5;0.0;3162112;5632000;3162112;5636096;136685;5523;226;19;0;12288;4;0;/data/work/53/ec6cad0e4b797193e32855e375c498;-;-
36;cpu14;0c/700ad2;nf-0c700ad2dfb4b107ac0d47102432b24b;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658403;1670224674000;1670224675000;16597;0;-;71.1;0.0;3297280;5632000;3297280;5636096;136899;5532;227;19;0;12288;4;1;/data/work/0c/700ad2dfb4b107ac0d47102432b24b;-;-
46;node8;f5/37f85c;nf-f537f85c1988e011824596193132225c;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658646;1670224674000;1670224674000;15354;0;-;84.8;0.0;3289088;5632000;3289088;5636096;136686;5523;226;19;0;12288;4;0;/data/work/f5/37f85c1988e011824596193132225c;-;-
82;node8;e4/8b85e1;nf-e48b85e151da703125918e48990e241c;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224659734;1670224675000;1670224675000;15266;0;-;93.4;0.0;3289088;5632000;3289088;5636096;136685;5523;226;19;0;12288;4;0;/data/work/e4/8b85e151da703125918e48990e241c;-;-
11;cpu05;4f/facb5d;nf-4ffacb5ddc73596efe068ef98e17dd0d;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224657287;1670224677000;1670224677000;19713;0;-;90.1;0.0;3248128;5632000;3248128;5636096;136881;5532;227;19;0;12288;4;0;/data/work/4f/facb5ddc73596efe068ef98e17dd0d;-;-
17;cpu05;f4/d12be4;nf-f4d12be4d0c806522b879f74b8c0bc91;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224657578;1670224678000;1670224678000;20422;0;-;78.7;0.0;3268608;5632000;3268608;5636096;136880;5532;227;19;0;12288;4;0;/data/work/f4/d12be4d0c806522b879f74b8c0bc91;-;-
23;node8;a1/33ed1b;nf-a133ed1b42c5ded9eb5661b8a9cba0cb;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224657780;1670224677000;1670224677000;19220;0;-;95.5;0.0;3256320;5632000;3256320;5636096;136686;5523;226;19;0;12288;4;1;/data/work/a1/33ed1b42c5ded9eb5661b8a9cba0cb;-;-
40;cpu05;c1/dde780;nf-c1dde780fb561874eed0e7b7f71e48de;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658464;1670224679000;1670224679000;20536;0;-;105.8;0.0;3301376;5632000;3301376;5636096;136882;5533;227;19;0;12288;5;0;/data/work/c1/dde780fb561874eed0e7b7f71e48de;-;-
42;node10;d1/438725;nf-d1438725eb2425eb61279f073a9b3139;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658589;1670224676000;1670224676000;17411;0;-;92.8;0.0;3252224;5632000;3252224;5636096;136877;5532;227;19;0;12288;4;0;/data/work/d1/438725eb2425eb61279f073a9b3139;-;-
54;node10;71/c24f13;nf-71c24f1307a959b4b9c8b1ce113ca998;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658939;1670224676000;1670224676000;17061;0;-;91.4;0.0;3289088;5632000;3289088;5636096;136877;5532;227;19;0;12288;4;1;/data/work/71/c24f1307a959b4b9c8b1ce113ca998;-;-
60;cpu14;b1/f2ea93;nf-b1f2ea9357be30a8aafc877a1ff029c4;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224659111;1670224677000;1670224677000;17889;0;-;91.4;0.0;3207168;5632000;3207168;5636096;136899;5532;227;19;0;12288;4;0;/data/work/b1/f2ea9357be30a8aafc877a1ff029c4;-;-
9;node8;8b/10d3fa;nf-8b10d3fadfe59d3c2d6da94d2eab895b;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670224657395;1670224678000;1670224678000;20605;0;-;92.8;0.0;3301376;5632000;3301376;5636096;140574;5805;236;20;0;16384;4;0;/data/work/8b/10d3fadfe59d3c2d6da94d2eab895b;-;-
24;cpu14;39/07a250;nf-3907a2509ede97f4743db548d553d6c5;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658013;1670224679000;1670224679000;20987;0;-;94.1;0.0;3215360;5632000;3215360;5636096;136899;5532;227;19;0;12288;4;0;/data/work/39/07a2509ede97f4743db548d553d6c5;-;-
52;cpu05;48/16590e;nf-4816590ee19d59926db1e83b5d196db0;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224658821;1670224681000;1670224681000;22179;0;-;103.2;0.0;3235840;5632000;3235840;5636096;136882;5533;227;19;0;12288;4;0;/data/work/48/16590ee19d59926db1e83b5d196db0;-;-
72;cpu14;f5/65f7c4;nf-f565f7c42d53478a239609e9737f5ac6;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670224659480;1670224682000;1670224682000;22520;0;-;90.1;0.0;3219456;5632000;3219456;5636096;136899;5532;227;19;0;12288;4;0;/data/work/f5/65f7c42d53478a239609e9737f5ac6;-;-
