task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;2c/6dd8af;nf-2c6dd8afb20271ff11271e9641d12283;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670202324189;1670202333000;1670202354000;29811;10000;-;0.8;0.0;2912256;11567104;2912256;11571200;689108;12087;245;18;0;20480;2;0;/data/work/2c/6dd8afb20271ff11271e9641d12283;-;-
18;node8;10/26495a;nf-1026495acfc0cde2d19ec73fa0ea2873;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670202359338;1670202368000;1670202368000;8662;0;-;81.0;0.0;3280896;5632000;3280896;5636096;136685;5523;226;19;0;12288;4;1;/data/work/10/26495acfc0cde2d19ec73fa0ea2873;-;-
31;node10;fe/d44066;nf-fed4406666a4a3627075f555f5500bff;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670202359998;1670202373000;1670202373000;13002;0;-;86.5;0.0;3264512;5632000;3264512;5636096;136876;5532;227;19;0;12288;3;4;/data/work/fe/d4406666a4a3627075f555f5500bff;-;-
42;cpu14;4c/f84e6a;nf-4cf84e6a84935f240b26c116e6a74932;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670202360371;1670202373000;1670202373000;12629;0;-;85.9;0.0;3244032;5632000;3244032;5636096;136899;5532;227;19;0;12288;4;0;/data/work/4c/f84e6a84935f240b26c116e6a74932;-;-
50;cpu05;5a/a950c2;nf-5aa950c2bd7f08151d13651659d74831;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input16_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input16_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670202360519;1670202368000;1670202374000;13481;3000;-;179.6;0.2;265191424;4571893760;265359360;4627087360;21128861;2342006;11435;6378;0;2633728;10;6;/data/work/5a/a950c2bd7f08151d13651659d74831;-;-
76;node8;d8/dde960;nf-d8dde960fef0fa350aa55c83e67b3751;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input35_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input35_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670202361367;1670202370000;1670202376000;14633;3000;-;153.9;0.2;259481600;4571893760;260558848;4627087360;21102096;2041095;11504;5942;0;2326528;10;6;/data/work/d8/dde960fef0fa350aa55c83e67b3751;-;-
93;cpu05;7e/3b98e3;nf-7e3b98e31bccc34444e9d07c7d705625;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input40_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input40_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670202361762;1670202373000;1670202376000;14238;2000;-;212.4;0.2;258543616;4571893760;259760128;4627087360;21128916;2342006;11441;6378;0;2625536;10;6;/data/work/7e/3b98e31bccc34444e9d07c7d705625;-;-
95;node10;dc/cfb2b8;nf-dccfb2b851dca8c5c14c862942f78919;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input41_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input41_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670202361792;1670202370000;1670202374000;12208;3000;-;193.2;0.2;214319104;4567699456;214552576;4627087360;21101958;2041104;11483;5963;0;2306048;10;1;/data/work/dc/cfb2b851dca8c5c14c862942f78919;-;-
11;node10;bf/ce5bca;nf-bfce5bca864ece671c45e931f4d11074;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670202359229;1670202370000;1670202377000;17771;7000;-;35.5;0.6;1767284736;32901287936;1778532352;54182445056;47592440;643296;6139;113;0;606208;1531;301;/data/work/bf/ce5bca864ece671c45e931f4d11074;-;-
47;node8;08/4f4743;nf-084f4743e09233ea98ddf04930788b6d;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670202360400;1670202378000;1670202378000;17600;0;-;96.2;0.0;3162112;5632000;3162112;5636096;136685;5523;226;19;0;12288;4;1;/data/work/08/4f4743e09233ea98ddf04930788b6d;-;-
