task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;6f/73f9ac;nf-6f73f9ac324aaf862397bb28579c4782;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670164818370;1670164821000;1670164822000;3630;0;-;67.4;0.0;2883584;11567104;2883584;11571200;689113;12089;245;18;0;20480;3;0;/data/work/6f/73f9ac324aaf862397bb28579c4782;-;-
81;node8;0d/56dd97;nf-0d56dd97ab7531e928f43ed0b47b0e27;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670164830586;1670164842000;1670164842000;11414;0;-;85.3;0.0;3248128;5632000;3248128;5636096;136680;5523;226;19;0;12288;4;0;/data/work/0d/56dd97ab7531e928f43ed0b47b0e27;-;-
65;cpu05;0a/12c083;nf-0a12c083fa942b096768c0186ec8c179;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670164830179;1670164843000;1670164843000;12821;0;-;98.5;0.0;3239936;5632000;3239936;5636096;136879;5532;227;19;0;12288;4;4;/data/work/0a/12c083fa942b096768c0186ec8c179;-;-
96;cpu05;92/96fdd7;nf-9296fdd71abdce4531389c5df3bd3928;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input42_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input42_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670164831039;1670164841000;1670164844000;12961;2000;-;204.2;0.2;256823296;4571893760;258908160;4627087360;21128438;2342005;11399;6378;0;2670592;10;7;/data/work/92/96fdd71abdce4531389c5df3bd3928;-;-
110;cpu14;e6/daa377;nf-e6daa377105673899dae6ed60da047f8;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670164831408;1670164844000;1670164844000;12592;0;-;88.3;0.0;3211264;5632000;3211264;5636096;136898;5532;227;19;0;12288;4;3;/data/work/e6/daa377105673899dae6ed60da047f8;-;-
17;cpu14;bc/282b39;nf-bc282b399fc2004634a35e8eae53ef24;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670164828590;1670164845000;1670164845000;16410;0;-;94.8;0.0;3186688;5632000;3186688;5636096;136898;5532;227;19;0;12288;4;1;/data/work/bc/282b399fc2004634a35e8eae53ef24;-;-
28;node8;e4/cb8f52;nf-e4cb8f521d4da41291cc4092ffef52df;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670164828919;1670164845000;1670164845000;16081;0;-;97.0;0.0;3182592;5632000;3182592;5636096;136681;5523;226;19;0;12288;4;1;/data/work/e4/cb8f521d4da41291cc4092ffef52df;-;-
30;cpu05;fd/12b6c8;nf-fd12b6c842bf4037c8fb1225e0b1f437;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input10_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input10_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670164829054;1670164840000;1670164844000;14946;2000;-;187.6;0.2;263319552;4571893760;267505664;4627087360;21129066;2342004;11457;6378;0;2666496;11;6;/data/work/fd/12b6c842bf4037c8fb1225e0b1f437;-;-
52;node8;63/157fd6;nf-63157fd64f48a48004d92c34d8f02673;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1670164829669;1670164847000;1670164847000;17331;0;-;94.8;0.0;3166208;5632000;3166208;5636096;136681;5523;226;19;0;12288;4;3;/data/work/63/157fd64f48a48004d92c34d8f02673;-;-
51;node10;43/34eecf;nf-4334eecf1fc2fd03a81ed053bb4dc7f8;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC;Input17_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (Input17_R1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;28800000;-;45097156608;1;1670164829754;1670164846000;1670164850000;20246;3000;-;181.2;0.1;167366656;4567699456;167366656;4627087360;21102191;2041104;11501;5963;0;2359296;10;2;/data/work/43/34eecf1fc2fd03a81ed053bb4dc7f8;-;-
