task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;56/3de1bb;nf-563de1bb49642257e567df55981d00a6;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670245820780;1670245828000;1670245845000;24220;10000;-;0.7;0.0;2932736;11567104;2932736;11571200;689107;12087;245;18;4096;20480;2;0;/data/work/56/3de1bb49642257e567df55981d00a6;-;-
12;node10;e7/9d1073;nf-e79d1073463b3974ba72270121f42e45;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670245915114;1670245925000;1670245925000;9886;0;-;79.0;0.0;3334144;5632000;3334144;5636096;140764;5814;237;20;0;16384;4;1;/data/work/e7/9d1073463b3974ba72270121f42e45;-;-
29;cpu05;3c/3f7835;nf-3c3f783536d6a49b1bbee3db4805d870;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input11_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input11_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245915916;1670245927000;1670245935000;19084;8000;-;33.9;0.6;1764769792;32890642432;1776365568;54172954624;47592343;643223;6141;113;0;602112;1451;305;/data/work/3c/3f783536d6a49b1bbee3db4805d870;-;-
72;cpu05;d5/db9c7e;nf-d5db9c7ea153fa41eeea373be99ebcaf;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input35_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input35_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245917190;1670245929000;1670245937000;19810;8000;-;38.1;0.6;1763733504;32900784128;1775820800;54173417472;47592400;643264;6138;113;0;602112;1555;305;/data/work/d5/db9c7ea153fa41eeea373be99ebcaf;-;-
78;node10;58/dd9c56;nf-58dd9c56c16fc8a2cfbd7b0e80ed83a1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input37_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input37_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245917364;1670245930000;1670245937000;19636;7000;-;37.7;0.6;1764573184;32975925248;1775992832;54324715520;47592447;643306;6141;113;0;606208;1512;317;/data/work/58/dd9c56c16fc8a2cfbd7b0e80ed83a1;-;-
102;node10;41/b7105f;nf-41b7105f35071e4f72d22b73a2bdc2f2;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input45_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input45_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245918062;1670245927000;1670245934000;15938;7000;-;35.7;0.6;1764036608;32898682880;1775476736;54173544448;47592380;643253;6140;113;0;602112;1407;322;/data/work/41/b7105f35071e4f72d22b73a2bdc2f2;-;-
9;cpu05;25/28dd59;nf-2528dd59a5cb3337803be28bb73ca245;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245915231;1670245932000;1670245939000;23769;7000;-;38.8;0.6;1764270080;32892383232;1776062464;54173540352;47592500;643341;6141;113;0;606208;1438;316;/data/work/25/28dd59a5cb3337803be28bb73ca245;-;-
26;node8;eb/d1b52c;nf-ebd1b52c87ddbe2be0f2b4477146f112;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input10_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input10_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245915822;1670245936000;1670245943000;27178;7000;-;38.0;0.6;1763250176;32908107776;1774809088;54181330944;47512099;622216;6153;113;0;593920;1415;334;/data/work/eb/d1b52c87ddbe2be0f2b4477146f112;-;-
41;cpu14;93/d836c1;nf-93d836c1a47f7f070c425791e47bb118;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input15_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input15_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245916276;1670245934000;1670245941000;24724;7000;-;34.9;0.6;1765179392;32911216640;1776881664;54191144960;47592595;643395;6141;113;0;602112;1526;298;/data/work/93/d836c1a47f7f070c425791e47bb118;-;-
54;node10;f7/9ca48a;nf-f79ca48a2d8826ca1f92c9e28c14212d;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input19_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input19_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670245916627;1670245932000;1670245940000;23373;7000;-;36.0;0.6;1766191104;32881897472;1777848320;54165086208;47592396;643268;6140;113;0;606208;1586;333;/data/work/f7/9ca48a2d8826ca1f92c9e28c14212d;-;-
