task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;49/48bee3;nf-4948bee32fcce8257215899d094acb73;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670244198995;1670244209000;1670244230000;31005;10000;-;0.8;0.0;2940928;11567104;2940928;11571200;688922;12078;244;18;0;20480;2;1;/data/work/49/48bee32fcce8257215899d094acb73;-;-
9;cpu14;77/c5fa95;nf-77c5fa95f351651618eeddca9dd06611;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670244232560;1670244249000;1670244249000;16440;0;-;79.5;0.0;3325952;5632000;3325952;5636096;140788;5814;237;20;0;16384;4;1;/data/work/77/c5fa95f351651618eeddca9dd06611;-;-
2;node8;59/cc88b6;nf-59cc88b6b26e0e3e13f97cb5d40d8dd8;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244232341;1670244247000;1670244254000;21659;7000;-;36.9;0.6;1762275328;32925954048;1773715456;54207045632;47592255;643289;6139;113;0;602112;1454;307;/data/work/59/cc88b6b26e0e3e13f97cb5d40d8dd8;-;-
5;cpu14;69/5b4012;nf-695b4012c9c76b82445844b3f072875c;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244232491;1670244249000;1670244256000;23509;7000;-;37.5;0.6;1764769792;32881889280;1776263168;54165143552;47592455;643292;6140;113;0;602112;1503;304;/data/work/69/5b4012c9c76b82445844b3f072875c;-;-
17;cpu05;9e/5fc3a5;nf-9e5fc3a5bf5ebe299f959960a3d7c0ac;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input07_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input07_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244232949;1670244248000;1670244256000;23051;8000;-;35.7;0.6;1764491264;32916865024;1776041984;54190325760;47592455;643309;6141;113;0;602112;1516;302;/data/work/9e/5fc3a5bf5ebe299f959960a3d7c0ac;-;-
23;node10;b4/5140a3;nf-b45140a360543a6873c88c17e55d3de4;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input09_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input09_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244233267;1670244248000;1670244255000;21733;7000;-;36.6;0.6;1769259008;32894488576;1780117504;54173483008;47592420;643281;6141;113;0;602112;1502;293;/data/work/b4/5140a360543a6873c88c17e55d3de4;-;-
53;node10;d9/386f8a;nf-d9386f8a9b5edf2b9a74202ab8745cfc;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input18_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input18_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244234060;1670244250000;1670244257000;22940;7000;-;35.6;0.6;1761509376;32899317760;1773158400;54174703616;47512244;622196;6154;113;0;593920;1454;302;/data/work/d9/386f8a9b5edf2b9a74202ab8745cfc;-;-
66;node8;4b/994dc0;nf-4b994dc0212dea0585d0149282cd126b;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input33_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input33_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244234581;1670244247000;1670244254000;19419;7000;-;35.3;0.6;1762893824;32901820416;1774276608;54181404672;47592199;643245;6140;113;0;602112;1405;305;/data/work/4b/994dc0212dea0585d0149282cd126b;-;-
78;cpu14;c2/ae9403;nf-c2ae9403d5f5da7777c1f31fc5a9ac84;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input37_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input37_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244234863;1670244251000;1670244258000;23137;7000;-;36.9;0.6;1764777984;32892383232;1776205824;54165016576;47592467;643300;6140;113;0;602112;1460;299;/data/work/c2/ae9403d5f5da7777c1f31fc5a9ac84;-;-
10;cpu05;c3/4b5bf5;nf-c34b5bf51db20050abeb6c506b05d4da;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670244232734;1670244253000;1670244260000;27266;7000;-;37.3;0.6;1762263040;32909168640;1773629440;54181933056;47592428;643286;6141;113;0;606208;1481;289;/data/work/c3/4b5bf51db20050abeb6c506b05d4da;-;-
