task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;74/8af097;nf-748af0974e7c806bf7d627ad63843f67;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670191043765;1670191048000;1670191049000;5235;0;-;63.1;0.0;2867200;11567104;2867200;11571200;688917;12080;244;18;0;20480;3;3;/data/work/74/8af0974e7c806bf7d627ad63843f67;-;-
12;cpu05;64/abb946;nf-64abb946e7b67a0d12db01310a680a9c;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670191052407;1670191063000;1670191064000;11593;0;-;11.6;0.0;3325952;5632000;3325952;5636096;140768;5814;237;20;0;16384;2;3;/data/work/64/abb946e7b67a0d12db01310a680a9c;-;-
37;node8;c6/c9a33b;nf-c6c9a33ba8064c3d8f9d3275ef40aebc;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input13_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input13_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191053496;1670191065000;1670191074000;20504;6000;-;35.7;0.6;1758396416;32909168640;1769443328;54190260224;47592284;643316;6140;113;0;602112;1543;287;/data/work/c6/c9a33ba8064c3d8f9d3275ef40aebc;-;-
92;cpu05;81/0e76d4;nf-810e76d442fd415d56cb511f276aa03a;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input41_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input41_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191055127;1670191068000;1670191075000;19873;7000;-;36.2;0.6;1768165376;32876650496;1779724288;54156759040;47592448;643300;6141;113;0;602112;1462;338;/data/work/81/0e76d442fd415d56cb511f276aa03a;-;-
2;cpu14;2c/685b2e;nf-2c685b2ef9bef5cbc7924a23e678f47e;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input01_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input01_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191052171;1670191066000;1670191075000;22829;8000;-;32.3;0.6;1763217408;32900771840;1774796800;54181797888;47592473;643306;6140;113;0;602112;1402;271;/data/work/2c/685b2ef9bef5cbc7924a23e678f47e;-;-
8;cpu05;03/fa04af;nf-03fa04afc4a2853a0c216e291961f0e4;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input04_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input04_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191052338;1670191070000;1670191077000;24662;7000;-;35.9;0.6;1762234368;32898666496;1773785088;54181920768;47512362;622283;6153;113;0;598016;1477;341;/data/work/03/fa04afc4a2853a0c216e291961f0e4;-;-
9;node8;59/447969;nf-59447969498c67f2e0ea648fc84ae931;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input05_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input05_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191052568;1670191063000;1670191072000;19432;9000;-;30.6;0.5;1437523968;27173724160;1447059456;44260659200;47592323;643345;6140;113;0;602112;1132;255;/data/work/59/447969498c67f2e0ea648fc84ae931;-;-
17;cpu05;11/584d6e;nf-11584d6e5de336fad405a04898680229;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input07_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input07_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191052776;1670191068000;1670191076000;23224;7000;-;35.6;0.6;1764462592;32925958144;1776328704;54207115264;47592563;643387;6141;113;0;602112;1497;316;/data/work/11/584d6e5de336fad405a04898680229;-;-
56;node10;6a/4803c6;nf-6a4803c69852c09d99321641852c0c36;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input19_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input19_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191054014;1670191070000;1670191078000;23986;7000;-;36.7;0.5;1438281728;27190444032;1447612416;44277444608;47592496;643340;6141;113;0;602112;1168;242;/data/work/6a/4803c69852c09d99321641852c0c36;-;-
62;node8;c4/d561a1;nf-c4d561a1b9b16b6c37f1417d07705abd;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input31_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input31_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191054198;1670191070000;1670191078000;23802;8000;-;34.3;0.6;1768480768;33059692544;1782652928;54344523776;47592212;643260;6139;113;0;606208;1683;335;/data/work/c4/d561a1b9b16b6c37f1417d07705abd;-;-
74;cpu14;c0/9967a7;nf-c09967a7de59bf8579d565a1db18093e;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input35_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input35_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670191054566;1670191069000;1670191077000;22434;8000;-;33.5;0.6;1763995648;32874971136;1775595520;54156128256;47592417;643266;6140;113;0;602112;1423;308;/data/work/c0/9967a7de59bf8579d565a1db18093e;-;-
