task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;fb/025a80;nf-fb025a80fd7402efb32e47c0f79ccb87;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670192643902;1670192654000;1670192674000;30098;10000;-;0.7;0.0;2867200;11567104;2867200;11571200;688915;12078;244;18;0;20480;2;0;/data/work/fb/025a80fd7402efb32e47c0f79ccb87;-;-
9;cpu05;ab/361087;nf-ab3610878f12d442050f68c319199da9;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670192678916;1670192694000;1670192694000;15084;0;-;76.6;0.0;3321856;5632000;3321856;5636096;140768;5814;237;20;0;16384;4;3;/data/work/ab/3610878f12d442050f68c319199da9;-;-
16;node10;6f/91eb71;nf-6f91eb71ef4b3503808f4c39cd8dc396;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input06_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input06_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192679055;1670192688000;1670192696000;16945;7000;-;36.8;0.6;1764139008;32891322368;1775919104;54173003776;47512084;622077;6153;113;0;593920;1529;308;/data/work/6f/91eb71ef4b3503808f4c39cd8dc396;-;-
77;node8;97/e5bc68;nf-97e5bc68574bb1be6946578c1df2c88d;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input36_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input36_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192681208;1670192692000;1670192699000;17792;7000;-;37.6;0.6;1758396416;32899858432;1770180608;54181539840;47511980;622134;6153;113;0;593920;1503;310;/data/work/97/e5bc68574bb1be6946578c1df2c88d;-;-
4;node10;15/08245e;nf-1508245ebda103c47f7a22e1ec1d5a72;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input02_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input02_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192678630;1670192693000;1670192700000;21370;7000;-;37.6;0.6;1762734080;32901169152;1774530560;54182326272;47512283;622225;6153;113;0;598016;1485;316;/data/work/15/08245ebda103c47f7a22e1ec1d5a72;-;-
7;cpu05;74/ca7150;nf-74ca715003d8fd229a1b7062ffffdb16;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input03_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input03_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192678782;1670192695000;1670192703000;24218;8000;-;36.9;0.6;1761263616;32899731456;1772912640;54181412864;47592447;643301;6140;113;0;606208;1523;335;/data/work/74/ca715003d8fd229a1b7062ffffdb16;-;-
8;node8;5f/ca6fba;nf-5fca6fba559f551d5616cdbb3d47da89;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input04_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input04_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192678816;1670192689000;1670192698000;19184;9000;-;28.1;0.5;1438887936;27414110208;1451012096;44443103232;47511936;622103;6152;113;0;593920;1218;274;/data/work/5f/ca6fba559f551d5616cdbb3d47da89;-;-
26;cpu14;d6/d509c1;nf-d6d509c191b6e2c5894a8bc2b2d6da55;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input10_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input10_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192679617;1670192697000;1670192704000;24383;7000;-;37.9;0.6;1763520512;32909299712;1775271936;54190456832;47512160;622121;6154;113;0;593920;1456;292;/data/work/d6/d509c191b6e2c5894a8bc2b2d6da55;-;-
33;cpu05;cc/814876;nf-cc81487678d195881be4da664f2908ad;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input12_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input12_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192679846;1670192690000;1670192699000;19154;8000;-;29.6;0.6;1756315648;32889225216;1768140800;54173003776;47512302;622238;6154;113;0;593920;1449;277;/data/work/cc/81487678d195881be4da664f2908ad;-;-
76;node10;eb/69ad06;nf-eb69ad060665e516c6552ff43aa381b9;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input35_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input35_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670192681035;1670192693000;1670192700000;18965;7000;-;36.2;0.6;1769349120;32933294080;1780764672;54214975488;47592452;643309;6141;113;0;606208;1513;299;/data/work/eb/69ad060665e516c6552ff43aa381b9;-;-
