task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;e1/8e1d08;nf-e18e1d0855236e33d283d2fad14d49aa;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;7516192768;1;1670211354398;1670211363000;1670211380000;25602;11000;-;0.7;0.0;2867200;11567104;2867200;11571200;689130;12087;245;18;0;20480;2;0;/data/work/e1/8e1d0855236e33d283d2fad14d49aa;-;-
8;node10;ed/165286;nf-ed165286f3fa97570d802064efb41494;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES;modification_transcriptome_subset.fa;NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (modification_transcriptome_subset.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.13--h8c37831_0;6;28800000;-;45097156608;1;1670211384206;1670211398000;1670211398000;13794;0;-;69.6;0.0;3371008;5632000;3371008;5636096;140764;5814;237;20;0;16384;4;1;/data/work/ed/165286f3fa97570d802064efb41494;-;-
60;node8;eb/70b29c;nf-eb70b29c4e50c793ebe1f739fa68fadf;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input20_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input20_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211385993;1670211399000;1670211406000;20007;7000;-;36.4;0.6;1757351936;32883978240;1769140224;54165069824;47511899;622073;6152;113;0;593920;1417;304;/data/work/eb/70b29c4e50c793ebe1f739fa68fadf;-;-
6;cpu05;fb/5ac359;nf-fb5ac359e54246b777704d712efb6f76;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input02_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input02_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211384048;1670211400000;1670211407000;22952;7000;-;34.9;0.6;1762091008;32900382720;1773879296;54182588416;47512156;622124;6153;113;0;593920;1467;321;/data/work/fb/5ac359e54246b777704d712efb6f76;-;-
36;node8;7b/4466bc;nf-7b4466bc6a21e39135db75d648f02c6d;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input12_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input12_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211385259;1670211400000;1670211407000;21741;6000;-;36.4;0.6;1764057088;32901165056;1775837184;54182256640;47512024;622165;6153;113;0;593920;1445;307;/data/work/7b/4466bc6a21e39135db75d648f02c6d;-;-
42;cpu14;a7/ce0d3c;nf-a7ce0d3cd06b136fdb1372b730e63ed2;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input14_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input14_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211385442;1670211398000;1670211407000;21558;8000;-;29.8;0.6;1765478400;32916500480;1777389568;54198181888;47512294;622214;6154;113;0;593920;1475;285;/data/work/a7/ce0d3cd06b136fdb1372b730e63ed2;-;-
48;node10;57/7a6811;nf-577a6811b11ad94f6edfa9dbf3ae6808;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input16_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input16_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211385629;1670211398000;1670211405000;19371;7000;-;38.2;0.6;1759391744;32891322368;1771163648;54173003776;47512244;622195;6153;113;0;593920;1549;279;/data/work/57/7a6811b11ad94f6edfa9dbf3ae6808;-;-
96;node10;52/575647;nf-5257564779b4765b12fec8e7ebdcbc5c;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input42_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input42_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211387047;1670211399000;1670211407000;19953;7000;-;36.3;0.6;1760616448;32900759552;1771827200;54181916672;47512248;622199;6153;113;0;593920;1499;301;/data/work/52/57564779b4765b12fec8e7ebdcbc5c;-;-
12;node8;03/97be6f;nf-0397be6fdbd16c6e1ee9913c91325897;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input04_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input04_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211384306;1670211403000;1670211410000;25694;7000;-;37.6;0.6;1759563776;32901431296;1771028480;54182588416;47511936;622101;6152;113;0;593920;1500;320;/data/work/03/97be6fdbd16c6e1ee9913c91325897;-;-
24;node10;13/2e65c7;nf-132e65c79ddba255c6d94af46993b962;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT;Input08_R1;NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (Input08_R1);COMPLETED;0;-;quay.io/biocontainers/nanoplot:1.38.0--pyhdfd78af_0;2;14400000;-;12884901888;1;1670211384755;1670211402000;1670211409000;24245;7000;-;38.3;0.6;1761366016;32898670592;1773236224;54180876288;47512300;622237;6154;113;0;598016;1506;315;/data/work/13/2e65c79ddba255c6d94af46993b962;-;-
