task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;fa/2cbc19;nf-fa2cbc19135f1b5ac423143d2127cc35;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667926035577;1667926038000;1667926038000;2423;107;-;60.5;0.0;3039232;4071424;3039232;4079616;3478459;2625330;642;204;0;913408;9;0;/data/work/fa/2cbc19135f1b5ac423143d2127cc35;-;-
1;cpu05;96/1c2701;nf-961c2701098771c4c03185d5f4d23e6d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667926035621;1667926039000;1667926039000;3379;29;-;53.3;0.0;3059712;4071424;3059712;4079616;98437;1747;261;18;0;12288;6;0;/data/work/96/1c2701098771c4c03185d5f4d23e6d;-;-
4;node10;3f/4114a7;nf-3f4114a74266627372c2f8eef2eb2931;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667926035489;1667926040000;1667926042000;6511;778;-;3.8;0.0;2969600;4071424;2969600;4079616;108547;205249;261;24;0;212992;2;2;/data/work/3f/4114a74266627372c2f8eef2eb2931;-;-
3;node8;9e/155e21;nf-9e155e213015087f5ebabcf30cacd589;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667926035538;1667926046000;1667926049000;13462;1000;-;10.1;0.0;3330048;5632000;3330048;5636096;709010;1443;280;18;0;12288;2;0;/data/work/9e/155e213015087f5ebabcf30cacd589;-;-
5;node10;85/813d2b;nf-85813d2b9aaa64bc49a2dc62ddc6de22;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667926047004;1667926050000;1667926050000;2996;0;-;46.7;0.0;3239936;5632000;3239936;5636096;1290378;440022;323;26;0;454656;4;0;/data/work/85/813d2b9aaa64bc49a2dc62ddc6de22;-;-
11;cpu14;0c/75fd6e;nf-0c75fd6e734b52b53b1c6810daaec5b7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052826;1667926061000;1667926066000;13174;4000;-;226.8;0.2;292909056;4640055296;297832448;4666916864;26110062;3743616;22225;11320;0;4116480;10;8;/data/work/0c/75fd6e734b52b53b1c6810daaec5b7;-;-
12;cpu05;fc/c26617;nf-fcc2661744f7b2da073051a9b938d269;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052860;1667926060000;1667926064000;11140;3000;-;246.4;0.2;222527488;4635860992;222527488;4695248896;26124514;3754700;22276;11333;0;4153344;10;2;/data/work/fc/c2661744f7b2da073051a9b938d269;-;-
14;node8;2f/6bef50;nf-2f6bef506c1f34156204fc93ffb72ad0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052930;1667926062000;1667926065000;12070;2000;-;204.9;0.2;215957504;4569796608;216850432;4627087360;22927307;1872554;14930;5664;0;2109440;8;2;/data/work/2f/6bef506c1f34156204fc93ffb72ad0;-;-
15;cpu14;d1/e6a43a;nf-d1e6a43abaa5886e630f9c002d4dda09;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052958;1667926061000;1667926066000;13042;4000;-;240.8;0.2;281669632;4640055296;283971584;4666916864;26275112;3745601;22633;11330;0;4112384;11;6;/data/work/d1/e6a43abaa5886e630f9c002d4dda09;-;-
8;cpu05;a1/2ca8f8;nf-a12ca8f8d08edf7b032f3579d298ca60;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926052989;1667926061000;1667926064000;11011;3000;-;212.9;0.1;176730112;4563632128;176730112;4626571264;93577395;67654382;17640;8109;0;4440064;144;28;/data/work/a1/2ca8f8d08edf7b032f3579d298ca60;-;-
18;cpu05;49/32a58e;nf-4932a58e3dea3d25d031384d49fd5000;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample7);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926053182;1667926060000;1667926065000;11818;4000;-;240.2;0.2;268214272;4640055296;268214272;4666916864;26287495;3741536;22513;11290;0;4145152;10;4;/data/work/49/32a58e3dea3d25d031384d49fd5000;-;-
9;node10;21/3a2547;nf-213a254785c313c4f6b68dff7b7165ce;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052757;1667926063000;1667926067000;14243;3000;-;190.1;0.2;213954560;4567699456;214007808;4627087360;23041779;1875461;15088;5664;0;2199552;8;7;/data/work/21/3a254785c313c4f6b68dff7b7165ce;-;-
6;node8;54/44489d;nf-5444489d23b3458a179c95a5ac70d5c7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052792;1667926062000;1667926067000;14208;4000;-;210.5;0.2;291708928;4640055296;296853504;4666916864;26244175;3762268;22466;11308;0;4161536;10;5;/data/work/54/44489d23b3458a179c95a5ac70d5c7;-;-
13;node10;99/3a8a6d;nf-993a8a6d5fef82bfe5a3d1ec8ceebbb2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926052895;1667926061000;1667926066000;13105;4000;-;257.0;0.2;284536832;4640055296;284725248;4666916864;26177627;3747235;22245;11294;0;4177920;10;7;/data/work/99/3a8a6d5fef82bfe5a3d1ec8ceebbb2;-;-
16;node10;4c/dafcd4;nf-4cdafcd4f596b0f064cc997491b4e122;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926053024;1667926062000;1667926065000;11976;2000;-;207.0;0.2;251994112;4571893760;251994112;4627087360;23064049;1863009;15164;5648;0;2158592;8;6;/data/work/4c/dafcd4f596b0f064cc997491b4e122;-;-
7;node8;da/6b0626;nf-da6b0626ad70c7a08a822d472d9045c8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053057;1667926059000;1667926067000;13943;8000;-;205.7;0.2;277061632;4571869184;277061632;4628783104;219933362;176704234;37303;19807;0;13185024;2663;71;/data/work/da/6b0626ad70c7a08a822d472d9045c8;-;-
10;cpu14;3f/da6b08;nf-3fda6b086b489635ddc807d9268c532e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053115;1667926060000;1667926067000;13885;7000;-;217.0;0.2;282497024;4571869184;282497024;4628783104;219627582;176587891;37260;19819;0;12955648;2376;122;/data/work/3f/da6b086b489635ddc807d9268c532e;-;-
30;node10;a1/7982ef;nf-a17982ef50b56799fa6b4484bafca087;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1667926053995;1667926065000;1667926066000;12005;1000;-;8.9;0.0;3223552;5632000;3223552;5636096;348653;4997;242;20;0;16384;2;3;/data/work/a1/7982ef50b56799fa6b4484bafca087;-;-
17;node8;d5/a94313;nf-d5a9431323d79258b275a79dcb51d5d4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample6);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926053216;1667926070000;1667926075000;21784;3000;-;159.0;0.1;184250368;4567699456;184451072;4629184512;22983322;1869065;15020;5659;0;2097152;13;5;/data/work/d5/a9431323d79258b275a79dcb51d5d4;-;-
33;node10;8c/478b08;nf-8c478b08843fbc1329384653d0eb7d5d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED;genome_gfp.gtf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1667926054027;1667926073000;1667926074000;19973;0;-;76.6;0.0;2916352;11567104;2916352;11571200;407041;7952;208;18;0;16384;7;0;/data/work/8c/478b08843fbc1329384653d0eb7d5d;-;-
19;cpu05;8e/bd995d;nf-8ebd995d8d30918f4bc5121f583d3ce6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053151;1667926070000;1667926078000;24849;7000;-;210.4;0.1;213946368;4567674880;213946368;4628783104;219607047;176559270;37156;19793;0;13012992;2078;89;/data/work/8e/bd995d8d30918f4bc5121f583d3ce6;-;-
22;cpu14;98/e23683;nf-98e23683ce94fdd26915fc2f7848205a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053291;1667926075000;1667926078000;24709;3000;-;213.8;0.1;194789376;4567539712;194789376;4626571264;93198805;67470820;17361;8110;0;4329472;113;18;/data/work/98/e23683ce94fdd26915fc2f7848205a;-;-
20;cpu05;0c/e6140e;nf-0ce6140e65232d558caef7c82a3c5f6e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample8);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926053326;1667926074000;1667926077000;23674;2000;-;222.4;0.2;249708544;4571893760;251437056;4627087360;22975544;1882290;15054;5681;0;2113536;7;5;/data/work/0c/e6140e65232d558caef7c82a3c5f6e;-;-
24;cpu14;20/08168f;nf-2008168f42df85caf711e8ca5920b469;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample9);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667926053390;1667926071000;1667926077000;23610;5000;-;198.7;0.2;290836480;4640055296;292147200;4668559360;26236106;3756401;22385;11304;0;4190208;9;10;/data/work/20/08168f42df85caf711e8ca5920b469;-;-
21;node8;1f/a5b706;nf-1fa5b7067e005d01ae20aaf8fc8f0b2f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053258;1667926075000;1667926081000;27742;6000;-;232.7;0.1;202661888;4567678976;202661888;4628787200;219842798;176758227;37641;19816;0;13041664;1018;72;/data/work/1f/a5b7067e005d01ae20aaf8fc8f0b2f;-;-
23;node10;8d/01e960;nf-8d01e960117333faf654f8bf33841c0a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053356;1667926077000;1667926084000;30644;7000;-;231.0;0.2;268800000;4571852800;270901248;4628766720;220052137;176720777;37649;19762;0;13287424;1091;68;/data/work/8d/01e960117333faf654f8bf33841c0a;-;-
25;node10;22/a533c0;nf-22a533c0b6a9193f374bfb35e4461ced;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053418;1667926081000;1667926085000;31582;4000;-;213.9;0.1;203489280;4567539712;203489280;4626571264;93606075;67590793;17729;8094;0;4460544;97;27;/data/work/22/a533c0b6a9193f374bfb35e4461ced;-;-
26;node8;a8/ce40bc;nf-a8ce40bc133c94670eef5aff4b5b1387;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053451;1667926081000;1667926084000;30549;3000;-;218.1;0.1;196657152;4567519232;196657152;4626530304;93418730;67564750;17713;8088;0;4382720;89;27;/data/work/a8/ce40bc133c94670eef5aff4b5b1387;-;-
28;cpu05;d7/167596;nf-d716759685d2b57ed43ac8b68c726b23;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample8);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667926053484;1667926081000;1667926085000;31516;3000;-;215.2;0.1;204681216;4567543808;204681216;4628672512;93384798;67567793;17674;8107;0;4366336;85;21;/data/work/d7/16759685d2b57ed43ac8b68c726b23;-;-
31;cpu14;b2/96e355;nf-b296e3556ab53022d6e2f4d44285d5de;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-1fa26d1ce03c295fe2fdcf85831a92fbcbd7e8c2:afaaa4c6f5b308b4b6aa2dd8e99e1466b2a6b0cd-0;6;21600000;-;53687091200;1;1667926054058;1667926085000;1667926086000;31942;0;-;250.7;0.0;3223552;5632000;3223552;5636096;4944043;6542620;423;135;0;6615040;3;1;/data/work/b2/96e3556ab53022d6e2f4d44285d5de;-;-
