task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;22/d789b8;nf-22d789b866cd16ae0fae813df225d76c;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667924481008;1667924484000;1667924484000;2992;28;-;82.1;0.0;3072000;4071424;3072000;4079616;108561;205250;261;24;0;212992;6;5;/data/work/22/d789b866cd16ae0fae813df225d76c;-;-
3;node8;1c/a0fd40;nf-1ca0fd40383c0358e0542be260ea4903;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667924481046;1667924494000;1667924494000;12954;0;-;10.3;0.0;3252224;5632000;3252224;5636096;709010;1443;280;18;0;12288;2;3;/data/work/1c/a0fd40383c0358e0542be260ea4903;-;-
2;node8;0f/a530cd;nf-0fa530cda4dfc67eb9bb4c5eb9718d18;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667924481085;1667924491000;1667924494000;12915;302;-;19.3;0.0;3055616;4071424;3055616;4079616;3477993;2625316;641;204;0;913408;2;0;/data/work/0f/a530cda4dfc67eb9bb4c5eb9718d18;-;-
4;node8;34/d1a989;nf-34d1a9898aa5d01895c2c9a96f4e3efe;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667924480968;1667924494000;1667924498000;17032;4056;-;0.7;0.0;3035136;4071424;3035136;4079616;97982;1731;261;18;0;12288;2;0;/data/work/34/d1a9898aa5d01895c2c9a96f4e3efe;-;-
18;cpu05;7a/cddc41;nf-7acddc411cbba63f328a2fcff489d8f4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample8);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667924554412;1667924564000;1667924568000;13588;3000;-;203.5;0.2;212221952;4567699456;212221952;4627087360;22974876;1882290;14994;5681;0;2158592;8;3;/data/work/7a/cddc411cbba63f328a2fcff489d8f4;-;-
29;node8;3e/db2012;nf-3edb20120ab12c92d3bc10a649651e58;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667924554899;1667924564000;1667924565000;10101;1000;-;20.1;0.0;3215360;5632000;3215360;5636096;1289924;440008;322;26;0;454656;2;0;/data/work/3e/db20120ab12c92d3bc10a649651e58;-;-
5;node10;4c/15eef8;nf-4c15eef8a93f9e8a03c6c289e9fddbea;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667924554136;1667924567000;1667924571000;16864;3000;-;258.8;0.2;285208576;4640055296;286257152;4666916864;26280300;3762282;22607;11308;0;4247552;10;7;/data/work/4c/15eef8a93f9e8a03c6c289e9fddbea;-;-
9;cpu14;4f/5fe75a;nf-4f5fe75a3819e36244e0e2929398d40c;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667924554208;1667924566000;1667924571000;16792;4000;-;210.9;0.2;285614080;4644134912;285614080;4666916864;26110260;3743616;22262;11278;0;4116480;10;6;/data/work/4f/5fe75a3819e36244e0e2929398d40c;-;-
13;cpu14;06/707445;nf-06707445d7764add8c01438c64e25a15;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667924554277;1667924566000;1667924570000;15723;3000;-;192.9;0.2;212045824;4567699456;212045824;4627087360;22926226;1872568;14972;5664;0;2109440;8;5;/data/work/06/707445d7764add8c01438c64e25a15;-;-
14;cpu14;89/788c5e;nf-89788c5edeb26c4ac66e41f3ad3714be;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667924554311;1667924566000;1667924571000;16689;4000;-;224.5;0.2;294309888;4640055296;295899136;4666916864;26308582;3745601;22659;11288;0;4112384;10;4;/data/work/89/788c5edeb26c4ac66e41f3ad3714be;-;-
