task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu14;46/c8b9a0;nf-46c8b9a050e789742920d75f9cf052e6;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667912663699;1667912673000;1667912673000;9301;273;-;24.8;0.0;3035136;4071424;3035136;4079616;3478459;2625330;637;204;0;913408;2;0;/data/work/46/c8b9a050e789742920d75f9cf052e6;-;-
2;cpu05;59/a9715d;nf-59a9715d567676db03f410c54827a2ce;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667912663788;1667912669000;1667912670000;6212;0;-;54.5;0.0;3215360;5632000;3215360;5636096;709462;1457;281;18;0;12288;2;0;/data/work/59/a9715d567676db03f410c54827a2ce;-;-
3;node10;65/a43d55;nf-65a43d55fe1110edf63ec9db2f100776;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667912663826;1667912669000;1667912670000;6174;42;-;56.8;0.0;2965504;4071424;2965504;4079616;98438;1747;261;18;0;12288;2;0;/data/work/65/a43d55fe1110edf63ec9db2f100776;-;-
1;node8;d0/824a78;nf-d0824a781ef9ea57176c8686272952b5;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667912663749;1667912673000;1667912675000;11251;1365;-;2.2;0.0;3076096;4071424;3076096;4079616;108085;205235;261;24;0;212992;2;1;/data/work/d0/824a781ef9ea57176c8686272952b5;-;-
7;cpu14;1c/7fff61;nf-1c7fff6157ae1b8acfb8568cfced5780;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667912675509;1667912684000;1667912688000;12491;3000;-;190.3;0.2;217567232;4567699456;217567232;4627087360;23039852;1875461;15090;5664;0;2113536;8;9;/data/work/1c/7fff6157ae1b8acfb8568cfced5780;-;-
6;node8;9f/6892ee;nf-9f6892ee0c7ee525d755ff90694a4b65;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667912675543;1667912682000;1667912688000;12457;3000;-;189.2;0.2;291479552;4640055296;296656896;4695248896;26277210;3762268;22502;11308;0;4263936;10;7;/data/work/9f/6892ee0c7ee525d755ff90694a4b65;-;-
9;cpu05;41/5d2904;nf-415d290400d489df6782524d142718b3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667912675578;1667912683000;1667912688000;12422;4000;-;227.3;0.2;256061440;4635865088;256061440;4695248896;26144343;3743616;22281;11278;0;4165632;10;3;/data/work/41/5d290400d489df6782524d142718b3;-;-
13;cpu14;e0/974317;nf-e0974317bd6bc36ca5cb1086a44240ac;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667912675646;1667912683000;1667912687000;11354;3000;-;176.9;0.1;190726144;4567699456;190988288;4627087360;22925770;1872568;14907;5685;0;2138112;9;3;/data/work/e0/974317bd6bc36ca5cb1086a44240ac;-;-
12;node8;fe/541a14;nf-fe541a14f4832fafced77143c508eff1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667912675682;1667912680000;1667912684000;8318;3000;-;211.1;0.2;290373632;4640055296;295522304;4666916864;26143230;3747221;22264;11378;0;4202496;16;2;/data/work/fe/541a14f4832fafced77143c508eff1;-;-
15;cpu05;5d/2e6369;nf-5d2e63692d6fe93fdb82dc1e0eeec42e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667912675714;1667912683000;1667912687000;11286;3000;-;185.4;0.1;205107200;4567699456;206041088;4629184512;23061496;1863009;15085;5648;0;2166784;8;4;/data/work/5d/2e63692d6fe93fdb82dc1e0eeec42e;-;-
