task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu05;11/82a479;nf-1182a4790d459ea7b5e91f515088cc66;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667821104661;1667821110000;1667821111000;6339;1179;-;1.7;0.0;3162112;4071424;3162112;4079616;98435;1746;261;18;0;12288;2;0;/data/work/11/82a4790d459ea7b5e91f515088cc66;-;-
2;node10;71/9f6166;nf-719f6166236d52fe78107eddb8172532;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667821104712;1667821113000;1667821113000;8288;727;-;8.2;0.0;2998272;4071424;2998272;4079616;3478444;2625329;637;204;0;913408;2;0;/data/work/71/9f6166236d52fe78107eddb8172532;-;-
4;cpu14;1a/6af209;nf-1a6af2093bd1fc3f5531842e93ebd129;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667821104754;1667821114000;1667821115000;10246;0;-;76.2;0.0;3276800;5632000;3276800;5636096;709476;1457;281;18;0;12288;3;0;/data/work/1a/6af2093bd1fc3f5531842e93ebd129;-;-
1;node8;37/a30c48;nf-37a30c484a6caf85f61e9e9b7c78a861;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667821104792;1667821115000;1667821115000;10208;88;-;30.8;0.0;3055616;4071424;3055616;4079616;108062;205234;261;24;0;212992;2;0;/data/work/37/a30c484a6caf85f61e9e9b7c78a861;-;-
17;cpu14;b4/2f83bb;nf-b42f83bbd5643ce08d9cd3808c67c423;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample7);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667821121626;1667821128000;1667821134000;12374;4000;-;280.2;0.2;259809280;4637958144;259809280;4666916864;26288501;3741537;22537;11290;0;4255744;10;2;/data/work/b4/2f83bbd5643ce08d9cd3808c67c423;-;-
29;node8;22/7e3000;nf-227e30007910f96c9234f19675704f44;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667821122098;1667821129000;1667821130000;7902;1000;-;18.4;0.0;3276800;5632000;3276800;5636096;1289892;440006;322;26;0;454656;2;2;/data/work/22/7e30007910f96c9234f19675704f44;-;-
6;node10;dc/2cc0a3;nf-dc2cc0a3f94d5e7077c214bc4de51455;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667821121241;1667821134000;1667821139000;17759;3000;-;246.8;0.2;224935936;4635860992;224935936;4668559360;26278994;3762282;22602;11350;0;4239360;10;9;/data/work/dc/2cc0a3f94d5e7077c214bc4de51455;-;-
14;node10;06/524072;nf-06524072f781f57901af85278e2d82c7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667821121445;1667821133000;1667821138000;16555;4000;-;237.5;0.2;288731136;4640055296;291049472;4666916864;26310061;3745600;22639;11288;0;4268032;10;8;/data/work/06/524072f781f57901af85278e2d82c7;-;-
5;node8;03/36c85a;nf-0336c85a351e4e0c60642d3d39f9f40f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667821121554;1667821132000;1667821139000;17446;7000;-;228.1;0.1;172990464;4561670144;172990464;4626685952;219932376;176704232;37496;19807;0;13266944;2751;63;/data/work/03/36c85a351e4e0c60642d3d39f9f40f;-;-
19;cpu14;4d/cfdb52;nf-4dcfdb523b8c4e5f35004e6284eb3c34;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample9);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667821121783;1667821131000;1667821136000;14217;3000;-;265.2;0.2;287518720;4640055296;289042432;4666916864;26172413;3756401;22491;11304;0;4173824;10;7;/data/work/4d/cfdb523b8c4e5f35004e6284eb3c34;-;-
21;cpu14;59/1050cd;nf-591050cddbdec3671100efc462f8e0e0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667821121851;1667821131000;1667821138000;16149;7000;-;222.2;0.1;178601984;4563763200;178601984;4628779008;219841386;176758241;37217;19795;0;13017088;1110;60;/data/work/59/1050cddbdec3671100efc462f8e0e0;-;-
23;node8;5c/d7ea80;nf-5cd7ea806b77c53335ed1d9f2358188d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667821121915;1667821128000;1667821136000;14085;7000;-;224.2;0.1;180768768;4563763200;180768768;4628779008;220052563;176720760;37705;19762;0;13312000;1071;67;/data/work/5c/d7ea806b77c53335ed1d9f2358188d;-;-
26;cpu05;d8/9d2946;nf-d89d2946cde6f8772f18b06cfd61b486;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample7);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667821122005;1667821131000;1667821138000;15995;6000;-;226.0;0.1;183578624;4565585920;183578624;4628791296;220331791;177006837;37411;19789;0;13357056;1096;59;/data/work/d8/9d2946cde6f8772f18b06cfd61b486;-;-
28;cpu05;ef/12878f;nf-ef12878fb693b75524a444d6b57387a2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample9);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667821122064;1667821130000;1667821137000;14936;7000;-;208.1;0.2;257744896;4571873280;257744896;4628787200;220020491;176856826;37595;19808;0;13148160;1407;96;/data/work/ef/12878fb693b75524a444d6b57387a2;-;-
32;cpu05;fb/b70ad3;nf-fbb70ad3e4fe70ba5e5a01039c116a70;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED;genome_gfp.gtf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1667821136987;1667821138000;1667821139000;2013;0;-;59.3;0.0;2904064;11567104;2904064;11571200;407039;7952;208;18;0;16384;4;4;/data/work/fb/b70ad3e4fe70ba5e5a01039c116a70;-;-
31;node8;18/c30881;nf-18c30881469d48579e35c982b20b3f4e;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1667821137016;1667821138000;1667821138000;984;0;-;68.1;0.0;3293184;5632000;3293184;5636096;348168;4982;241;20;0;16384;6;5;/data/work/18/c30881469d48579e35c982b20b3f4e;-;-
12;node10;d4/c318c5;nf-d4c318c581c72f6d09012c92215cdc67;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667821121378;1667821137000;1667821142000;20622;3000;-;235.9;0.2;288538624;4645273600;288538624;4666916864;26177359;3747234;22336;11378;0;4206592;10;10;/data/work/d4/c318c581c72f6d09012c92215cdc67;-;-
