task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;b5/dadfdd;nf-b5dadfdd547c4bc9711c619d6ee1ab0e;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667819573374;1667819579000;1667819579000;5626;37;-;44.8;0.0;3203072;4071424;3203072;4079616;108546;205250;261;24;0;212992;2;1;/data/work/b5/dadfdd547c4bc9711c619d6ee1ab0e;-;-
2;cpu05;22/2dec05;nf-222dec05b68c61d3442c72e90ff399bd;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667819573420;1667819579000;1667819579000;5580;0;-;74.1;0.0;3330048;5632000;3330048;5636096;709460;1457;281;18;0;12288;3;3;/data/work/22/2dec05b68c61d3442c72e90ff399bd;-;-
3;cpu14;82/9c2358;nf-829c2358ee8ef15c677eaabf025d6f20;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667819573456;1667819586000;1667819586000;12544;47;-;36.2;0.0;2965504;4071424;2965504;4079616;98451;1747;261;18;0;12288;2;3;/data/work/82/9c2358ee8ef15c677eaabf025d6f20;-;-
4;node8;4c/43d8a1;nf-4c43d8a112bace5feee36ee66a6dfcdc;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667819573497;1667819581000;1667819583000;9503;1821;-;3.8;0.0;3026944;4071424;3026944;4079616;3477957;2625313;638;204;0;913408;2;0;/data/work/4c/43d8a112bace5feee36ee66a6dfcdc;-;-
14;cpu05;92/e4cdff;nf-92e4cdff6a593d941dca6d703d0fd97a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667819580520;1667819584000;1667819588000;7480;3000;-;265.3;0.2;284590080;4640055296;285630464;4695248896;26340123;3745600;22557;11288;0;4182016;16;15;/data/work/92/e4cdff6a593d941dca6d703d0fd97a;-;-
5;node10;67/9eb846;nf-679eb8462aa3921d40577ab02237ea49;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667819580340;1667819587000;1667819592000;11660;4000;-;251.5;0.2;280993792;4644364288;280993792;4669079552;26279244;3762282;22511;11308;0;4202496;10;4;/data/work/67/9eb8462aa3921d40577ab02237ea49;-;-
17;node10;c3/b5d2af;nf-c3b5d2af8ae9059fb2969cefe30e2eea;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample7);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667819580625;1667819589000;1667819593000;12375;3000;-;205.5;0.2;285450240;4640055296;285970432;4666920960;26322271;3741536;22612;11290;0;4128768;10;7;/data/work/c3/b5d2af8ae9059fb2969cefe30e2eea;-;-
19;node8;44/d1aff4;nf-44d1aff439ef7d8e2af4530b901e3b13;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample9);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667819580755;1667819586000;1667819590000;9245;3000;-;209.8;0.2;299872256;4640055296;301355008;4666916864;26204015;3756385;22414;11304;0;4153344;10;2;/data/work/44/d1aff439ef7d8e2af4530b901e3b13;-;-
23;cpu05;b2/c4af9a;nf-b2c4af9adfd671cac9af67e1c553e9a1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667819580914;1667819586000;1667819593000;12086;7000;-;233.4;0.1;204640256;4567678976;204640256;4628787200;220051092;176720776;37635;19741;0;13332480;1074;72;/data/work/b2/c4af9adfd671cac9af67e1c553e9a1;-;-
28;cpu14;d1/2a71e0;nf-d12a71e02e2e86cc9f6c71055a3d70b9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample9);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667819581074;1667819586000;1667819593000;11926;7000;-;224.7;0.2;266452992;4571856896;270196736;4628770816;220019891;176856774;37795;19808;0;13119488;1050;49;/data/work/d1/2a71e02e2e86cc9f6c71055a3d70b9;-;-
