task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu05;9d/130b4e;nf-9d130b4efc48484aec5205604acedf4f;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667935460513;1667935464000;1667935464000;3487;102;-;54.4;0.0;2957312;4071424;2957312;4079616;3478444;2625330;639;204;0;913408;6;0;/data/work/9d/130b4efc48484aec5205604acedf4f;-;-
3;node10;75/e5764d;nf-75e5764d12730ab4a365cb12201f4a3a;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667935460630;1667935464000;1667935464000;3370;31;-;72.7;0.0;2883584;4071424;2883584;4079616;98438;1747;261;18;0;12288;6;3;/data/work/75/e5764d12730ab4a365cb12201f4a3a;-;-
2;node8;f7/1577be;nf-f71577beb5558e31eb7d7e47bae27ed2;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667935460598;1667935468000;1667935470000;9402;1000;-;5.8;0.0;3194880;5632000;3194880;5636096;709011;1442;280;18;0;12288;2;3;/data/work/f7/1577beb5558e31eb7d7e47bae27ed2;-;-
1;cpu14;f3/6d4940;nf-f36d49404633065cb17464a6d512e7e2;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667935460560;1667935471000;1667935472000;11440;42;-;58.2;0.0;2924544;4071424;2924544;4079616;108561;205250;261;24;0;212992;2;0;/data/work/f3/6d49404633065cb17464a6d512e7e2;-;-
7;cpu14;98/675634;nf-98675634e09976ab6de30c5296825d95;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472405;1667935475000;1667935478000;5595;3000;-;221.2;0.1;195596288;4567527424;195596288;4601126912;93577120;67621609;17664;8108;0;4472832;103;33;/data/work/98/675634e09976ab6de30c5296825d95;-;-
27;cpu14;d2/a927d0;nf-d2a927d0165e3fbdeac0e2d9aba3f97b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample8);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472825;1667935477000;1667935480000;7175;3000;-;209.4;0.1;201469952;4567539712;201469952;4628664320;93384778;67567791;17550;8107;0;4386816;107;23;/data/work/d2/a927d0165e3fbdeac0e2d9aba3f97b;-;-
8;cpu05;e0/c41864;nf-e0c418645fb65aa58e1e74a16eac7a61;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472112;1667935479000;1667935484000;11888;3000;-;179.2;0.1;194301952;4567699456;194457600;4629184512;23040379;1875461;15118;5664;0;2183168;8;7;/data/work/e0/c418645fb65aa58e1e74a16eac7a61;-;-
22;node8;8d/93dbd3;nf-8d93dbd3bec7ff00fa16e9c8f452d461;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472692;1667935480000;1667935484000;11308;4000;-;192.1;0.2;271806464;4571734016;271908864;4628668416;93199604;67470818;17594;8110;0;4370432;2799;54;/data/work/8d/93dbd3bec7ff00fa16e9c8f452d461;-;-
24;cpu05;06/82f2f9;nf-0682f2f973634bcffe19f34cb31b9625;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472725;1667935478000;1667935481000;8275;3000;-;224.4;0.1;194883584;4567662592;194883584;4599824384;93605432;67590795;17646;8073;0;4452352;113;20;/data/work/06/82f2f973634bcffe19f34cb31b9625;-;-
25;node8;c4/67dd38;nf-c467dd38cf5b1f4e6bb191c596db3195;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472760;1667935480000;1667935484000;11240;4000;-;207.1;0.2;260636672;4571734016;265879552;4626563072;93418507;67564750;17638;8088;0;4427776;2867;47;/data/work/c4/67dd38cf5b1f4e6bb191c596db3195;-;-
29;node8;aa/819ada;nf-aa819adae4d6407d8a0cb78f51b18e61;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667935477060;1667935481000;1667935482000;4940;0;-;43.1;0.0;3239936;5632000;3239936;5636096;1289927;440008;322;26;0;454656;7;8;/data/work/aa/819adae4d6407d8a0cb78f51b18e61;-;-
9;cpu14;11/3f3c7c;nf-113f3c7c40030072eeafebe358436c77;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472179;1667935484000;1667935490000;17821;5000;-;168.8;0.2;263503872;4640055296;263503872;4666916864;26110858;3743618;22252;11278;0;4153344;10;2;/data/work/11/3f3c7c40030072eeafebe358436c77;-;-
11;cpu14;3f/5662bd;nf-3f5662bd4ab132b549e3eec7d070a2e0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472213;1667935486000;1667935490000;17787;3000;-;258.7;0.2;241479680;4635860992;241479680;4668321792;26156527;3754700;22214;11291;0;4128768;10;7;/data/work/3f/5662bd4ab132b549e3eec7d070a2e0;-;-
13;node10;ed/82185a;nf-ed82185ae38016df7b16c11a513a1c9f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472279;1667935484000;1667935488000;15721;3000;-;207.8;0.2;215429120;4569796608;215638016;4598755328;22927619;1872568;14920;5664;0;2187264;8;6;/data/work/ed/82185ae38016df7b16c11a513a1c9f;-;-
15;node10;cf/6df34f;nf-cf6df34f65b1993b53f4a4934b221897;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472344;1667935483000;1667935487000;14656;2000;-;203.9;0.2;217501696;4569796608;218460160;4629184512;23063969;1863009;15157;5648;0;2158592;8;1;/data/work/cf/6df34f65b1993b53f4a4934b221897;-;-
16;node10;44/c65e67;nf-44c65e678cf19288591904da1ef382a9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample6);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472375;1667935486000;1667935490000;17625;3000;-;194.8;0.2;218562560;4569796608;218562560;4629184512;22983736;1869079;15017;5659;0;2129920;8;7;/data/work/44/c65e678cf19288591904da1ef382a9;-;-
18;cpu05;20/2b168c;nf-202b168c67141c623559c5196477bf98;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample8);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472470;1667935482000;1667935485000;12530;2000;-;216.2;0.2;245608448;4571893760;246747136;4627087360;22975705;1882290;15069;5681;0;2146304;8;6;/data/work/20/2b168c67141c623559c5196477bf98;-;-
6;cpu05;88/a8396c;nf-88a8396c9a6d53c2d686d82f088a848d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667935472147;1667935493000;1667935497000;24853;3000;-;254.8;0.2;286703616;4640055296;286883840;4666916864;26244750;3762282;22524;11308;0;4218880;9;2;/data/work/88/a8396c9a6d53c2d686d82f088a848d;-;-
10;cpu05;3f/b07c1f;nf-3fb07c1f42122fdf271402f77e26cd0a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472535;1667935488000;1667935495000;22465;6000;-;222.9;0.1;201228288;4567674880;201228288;4628783104;219627346;176587888;37354;19819;0;12972032;1089;66;/data/work/3f/b07c1f42122fdf271402f77e26cd0a;-;-
20;cpu14;a2/94acbb;nf-a294acbb242fbb5032274f6d3ae1ccc6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667935472595;1667935491000;1667935498000;25405;7000;-;230.4;0.1;186404864;4567670784;188141568;4626681856;219607615;176559269;37190;19793;0;13049856;1147;53;/data/work/a2/94acbb242fbb5032274f6d3ae1ccc6;-;-
30;node10;0b/823ef3;nf-0b823ef3bbc0b44e943307a82e4d9e4f;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-1fa26d1ce03c295fe2fdcf85831a92fbcbd7e8c2:afaaa4c6f5b308b4b6aa2dd8e99e1466b2a6b0cd-0;6;21600000;-;53687091200;1;1667935488133;1667935495000;1667935496000;7867;0;-;233.6;0.0;3358720;5632000;3358720;5636096;4944030;6542531;423;135;0;6615040;4;0;/data/work/0b/823ef3bbc0b44e943307a82e4d9e4f;-;-
32;cpu14;7a/bfb865;nf-7abfb8657fabf9f6d46a2c42432cd3fb;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT;-;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT;COMPLETED;0;-;quay.io/biocontainers/bbmap:38.93--he522d1c_0;6;21600000;-;53687091200;1;1667935488165;1667935497000;1667935499000;10835;2000;-;160.5;0.4;485588992;57810407424;485588992;57875423232;11887126;5169466;3049;767;0;4833280;17;2;/data/work/7a/bfb8657fabf9f6d46a2c42432cd3fb;-;-
