task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;f6/5382e0;nf-f65382e0e4394443645999bf60c27de6;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667909432696;1667909436000;1667909436000;3304;29;-;53.3;0.0;2994176;4071424;2994176;4079616;108547;205250;261;24;0;212992;6;0;/data/work/f6/5382e0e4394443645999bf60c27de6;-;-
4;node10;40/1c3ae0;nf-401c3ae0b736afdaaaf1723a0c6a083c;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667909432736;1667909437000;1667909437000;4264;111;-;49.9;0.0;2977792;4071424;2977792;4079616;3478446;2625330;641;204;0;913408;6;0;/data/work/40/1c3ae0b736afdaaaf1723a0c6a083c;-;-
3;node8;75/9cae2a;nf-759cae2acbaba1f5ebb7c79632be2ce6;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667909432612;1667909442000;1667909443000;10388;35;-;65.8;0.0;3108864;4071424;3108864;4079616;97975;1733;261;18;0;12288;2;0;/data/work/75/9cae2acbaba1f5ebb7c79632be2ce6;-;-
2;cpu14;f2/f8e11c;nf-f2f8e11ccbb9c604c774ba57a1c3f7d4;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667909432657;1667909443000;1667909443000;10343;0;-;69.6;0.0;3309568;5632000;3309568;5636096;709475;1457;281;18;0;12288;2;2;/data/work/f2/f8e11ccbb9c604c774ba57a1c3f7d4;-;-
5;node8;82/385353;nf-82385353e77223b302e65725c6d9d15d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667909444377;1667909445000;1667909445000;623;0;-;64.7;0.0;3170304;5632000;3170304;5636096;1289914;440008;322;26;0;454656;5;0;/data/work/82/385353e77223b302e65725c6d9d15d;-;-
9;cpu14;c5/5d4fae;nf-c55d4faefb6946e86585fe7b2b5ce09a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667909449372;1667909455000;1667909460000;10628;3000;-;186.2;0.2;208539648;4567699456;209608704;4627087360;23040060;1875461;15110;5664;0;2158592;8;6;/data/work/c5/5d4faefb6946e86585fe7b2b5ce09a;-;-
11;node8;08/505ac6;nf-08505ac66f541bfebb05d07ac0c3ceee;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667909449440;1667909456000;1667909461000;11560;3000;-;233.4;0.1;202866688;4635860992;202866688;4666916864;26110391;3743602;22159;11362;0;4214784;10;7;/data/work/08/505ac66f541bfebb05d07ac0c3ceee;-;-
14;cpu05;4a/d9beb8;nf-4ad9beb8dbcbfff2b7f78f9c4e5b6cb4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667909449541;1667909459000;1667909463000;13459;3000;-;223.0;0.2;249970688;4571893760;251699200;4627087360;22925832;1872568;14912;5685;0;2170880;8;3;/data/work/4a/d9beb8dbcbfff2b7f78f9c4e5b6cb4;-;-
16;cpu14;65/5c568c;nf-655c568c8eddfa1db28989d40a8b724e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667909449611;1667909457000;1667909461000;11389;2000;-;182.9;0.2;211869696;4567699456;212676608;4632715264;23061986;1863009;15153;5648;0;2191360;8;8;/data/work/65/5c568c8eddfa1db28989d40a8b724e;-;-
7;node8;d4/f59fb9;nf-d4f59fb910f6dcf4cb1a3cdfb927e688;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667909449678;1667909455000;1667909459000;9322;3000;-;203.4;0.2;269762560;4571770880;270917632;4628684800;93577781;67621595;17658;8108;0;4505600;2729;28;/data/work/d4/f59fb910f6dcf4cb1a3cdfb927e688;-;-
