task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;79/885da3;nf-79885da39508c747f14f6a11f99b9465;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667910932510;1667910935000;1667910935000;2490;0;-;57.7;0.0;3174400;5632000;3174400;5636096;709476;1457;281;18;0;12288;10;0;/data/work/79/885da39508c747f14f6a11f99b9465;-;-
4;node8;da/47cece;nf-da47cece3ed166c1ca599a6a20577e70;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667910932582;1667910936000;1667910936000;3418;31;-;80.0;0.0;3006464;4071424;3006464;4079616;97976;1733;261;18;0;12288;6;0;/data/work/da/47cece3ed166c1ca599a6a20577e70;-;-
3;node10;63/0f9507;nf-630f9507ecda260e03e8ccdea5967d6f;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667910932471;1667910943000;1667910943000;10529;129;-;22.0;0.0;3104768;4071424;3104768;4079616;108547;205250;261;24;0;212992;2;0;/data/work/63/0f9507ecda260e03e8ccdea5967d6f;-;-
1;cpu05;39/39547d;nf-3939547df4115467c3cc263ba59d9f1c;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667910932551;1667910942000;1667910942000;9449;65;-;95.3;0.0;3063808;4071424;3063808;4079616;3478445;2625330;646;204;0;913408;5;1;/data/work/39/39547df4115467c3cc263ba59d9f1c;-;-
6;cpu14;83/b1afbb;nf-83b1afbb903da183306ba48e104d8281;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667910936933;1667910939000;1667910943000;6067;3000;-;267.2;0.2;286064640;4640055296;287047680;4669079552;26245255;3762282;22549;11308;0;4186112;17;13;/data/work/83/b1afbb903da183306ba48e104d8281;-;-
11;node8;92/9ed249;nf-929ed249d0650370f8d4e26f6cd574f0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667910936991;1667910940000;1667910944000;7009;3000;-;221.7;0.2;294367232;4640055296;299307008;4666916864;26124429;3754686;22149;11291;0;4218880;16;14;/data/work/92/9ed249d0650370f8d4e26f6cd574f0;-;-
8;node10;33/25d109;nf-3325d1095d8794c1fd296c9e8b58d8ca;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667910936902;1667910943000;1667910947000;10098;2000;-;204.1;0.2;213622784;4569796608;214691840;4627087360;23074964;1875461;15134;5664;0;2220032;8;2;/data/work/33/25d1095d8794c1fd296c9e8b58d8ca;-;-
10;cpu05;35/82e526;nf-3582e526c55fda106e78cbf40ba891e2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667910936960;1667910943000;1667910947000;10040;2000;-;262.5;0.2;234254336;4635860992;235474944;4669321216;26142178;3743616;22217;11320;0;4206592;10;3;/data/work/35/82e526c55fda106e78cbf40ba891e2;-;-
13;cpu05;b7/a26da8;nf-b7a26da85f518a61e09aaf20e12ebf01;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667910937022;1667910944000;1667910949000;11978;4000;-;164.6;0.1;165662720;4564168704;165662720;4627087360;22924932;1872568;14831;5706;0;2207744;8;6;/data/work/b7/a26da85f518a61e09aaf20e12ebf01;-;-
12;node10;d8/cf6418;nf-d8cf6418de79e86745d12126accb9965;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667910937053;1667910944000;1667910949000;11947;4000;-;236.4;0.2;292200448;4640055296;297185280;4666920960;26144665;3747235;22334;11336;0;4276224;10;8;/data/work/d8/cf6418de79e86745d12126accb9965;-;-
