task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu14;c7/b48ca1;nf-c7b48ca1c0ddd2d44c51c1fd0a24a15e;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667818841377;1667818844000;1667818844000;2623;44;-;58.5;0.0;2883584;4071424;2883584;4079616;108560;205250;261;24;0;212992;6;7;/data/work/c7/b48ca1c0ddd2d44c51c1fd0a24a15e;-;-
3;node8;3c/4b3372;nf-3c4b3372dfb500a6f6a1181e6da6c7df;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667818841425;1667818844000;1667818845000;3575;27;-;82.1;0.0;2969600;4071424;2969600;4079616;97950;1731;261;18;0;12288;5;0;/data/work/3c/4b3372dfb500a6f6a1181e6da6c7df;-;-
1;node10;8d/7000f7;nf-8d7000f758c17f1b8eb9ad0c204b9c54;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667818841503;1667818848000;1667818851000;9497;0;-;29.7;0.0;3321856;5632000;3321856;5636096;709463;1457;281;18;0;12288;2;0;/data/work/8d/7000f758c17f1b8eb9ad0c204b9c54;-;-
2;cpu05;bd/7be75c;nf-bd7be75cf5b6565d9eb6ae58811cc61a;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667818841466;1667818852000;1667818852000;10534;120;-;46.0;0.0;3104768;4071424;3104768;4079616;3478444;2625330;637;204;0;913408;2;0;/data/work/bd/7be75cf5b6565d9eb6ae58811cc61a;-;-
5;node8;43/6e991d;nf-436e991d0b9ff733cba09c5fc9826f8d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667818848061;1667818857000;1667818858000;9939;1000;-;23.0;0.0;3235840;5632000;3235840;5636096;1289889;440006;322;26;0;454656;2;0;/data/work/43/6e991d0b9ff733cba09c5fc9826f8d;-;-
9;cpu14;f1/e695a8;nf-f1e695a8fceb213bff585016445abf6e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667818852914;1667818856000;1667818861000;8086;4000;-;163.9;0.2;256925696;4572073984;258990080;4629184512;23041369;1875461;15162;5664;0;2134016;12;10;/data/work/f1/e695a8fceb213bff585016445abf6e;-;-
26;cpu05;25/6b7b4a;nf-256b7b4a730cca0c79648da65f27a127;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667818853624;1667818858000;1667818861000;7376;3000;-;227.5;0.1;201633792;4567535616;201633792;4626558976;93418232;67564762;17512;8088;0;4358144;114;30;/data/work/25/6b7b4a730cca0c79648da65f27a127;-;-
7;node10;48/9067dd;nf-489067dd11cdf57bb080276bdfb76474;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667818852952;1667818859000;1667818863000;10048;2000;-;257.8;0.2;234037248;4635860992;234037248;4666916864;26277063;3762282;22447;11392;0;4268032;10;1;/data/work/48/9067dd11cdf57bb080276bdfb76474;-;-
17;node8;a5/d2c379;nf-a5d2c379f2e721bdac43b486d36ee24b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667818853361;1667818861000;1667818865000;11639;2000;-;207.0;0.2;246951936;4571893760;247570432;4627087360;23062756;1862993;15111;5648;0;2105344;8;5;/data/work/a5/d2c379f2e721bdac43b486d36ee24b;-;-
22;cpu05;d9/5942fd;nf-d95942fde47c4c2bcc5a805c766516a9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667818853491;1667818856000;1667818863000;9509;7000;-;227.1;0.1;196820992;4567683072;196820992;4626694144;220051125;176720773;37748;19762;0;13291520;1059;73;/data/work/d9/5942fde47c4c2bcc5a805c766516a9;-;-
25;cpu14;d0/9b5d5b;nf-d09b5d5b2e9686e491a47fcd10a14ef8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample9);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667818853591;1667818859000;1667818864000;10409;3000;-;281.0;0.2;262778880;4637958144;262778880;4666916864;26236781;3756402;22357;11304;0;4325376;10;8;/data/work/d0/9b5d5b2e9686e491a47fcd10a14ef8;-;-
29;node8;2c/8da8e1;nf-2c8da8e16da9746b7d30915c82050576;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample9);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667818853731;1667818858000;1667818865000;11269;6000;-;228.9;0.1;179998720;4563771392;179998720;4628787200;220021589;176856758;37471;19808;0;13148160;1051;59;/data/work/2c/8da8e16da9746b7d30915c82050576;-;-
