task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;82/d877f7;nf-82d877f792d40f5a82ffddff08303aeb;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667829410042;1667829414000;1667829414000;3958;0;-;64.4;0.0;3293184;5632000;3293184;5636096;708988;1443;280;18;0;12288;3;0;/data/work/82/d877f792d40f5a82ffddff08303aeb;-;-
4;cpu14;6a/ff3699;nf-6aff36991b9c7b63885503d38519afca;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667829409995;1667829422000;1667829422000;12005;91;-;60.4;0.0;2949120;4071424;2949120;4079616;3478458;2625330;639;204;0;913408;2;2;/data/work/6a/ff36991b9c7b63885503d38519afca;-;-
2;node10;0d/b483ca;nf-0db483ca27d1d9358a6dca27f36c2520;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667829410083;1667829418000;1667829420000;9917;147;-;19.0;0.0;2879488;4071424;2879488;4079616;108548;205250;261;24;0;212992;2;2;/data/work/0d/b483ca27d1d9358a6dca27f36c2520;-;-
3;cpu05;50/b027f0;nf-50b027f0535302771a172a602723324c;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667829410122;1667829422000;1667829423000;12878;31;-;50.4;0.0;3039232;4071424;3039232;4079616;98436;1747;261;18;0;12288;2;1;/data/work/50/b027f0535302771a172a602723324c;-;-
24;cpu14;f9/0a8a4a;nf-f90a8a4a89ed73a6bace8c835ffe7d14;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667829417366;1667829422000;1667829426000;8634;4000;-;220.2;0.1;196894720;4567535616;196894720;4626567168;93605279;67590793;17715;8073;0;4481024;102;26;/data/work/f9/0a8a4a89ed73a6bace8c835ffe7d14;-;-
5;cpu05;ce/943dfd;nf-ce943dfd23ea68d03bd381a8e77001fd;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667829416759;1667829424000;1667829429000;12241;4000;-;224.5;0.2;289075200;4640055296;289947648;4666916864;26276183;3762282;22393;11392;0;4161536;10;3;/data/work/ce/943dfd23ea68d03bd381a8e77001fd;-;-
16;node10;04/89be8b;nf-0489be8b23baad4dc615d148776bb1af;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample6);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667829416996;1667829422000;1667829426000;9004;3000;-;217.5;0.2;247627776;4571893760;248676352;4627087360;22983721;1869078;15016;5659;0;2142208;8;2;/data/work/04/89be8b23baad4dc615d148776bb1af;-;-
22;node10;44/5ac995;nf-445ac99500f1c162306e6a18d2401a9f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667829417298;1667829424000;1667829428000;10702;3000;-;201.7;0.2;281915392;4571734016;282017792;4628660224;93199755;67470820;17629;8110;0;4325376;77;27;/data/work/44/5ac99500f1c162306e6a18d2401a9f;-;-
25;cpu05;a1/c41794;nf-a1c41794c01b3b493a5815c74845ce37;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667829417394;1667829423000;1667829427000;9606;3000;-;216.6;0.1;185200640;4565442560;185622528;4626563072;93417991;67564762;17561;8088;0;4358144;105;22;/data/work/a1/c41794c01b3b493a5815c74845ce37;-;-
17;cpu14;b6/19e648;nf-b619e64834985652a2974045b0e5bbf6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample7);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667829417028;1667829423000;1667829429000;11972;4000;-;237.9;0.2;296206336;4645224448;296296448;4666916864;26287260;3741536;22512;11374;0;4153344;10;6;/data/work/b6/19e64834985652a2974045b0e5bbf6;-;-
