task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node8;5d/8c3dc0;nf-5d8c3dc0a47e4f6794d99e989f6d667d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667903267569;1667903272000;1667903273000;5431;384;-;5.1;0.0;3014656;4071424;3014656;4079616;97972;1732;261;18;0;12288;2;0;/data/work/5d/8c3dc0a47e4f6794d99e989f6d667d;-;-
4;cpu05;11/72e718;nf-1172e718c8a426e73db0b9252dc8a9ac;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667903267647;1667903271000;1667903271000;3353;105;-;61.2;0.0;3108864;4071424;3108864;4079616;3478445;2625330;639;204;0;913408;9;0;/data/work/11/72e718c8a426e73db0b9252dc8a9ac;-;-
3;node10;3c/590f14;nf-3c590f14d1d4016cc5383648659b80c8;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667903267525;1667903274000;1667903275000;7475;1000;-;6.1;0.0;3297280;5632000;3297280;5636096;709462;1456;281;18;0;12288;2;0;/data/work/3c/590f14d1d4016cc5383648659b80c8;-;-
1;cpu14;f2/c66e89;nf-f2c66e89f66f4b86e155d095d5383714;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667903267606;1667903278000;1667903282000;14394;2632;-;1.1;0.0;2990080;4071424;2990080;4079616;108559;205249;261;24;0;212992;2;0;/data/work/f2/c66e89f66f4b86e155d095d5383714;-;-
7;node10;99/6754cc;nf-996754cc026e661b6af532f133d28064;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279500;1667903284000;1667903287000;7500;3000;-;219.0;0.1;184164352;4565438464;184164352;4628664320;93578238;67621611;17700;8087;0;4468736;102;22;/data/work/99/6754cc026e661b6af532f133d28064;-;-
22;cpu05;e5/b24da7;nf-e5b24da7f27b091f09a9448bdbc73876;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279790;1667903285000;1667903288000;8210;3000;-;221.0;0.1;201412608;4567543808;201412608;4628668416;93198852;67470822;17446;8110;0;4308992;100;19;/data/work/e5/b24da7f27b091f09a9448bdbc73876;-;-
24;cpu14;70/c38d75;nf-70c38d7575284f6304af27925debf69f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279824;1667903284000;1667903287000;7176;3000;-;215.1;0.1;202436608;4567539712;202436608;4626571264;93605663;67590795;17671;8094;0;4489216;110;25;/data/work/70/c38d7575284f6304af27925debf69f;-;-
5;node8;30/826c07;nf-30826c07dcf52d6fbc582c2176f8be32;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279532;1667903284000;1667903291000;11468;7000;-;234.0;0.1;179466240;4565577728;179466240;4626685952;219932240;176704234;37261;19807;0;13131776;1116;58;/data/work/30/826c07dcf52d6fbc582c2176f8be32;-;-
8;cpu05;64/e0811c;nf-64e0811c58598e923a19d9b12ab94c01;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279594;1667903285000;1667903292000;12406;7000;-;225.5;0.1;184094720;4567773184;184094720;4628783104;219627379;176587891;37477;19819;0;13004800;1060;61;/data/work/64/e0811c58598e923a19d9b12ab94c01;-;-
21;node10;65/0f9fd6;nf-650f9fd67936ccfb7163a7d69cbd6bc6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279726;1667903285000;1667903292000;12274;7000;-;227.8;0.1;181088256;4563767296;181088256;4628783104;219851306;176758241;37478;19774;0;13004800;1067;62;/data/work/65/0f9fd67936ccfb7163a7d69cbd6bc6;-;-
23;node8;72/d4ed77;nf-72d4ed77d51bf0a878fce8536bdb1d3d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279758;1667903285000;1667903292000;12242;7000;-;235.4;0.1;185950208;4567703552;186830848;4628811776;220052474;176720763;37606;19741;0;13279232;1089;65;/data/work/72/d4ed77d51bf0a878fce8536bdb1d3d;-;-
20;cpu14;5f/8a0e4c;nf-5f8a0e4c01a8aff3c4c170ce7eef0c6e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667903279660;1667903287000;1667903293000;13340;6000;-;233.9;0.1;203112448;4567658496;203112448;4628766720;219607863;176559270;37399;19793;0;13033472;1079;57;/data/work/5f/8a0e4c01a8aff3c4c170ce7eef0c6e;-;-
