task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;66/fd241f;nf-66fd241f65b86d9c2b2a7bd4717e55a2;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668919159859;1668919167000;1668919168000;8141;111;-;50.5;0.0;3067904;4071424;3067904;4079616;3478447;2625330;641;204;0;913408;2;1;/data/work/66/fd241f65b86d9c2b2a7bd4717e55a2;-;-
3;node8;57/d27020;nf-57d270205c6830d571e043cc32540f9a;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1668919159899;1668919169000;1668919170000;10101;0;-;62.1;0.0;3297280;5632000;3297280;5636096;709158;1445;280;18;0;12288;2;2;/data/work/57/d270205c6830d571e043cc32540f9a;-;-
4;node10;56/9f9872;nf-569f9872da10f79459932aa4bc234863;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668919159940;1668919167000;1668919167000;7060;38;-;61.1;0.0;2924544;4071424;2924544;4079616;108549;205250;261;24;0;212992;2;0;/data/work/56/9f9872da10f79459932aa4bc234863;-;-
2;cpu14;b7/ad6cec;nf-b7ad6cec50cc5bd5e5274fc1b809236e;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668919159980;1668919166000;1668919166000;6020;57;-;45.1;0.0;3108864;4071424;3108864;4079616;98452;1747;261;18;0;12288;2;2;/data/work/b7/ad6cec50cc5bd5e5274fc1b809236e;-;-
29;node10;b9/4da782;nf-b94da7828ae8f9ed26fb7b8d3a3daf0b;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1668919172675;1668919179000;1668919179000;6325;0;-;58.7;0.0;3338240;5632000;3338240;5636096;1290379;440022;323;26;0;454656;2;2;/data/work/b9/4da7828ae8f9ed26fb7b8d3a3daf0b;-;-
20;cpu05;61/35318c;nf-6135318c9cb6a06842df3ab8f6b7a2cc;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172391;1668919178000;1668919185000;12609;7000;-;228.3;0.2;281690112;4576247808;285044736;4626690048;219607670;176559267;37553;19772;0;12967936;1065;58;/data/work/61/35318c9cb6a06842df3ab8f6b7a2cc;-;-
21;cpu14;ab/f5a091;nf-abf5a0919ed34a2036ed549fc34aed55;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172420;1668919178000;1668919185000;12580;7000;-;234.7;0.1;187699200;4567678976;187699200;4628787200;219841405;176758275;37698;19816;0;13082624;1052;76;/data/work/ab/f5a0919ed34a2036ed549fc34aed55;-;-
23;cpu14;15/4c2281;nf-154c228187b00b50d5b7dc0c0ccf9dd2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172450;1668919178000;1668919185000;12550;7000;-;234.6;0.1;200097792;4567658496;202219520;4626669568;220051018;176720778;37337;19762;0;13332480;1112;76;/data/work/15/4c228187b00b50d5b7dc0c0ccf9dd2;-;-
24;node8;68/4347cb;nf-684347cbfbf35fd58d6806217b6668b0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172515;1668919179000;1668919182000;9485;3000;-;220.1;0.1;202264576;4567658496;202264576;4626669568;93605694;67590785;17598;8094;0;4460544;112;22;/data/work/68/4347cbfbf35fd58d6806217b6668b0;-;-
26;cpu05;f4/c36723;nf-f4c367230c883afcaaf04de17476f0fe;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample7);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172580;1668919179000;1668919186000;13420;7000;-;225.4;0.2;284958720;4571885568;287371264;4626702336;220332606;177006836;37714;19789;0;13291520;3348;91;/data/work/f4/c367230c883afcaaf04de17476f0fe;-;-
32;cpu14;c0/1a9dc9;nf-c01a9dc978fcb2236e8cee50c0a0ae2b;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED;genome_gfp.gtf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1668919182431;1668919184000;1668919185000;2569;0;-;66.7;0.0;2977792;11567104;2977792;11571200;407054;7952;208;18;0;16384;4;4;/data/work/c0/1a9dc978fcb2236e8cee50c0a0ae2b;-;-
5;node10;a3/9188ed;nf-a39188ed180eb13abb6290588644f36e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172168;1668919179000;1668919188000;15832;9000;-;183.7;0.2;267350016;4571873280;267444224;4628787200;219933976;176704248;37647;19807;0;13172736;2767;51;/data/work/a3/9188ed180eb13abb6290588644f36e;-;-
9;node10;c4/9f693f;nf-c49f693f81c8e67f31b3381ab24936b9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172326;1668919180000;1668919187000;14674;7000;-;225.6;0.1;203091968;4567674880;203091968;4626685952;219629657;176587893;37008;19819;0;12922880;1111;66;/data/work/c4/9f693f81c8e67f31b3381ab24936b9;-;-
28;node8;7c/fbe223;nf-7cfbe2235ef3881d9d7878677ce82bfc;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample9);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172644;1668919180000;1668919187000;14356;7000;-;231.6;0.1;183185408;4567670784;183664640;4626681856;220021677;176856767;37311;19808;0;13217792;1092;87;/data/work/7c/fbe2235ef3881d9d7878677ce82bfc;-;-
33;node8;0c/bce22b;nf-0cbce22b1528543d1565927b8c06d1e9;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1668919182370;1668919186000;1668919186000;3630;0;-;11.0;0.0;3252224;5632000;3252224;5636096;348349;4986;241;20;0;16384;2;2;/data/work/0c/bce22b1528543d1565927b8c06d1e9;-;-
7;node8;f3/fc3a52;nf-f3fc3a5299a0dc7d0bf3c892c4a2af8b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172199;1668919190000;1668919194000;21801;4000;-;218.9;0.1;198565888;4567535616;198565888;4628664320;93577960;67621601;17765;8108;0;4427776;88;29;/data/work/f3/fc3a5299a0dc7d0bf3c892c4a2af8b;-;-
25;cpu14;af/a8e6f6;nf-afa8e6f63945291d4343f0150633dc6d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668919172545;1668919192000;1668919195000;22455;3000;-;210.9;0.1;201641984;4567543808;201641984;4626571264;93426246;67564763;17833;8088;0;4382720;65;24;/data/work/af/a8e6f63945291d4343f0150633dc6d;-;-
30;node10;9b/7c8719;nf-9b7c871999f33e3173ff918be0978e51;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-1fa26d1ce03c295fe2fdcf85831a92fbcbd7e8c2:afaaa4c6f5b308b4b6aa2dd8e99e1466b2a6b0cd-0;6;21600000;-;53687091200;1;1668919182460;1668919191000;1668919192000;9540;1000;-;230.9;0.0;3354624;5632000;3354624;5636096;4944031;6542531;423;135;0;6615040;3;3;/data/work/9b/7c871999f33e3173ff918be0978e51;-;-
