task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node8;9c/ec8c2c;nf-9cec8c2cc9a492e5ba789e9608650024;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1668926129963;1668926134000;1668926134000;4037;0;-;51.6;0.0;3297280;5632000;3297280;5636096;709157;1445;280;18;0;12288;6;0;/data/work/9c/ec8c2cc9a492e5ba789e9608650024;-;-
1;cpu14;8f/602b50;nf-8f602b50bc024d06b1d2417c2aabc66b;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668926130008;1668926138000;1668926138000;7992;65;-;26.9;0.0;3112960;4071424;3112960;4079616;108563;205250;261;24;0;212992;2;0;/data/work/8f/602b50bc024d06b1d2417c2aabc66b;-;-
4;cpu05;5f/79503a;nf-5f79503a2476a021ba55e76eb9f3d6a4;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668926130085;1668926137000;1668926138000;7915;61;-;42.1;0.0;2965504;4071424;2965504;4079616;98438;1747;261;18;0;12288;2;2;/data/work/5f/79503a2476a021ba55e76eb9f3d6a4;-;-
3;node10;8e/bc183f;nf-8ebc183f2c11e4c3a575b3b46a6f2d12;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668926130046;1668926142000;1668926143000;12954;83;-;64.9;0.0;3072000;4071424;3072000;4079616;3478447;2625330;641;204;0;913408;2;1;/data/work/8e/bc183f2c11e4c3a575b3b46a6f2d12;-;-
10;node10;96/992118;nf-969921185881b4a42b31941871240bce;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668926137119;1668926142000;1668926149000;11881;7000;-;225.8;0.2;265662464;4571869184;266825728;4628783104;219629234;176587890;37360;19798;0;13070336;3233;68;/data/work/96/9921185881b4a42b31941871240bce;-;-
20;cpu05;5d/9e4395;nf-5d9e43957f2512b1f23829ccab4db0bf;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668926137152;1668926143000;1668926150000;12848;6000;-;226.0;0.1;182755328;4565569536;182906880;4626685952;219607131;176559267;37384;19793;0;12976128;1068;55;/data/work/5d/9e43957f2512b1f23829ccab4db0bf;-;-
21;cpu14;d4/45b78b;nf-d445b78b9813b320a6b2c4593edb7b90;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668926137218;1668926142000;1668926149000;11782;7000;-;232.4;0.1;202338304;4567670784;202338304;4628779008;219841254;176758247;37497;19774;0;12967936;1061;66;/data/work/d4/45b78b9813b320a6b2c4593edb7b90;-;-
24;node10;06/62fa15;nf-0662fa159870d5e6b50f834a6a93c1da;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668926137305;1668926145000;1668926148000;10695;3000;-;213.5;0.1;184549376;4565438464;186400768;4626558976;93606432;67590795;17750;8094;0;4526080;104;28;/data/work/06/62fa159870d5e6b50f834a6a93c1da;-;-
26;cpu05;99/1391b7;nf-991391b71ce727566ea42cc743051dcb;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample7);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668926137336;1668926142000;1668926148000;10664;6000;-;232.9;0.1;196505600;4567707648;196505600;4626718720;220332217;177006836;37829;19768;0;13234176;1051;98;/data/work/99/1391b71ce727566ea42cc743051dcb;-;-
28;cpu14;73/b2d5e5;nf-73b2d5e54c79a7465847ddae96b9bf64;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample9);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668926137427;1668926144000;1668926151000;13573;7000;-;223.9;0.1;181796864;4565577728;183586816;4626685952;220020387;176856779;37328;19808;0;13148160;1180;63;/data/work/73/b2d5e54c79a7465847ddae96b9bf64;-;-
