task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node8;55/e8bd81;nf-55e8bd814abb2b7d26772b003093c991;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1668917005890;1668917010000;1668917010000;4110;0;-;49.6;0.0;3227648;5632000;3227648;5636096;709157;1445;280;18;0;12288;7;7;/data/work/55/e8bd814abb2b7d26772b003093c991;-;-
1;node10;f2/56aa20;nf-f256aa2097280f05d779a9877d9c85b1;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668917005939;1668917009000;1668917009000;3061;34;-;45.4;0.0;3010560;4071424;3010560;4079616;98439;1747;261;18;0;12288;6;0;/data/work/f2/56aa2097280f05d779a9877d9c85b1;-;-
3;cpu05;3c/9fbba4;nf-3c9fbba43508da7770e8a517c0d9e2db;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668917005971;1668917009000;1668917009000;3029;104;-;62.2;0.0;3096576;4071424;3096576;4079616;3478447;2625330;639;204;0;913408;6;0;/data/work/3c/9fbba43508da7770e8a517c0d9e2db;-;-
4;cpu14;f3/50e349;nf-f350e349567d6e6be60be898ab9b2eba;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668917006010;1668917011000;1668917011000;4990;47;-;53.9;0.0;2953216;4071424;2953216;4079616;108562;205250;261;24;0;212992;2;0;/data/work/f3/50e349567d6e6be60be898ab9b2eba;-;-
25;cpu14;d7/d19dd3;nf-d7d19dd3d983d24187b52fb0c5450d94;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668917013292;1668917016000;1668917019000;5708;3000;-;220.0;0.1;193732608;4565438464;193732608;4601905152;93417675;67564763;17586;8067;0;4407296;95;24;/data/work/d7/d19dd3d983d24187b52fb0c5450d94;-;-
8;node10;28/9de966;nf-289de96639eec9d21de385287188aee0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1668917012572;1668917019000;1668917023000;10428;3000;-;195.6;0.2;215502848;4569796608;215502848;4629184512;23074306;1875462;15097;5664;0;2281472;8;5;/data/work/28/9de96639eec9d21de385287188aee0;-;-
13;node10;f4/430fbf;nf-f4430fbfea6d570ea6d888308f725eff;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1668917012755;1668917020000;1668917024000;11245;3000;-;210.6;0.2;248225792;4571893760;248328192;4627087360;22927827;1872567;14962;5706;0;2183168;8;3;/data/work/f4/430fbfea6d570ea6d888308f725eff;-;-
10;node8;19/a973ad;nf-19a973ad3ecc3492945a77d86f78ac94;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668917013062;1668917020000;1668917027000;13938;6000;-;227.6;0.1;197615616;4567670784;197615616;4626681856;219628618;176587881;37290;19819;0;12996608;1079;55;/data/work/19/a973ad3ecc3492945a77d86f78ac94;-;-
20;cpu14;a9/177906;nf-a9177906808c4ab649f11065a44a4284;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668917013126;1668917018000;1668917025000;11874;6000;-;229.1;0.1;179126272;4563771392;179126272;4626690048;219607682;176559270;37130;19793;0;13053952;1123;65;/data/work/a9/177906808c4ab649f11065a44a4284;-;-
22;cpu05;f1/facfd7;nf-f1facfd7b1f15a6c8db0db88aa4b1e9a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668917013187;1668917020000;1668917023000;9813;3000;-;207.6;0.1;187830272;4567523328;188395520;4628631552;93198727;67470823;17539;8110;0;4329472;81;24;/data/work/f1/facfd7b1f15a6c8db0db88aa4b1e9a;-;-
