task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu14;ac/d4831d;nf-acd4831d362fbccf150010d0b8af8907;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1668928356247;1668928365000;1668928366000;9753;1000;-;18.8;0.0;3293184;5632000;3293184;5636096;709479;1457;281;18;0;12288;2;0;/data/work/ac/d4831d362fbccf150010d0b8af8907;-;-
2;cpu05;87/f2d63d;nf-87f2d63da29abe88c5af8e24d75c14c4;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668928356208;1668928366000;1668928368000;11792;335;-;20.3;0.0;2961408;4071424;2961408;4079616;3478447;2625330;636;204;0;913408;2;0;/data/work/87/f2d63da29abe88c5af8e24d75c14c4;-;-
1;cpu14;8e/aedbed;nf-8eaedbed331a7cb8eb5aad5098378569;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668928356124;1668928368000;1668928368000;11876;35;-;46.4;0.0;3153920;4071424;3153920;4079616;98454;1747;261;18;0;12288;2;1;/data/work/8e/aedbed331a7cb8eb5aad5098378569;-;-
3;cpu14;cf/4d9a20;nf-cf4d9a2038f2004cea06425d0b441626;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1668928356172;1668928368000;1668928368000;11828;37;-;65.8;0.0;3051520;4071424;3051520;4079616;108564;205250;261;24;0;212992;2;3;/data/work/cf/4d9a2038f2004cea06425d0b441626;-;-
24;node8;72/e6e8db;nf-72e6e8db2e763d48fe976ed84d92fd2b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668928368807;1668928373000;1668928376000;7193;3000;-;222.6;0.1;200196096;4567572480;200196096;4626583552;93605984;67590783;17654;8094;0;4476928;113;26;/data/work/72/e6e8db2e763d48fe976ed84d92fd2b;-;-
27;node8;0c/2e5359;nf-0c2e5359041f973d601f9b1eda2a6fb6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample8);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668928368899;1668928374000;1668928377000;8101;3000;-;215.1;0.1;196808704;4567572480;196808704;4626583552;93385404;67567757;17565;8107;0;4382720;98;27;/data/work/0c/2e5359041f973d601f9b1eda2a6fb6;-;-
7;cpu14;be/8a72ec;nf-be8a72ec183ae7d7a13537baa749bf70;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668928368485;1668928376000;1668928380000;11515;3000;-;219.9;0.1;189972480;4565438464;191832064;4626558976;93577239;67621611;17824;8108;0;4472832;82;28;/data/work/be/8a72ec183ae7d7a13537baa749bf70;-;-
9;cpu05;71/9a4fba;nf-719a4fbaa9a779a38a6f422d69322e76;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668928368614;1668928372000;1668928379000;10386;6000;-;225.9;0.1;199602176;4567674880;201682944;4628783104;219627069;176587890;37479;19819;0;12951552;1057;64;/data/work/71/9a4fbaa9a779a38a6f422d69322e76;-;-
22;cpu05;49/e976b3;nf-49e976b3b2bf18757e5ffd5a745dd741;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668928368741;1668928374000;1668928377000;8259;3000;-;211.2;0.1;196308992;4567539712;198012928;4628660224;93198329;67470823;17418;8110;0;4308992;100;28;/data/work/49/e976b3b2bf18757e5ffd5a745dd741;-;-
25;cpu14;5a/10e4de;nf-5a10e4de17de0ed2aafb79d7bb5d986b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1668928368871;1668928375000;1668928378000;9129;3000;-;207.6;0.1;184700928;4565442560;188514304;4626567168;93417985;67564765;17571;8088;0;4440064;102;28;/data/work/5a/10e4de17de0ed2aafb79d7bb5d986b;-;-
