task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;node10;63/7dc111;nf-637dc1110461821b65e25dbad708543d;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1667927493710;1667927496000;1667927496000;2290;0;-;54.7;0.0;3272704;5632000;3272704;5636096;709462;1457;281;18;0;12288;3;0;/data/work/63/7dc1110461821b65e25dbad708543d;-;-
1;cpu14;65/2c3b3d;nf-652c3b3dfe638a9f49e65ca2b35f2b92;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667927493615;1667927501000;1667927501000;7385;36;-;67.1;0.0;2899968;4071424;2899968;4079616;98450;1747;261;18;0;12288;2;2;/data/work/65/2c3b3dfe638a9f49e65ca2b35f2b92;-;-
3;cpu05;d2/76da35;nf-d276da35ac2ad4d74d3207687f4fd747;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667927493666;1667927501000;1667927501000;7334;103;-;53.5;0.0;3022848;4071424;3022848;4079616;3478444;2625330;643;204;0;913408;2;0;/data/work/d2/76da35ac2ad4d74d3207687f4fd747;-;-
2;node8;7f/db3248;nf-7fdb3248d1623a7a179c403c33902389;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1667927493752;1667927499000;1667927500000;6248;181;-;15.8;0.0;2973696;4071424;2973696;4079616;108094;205236;261;24;0;212992;3;0;/data/work/7f/db3248d1623a7a179c403c33902389;-;-
7;cpu14;09/95d3dd;nf-0995d3dd797fcab71967cb17395fab06;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1667927500345;1667927505000;1667927509000;8655;3000;-;189.0;0.2;217628672;4567699456;218140672;4632715264;23040633;1875461;15142;5664;0;2203648;8;8;/data/work/09/95d3dd797fcab71967cb17395fab06;-;-
8;node10;92/d15bbe;nf-92d15bbe7308d6f08286bce6a2f0dde0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667927500774;1667927507000;1667927510000;9226;3000;-;220.5;0.1;183500800;4598939648;183500800;4626567168;93578237;67621611;17640;8108;0;4427776;110;31;/data/work/92/d15bbe7308d6f08286bce6a2f0dde0;-;-
5;node8;2d/a42d00;nf-2da42d006a253b8c7d3339b83895e0b5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667927500807;1667927503000;1667927510000;9193;7000;-;235.3;0.1;186765312;4567674880;186765312;4626685952;219932673;176704234;37194;19807;0;13176832;1107;60;/data/work/2d/a42d006a253b8c7d3339b83895e0b5;-;-
10;cpu05;15/9719d0;nf-159719d090abde3a9ee1026b442aa5d1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667927500840;1667927508000;1667927515000;14160;7000;-;221.6;0.1;198836224;4567650304;198836224;4626669568;219627547;176587888;37165;19798;0;12959744;1095;62;/data/work/15/9719d090abde3a9ee1026b442aa5d1;-;-
20;cpu14;21/0e1b1f;nf-210e1b1f8c3720351c18838b35cb67a5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667927500875;1667927507000;1667927514000;13125;7000;-;231.8;0.1;202371072;4567662592;202371072;4626673664;219607411;176559267;36988;19793;0;13045760;1142;61;/data/work/21/0e1b1f8c3720351c18838b35cb67a5;-;-
21;node10;b1/4d50eb;nf-b14d50eb88b8979b072108b896f1e3c0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1667927500906;1667927506000;1667927513000;12094;6000;-;224.4;0.1;184516608;4565577728;184516608;4628783104;219843000;176758241;37529;19816;0;13000704;2762;67;/data/work/b1/4d50eb88b8979b072108b896f1e3c0;-;-
