task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;node10;02/9a1b89;nf-029a1b89da3cb2326657e1d2d57a3937;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668230673403;1668230680000;1668230682000;8597;1000;-;8.3;0.0;2920448;11567104;2920448;11571200;232964;113169;173;65;0;139264;2;1;/data/work/02/9a1b89da3cb2326657e1d2d57a3937;-;-
11;node8;24/cff3b0;nf-24cff3b01c505ca670aef3fcd6b1bdcd;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668230673454;1668230681000;1668230681000;7546;0;-;79.0;0.0;3280896;5632000;3280896;5636096;149956;4918;227;19;0;12288;3;3;/data/work/24/cff3b01c505ca670aef3fcd6b1bdcd;-;-
1;cpu14;56/a13190;nf-56a13190a98a02f5117df85e7493f1e8;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668230673493;1668230678000;1668230681000;7507;3000;-;250.8;0.2;296935424;42184982528;296935424;42185003008;104407742;697590;40870;243;0;839680;19;7;/data/work/56/a13190a98a02f5117df85e7493f1e8;-;-
7;node8;96/d31f10;nf-96d31f10fa5104e9f82b37791c45b035;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668230673569;1668230682000;1668230683000;9431;1000;-;6.4;0.0;3235840;5632000;3235840;5636096;82280;3143;195;46;0;12288;2;0;/data/work/96/d31f10fa5104e9f82b37791c45b035;-;-
10;cpu05;df/c83bca;nf-dfc83bca1c1d476060b77a02e1cd60df;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668230673643;1668230684000;1668230684000;10357;0;-;57.5;0.0;3264512;5632000;3264512;5636096;132512;3148;196;46;0;12288;3;3;/data/work/df/c83bca1c1d476060b77a02e1cd60df;-;-
16;cpu14;d6/cc98db;nf-d6cc98db63b20cac20422cf1cad2ee56;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668230673819;1668230679000;1668230685000;11181;5000;-;226.6;0.2;225529856;4096335872;226361344;4153536512;22278552;3621874;15005;11047;0;4059136;10;8;/data/work/d6/cc98db63b20cac20422cf1cad2ee56;-;-
17;cpu05;69/973a74;nf-69973a743bd666264a20780e6c88eca0;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668230673856;1668230679000;1668230684000;10144;4000;-;204.3;0.2;207392768;4096245760;207527936;4123107328;22095174;3546625;14550;10928;0;3993600;10;4;/data/work/69/973a743bd666264a20780e6c88eca0;-;-
4;cpu05;90/0fa6ad;nf-900fa6adbf420ff8d887c3b47d51de8d;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668230673678;1668230686000;1668230688000;14322;1000;-;3.2;0.0;2867200;11567104;2867200;11571200;52275;1104;154;18;0;12288;2;0;/data/work/90/0fa6adbf420ff8d887c3b47d51de8d;-;-
13;cpu05;00/777a6f;nf-00777a6f042ce2e148213f8c96232830;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668230673713;1668230681000;1668230686000;12287;4000;-;229.6;0.2;226967552;4097458176;229294080;4123107328;22301435;4322763;14828;12238;0;4849664;10;4;/data/work/00/777a6f042ce2e148213f8c96232830;-;-
14;node10;b9/aa955f;nf-b9aa955f0610ca0237f5b9d8a1ba495c;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668230673749;1668230680000;1668230687000;13251;5000;-;223.4;0.3;405598208;4096245760;415956992;4123107328;51482335;3891449;71717;11440;0;4325376;10;8;/data/work/b9/aa955f0610ca0237f5b9d8a1ba495c;-;-
