task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
10;cpu14;c9/348cfd;nf-c9348cfd9e1cac54b031df7ba7406280;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668294143944;1668294154000;1668294154000;10056;0;-;26.8;0.0;3272704;5632000;3272704;5636096;132524;3148;196;46;0;12288;2;0;/data/work/c9/348cfd9e1cac54b031df7ba7406280;-;-
2;node8;f0/0dafaa;nf-f00dafaa32710e86e6545b1bf04d5b21;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668294144019;1668294153000;1668294155000;10981;1000;-;9.2;0.0;2916352;11567104;2916352;11571200;51901;1076;153;18;0;12288;2;2;/data/work/f0/0dafaa32710e86e6545b1bf04d5b21;-;-
6;node8;66/23313b;nf-6623313b651416177a5f424ea9218b9c;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668294144059;1668294153000;1668294154000;9941;1000;-;13.4;0.0;3276800;5632000;3276800;5636096;82282;3144;194;46;0;12288;2;2;/data/work/66/23313b651416177a5f424ea9218b9c;-;-
1;cpu14;81/aaa5e1;nf-81aaa5e101af34826256471b55da2383;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668294144098;1668294153000;1668294157000;12902;4000;-;183.3;0.2;278704128;16196276224;278704128;16229404672;104429696;697371;40854;241;0;950272;14;9;/data/work/81/aaa5e101af34826256471b55da2383;-;-
5;cpu05;73/d47d30;nf-73d47d301cf1245462b768018e25ef68;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668294144131;1668294156000;1668294159000;14869;1000;-;3.1;0.0;2887680;11567104;2887680;11571200;232961;113169;173;65;0;139264;2;2;/data/work/73/d47d301cf1245462b768018e25ef68;-;-
9;node8;b2/d7ed6b;nf-b2d7ed6b0eb1516ae09548bf71da7511;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668294144172;1668294157000;1668294158000;13828;1000;-;48.0;0.0;3289088;5632000;3289088;5636096;149957;4918;227;19;0;12288;4;0;/data/work/b2/d7ed6b0eb1516ae09548bf71da7511;-;-
4;node10;01/c401f5;nf-01c401f563dd2a78dc9d226a92862ece;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668294144209;1668294150000;1668294156000;11791;5000;-;182.2;0.3;405192704;42206400512;405192704;42243723264;104411252;697590;40873;243;0;774144;15;3;/data/work/01/c401f563dd2a78dc9d226a92862ece;-;-
13;cpu05;af/d457dc;nf-afd457dcb65092fa28d66524e1c67378;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668294144242;1668294154000;1668294160000;15758;4000;-;219.7;0.2;231780352;4096245760;233140224;4123107328;22300931;4322763;14801;12280;0;4792320;10;4;/data/work/af/d457dcb65092fa28d66524e1c67378;-;-
15;cpu14;f9/f14528;nf-f9f14528f4ce255d9a12e8b37ea9386a;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668294144313;1668294154000;1668294161000;16687;5000;-;257.5;0.6;874659840;4097236992;874659840;4155633664;55789015;3639850;80648;11157;0;4104192;10;5;/data/work/f9/f14528f4ce255d9a12e8b37ea9386a;-;-
12;cpu05;f1/7f684c;nf-f17f684cd0ec57b8f5be93d1f71470d1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668294143987;1668294153000;1668294160000;16013;6000;-;233.9;0.5;657555456;4096245760;659705856;4153536512;54486938;3595248;78209;11069;0;4153344;10;8;/data/work/f1/7f684cd0ec57b8f5be93d1f71470d1;-;-
