task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu14;8c/6ea55a;nf-8c6ea55a8747eda0341cfc07b5533562;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668329756312;1668329762000;1668329763000;6688;0;-;60.0;0.0;3264512;5632000;3264512;5636096;132525;3148;196;46;0;12288;2;2;/data/work/8c/6ea55a8747eda0341cfc07b5533562;-;-
9;cpu14;43/72fbf3;nf-4372fbf3b84eb565af040a491e4e9985;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668329756464;1668329764000;1668329764000;7536;0;-;30.0;0.0;3338240;5632000;3338240;5636096;82650;3157;196;46;0;12288;2;3;/data/work/43/72fbf3b84eb565af040a491e4e9985;-;-
5;cpu05;bd/119ea9;nf-bd119ea982f48bd208490defeb4339f0;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668329756497;1668329762000;1668329764000;7503;0;-;33.7;0.0;2969600;11567104;2969600;11571200;232963;113170;173;65;0;139264;2;0;/data/work/bd/119ea982f48bd208490defeb4339f0;-;-
10;node10;75/50de94;nf-7550de94e996ec56466efd7acb7a474f;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668329756235;1668329764000;1668329766000;9765;0;-;4.3;0.0;2957312;11567104;2957312;11571200;52257;1089;154;18;0;12288;2;0;/data/work/75/50de94e996ec56466efd7acb7a474f;-;-
4;node8;c6/b98b80;nf-c6b98b80560b429c7a587275838af5af;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668329756277;1668329767000;1668329770000;13723;3000;-;243.9;0.2;275431424;42180788224;275431424;42180808704;104410760;697577;40870;243;0;847872;15;7;/data/work/c6/b98b80560b429c7a587275838af5af;-;-
7;cpu05;93/f6b69f;nf-93f6b69f4445bf8daf22a59f9844fe26;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668329756346;1668329763000;1668329767000;10654;4000;-;184.4;0.2;284954624;16196276224;284991488;16229404672;104429514;697371;40845;241;0;913408;14;8;/data/work/93/f6b69f4445bf8daf22a59f9844fe26;-;-
2;node10;02/c5d0bb;nf-02c5d0bb6f1bbd3e0cbd641f322f734a;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668329756538;1668329768000;1668329768000;11462;0;-;14.4;0.0;3334144;5632000;3334144;5636096;150314;4931;228;19;0;12288;2;3;/data/work/02/c5d0bb6f1bbd3e0cbd641f322f734a;-;-
16;cpu05;fd/23a6db;nf-fd23a6db989d1756140100656b7ba7f0;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668329756642;1668329765000;1668329770000;13358;3000;-;213.3;0.2;225263616;4096245760;230359040;4124749824;22242500;3621872;14868;11047;0;4083712;10;4;/data/work/fd/23a6db989d1756140100656b7ba7f0;-;-
13;node10;22/193ac3;nf-22193ac3f79426ad12fbb1e6a87b169b;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668329756388;1668329767000;1668329771000;14612;3000;-;256.8;0.2;212905984;4096245760;214200320;4124516352;22301754;4322764;14789;12196;0;4816896;10;2;/data/work/22/193ac3f79426ad12fbb1e6a87b169b;-;-
12;node8;4c/600f04;nf-4c600f0427b3399733a05a04b30a6232;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668329756424;1668329769000;1668329775000;18576;5000;-;221.3;0.4;503238656;4122345472;504299520;4125507584;54486544;3595235;78113;11111;0;4075520;10;8;/data/work/4c/600f0427b3399733a05a04b30a6232;-;-
14;node8;82/df1a6b;nf-82df1a6b289b855f41c8814e544a78cb;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668329756573;1668329765000;1668329771000;14427;4000;-;222.8;0.3;436232192;4096245760;441233408;4125511680;51513528;3891436;71748;11482;0;4448256;10;3;/data/work/82/df1a6b289b855f41c8814e544a78cb;-;-
15;cpu14;e8/805fec;nf-e8805fecbf4b76a2fba3363d3392abe8;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668329756607;1668329765000;1668329772000;15393;6000;-;243.8;0.5;737533952;4096245760;737681408;4123107328;55790612;3639846;80708;11157;0;4055040;10;8;/data/work/e8/805fecbf4b76a2fba3363d3392abe8;-;-
17;node10;c5/a5aed9;nf-c5a5aed9f113c93e9cb368f11c2569b0;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668329756678;1668329766000;1668329771000;14322;4000;-;224.2;0.1;175390720;4092051456;176467968;4153536512;22065901;3546626;14572;10970;0;4091904;15;5;/data/work/c5/a5aed9f113c93e9cb368f11c2569b0;-;-
