task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu05;82/d6b4e9;nf-82d6b4e9abd5721887b18c4f803b1597;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668249629762;1668249640000;1668249642000;12238;0;-;11.1;0.0;2867200;11567104;2867200;11571200;232962;113170;173;65;0;139264;2;1;/data/work/82/d6b4e9abd5721887b18c4f803b1597;-;-
12;node8;02/da882e;nf-02da882e68f982b995aabd04e2561f2b;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668249629804;1668249637000;1668249645000;15196;7000;-;199.9;0.5;718823424;4096245760;720334848;4123107328;54490354;3595237;78335;11069;0;4190208;10;2;/data/work/02/da882e68f982b995aabd04e2561f2b;-;-
3;cpu14;f9/890ad0;nf-f9890ad0f5ebd1127e594c39e7b288d2;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668249629840;1668249638000;1668249642000;12160;4000;-;255.5;0.2;327651328;42187079680;330850304;42188419072;104407772;697590;40873;243;0;880640;15;7;/data/work/f9/890ad0f5ebd1127e594c39e7b288d2;-;-
2;node10;14/b8e93b;nf-14b8e93b44289dd92eeecef026b85a25;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668249629877;1668249640000;1668249641000;11123;0;-;7.6;0.0;3006464;11567104;3006464;11571200;52256;1089;154;18;0;12288;2;0;/data/work/14/b8e93b44289dd92eeecef026b85a25;-;-
8;node8;e5/2e3e45;nf-e52e3e457bb8d1edc4c8b1be3f415e38;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668249629951;1668249638000;1668249639000;9049;1000;-;3.4;0.0;3235840;5632000;3235840;5636096;82280;3143;194;46;0;12288;2;2;/data/work/e5/2e3e457bb8d1edc4c8b1be3f415e38;-;-
7;node10;53/b09ccb;nf-53b09ccb014e54c593aa06a1dfe9dde5;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668249629982;1668249637000;1668249638000;8018;0;-;31.0;0.0;3321856;5632000;3321856;5636096;150313;4931;228;19;0;12288;2;3;/data/work/53/b09ccb014e54c593aa06a1dfe9dde5;-;-
6;cpu14;14/5ca623;nf-145ca623e2fab5c764dfb5bccaa4ee31;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668249630022;1668249639000;1668249639000;8978;0;-;6.9;0.0;3194880;5632000;3194880;5636096;132523;3147;196;46;0;12288;2;3;/data/work/14/5ca623e2fab5c764dfb5bccaa4ee31;-;-
14;cpu14;87/9e4324;nf-879e432409bb12c7415026557a57c041;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668249630060;1668249636000;1668249644000;13940;6000;-;202.8;0.3;404131840;4096245760;413052928;4123107328;51479688;3891451;71675;11482;0;4431872;11;4;/data/work/87/9e432409bb12c7415026557a57c041;-;-
17;node10;1a/0f877e;nf-1a0f877e861ae960af1ba9ef1f7794bc;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668249630116;1668249638000;1668249643000;12884;4000;-;190.9;0.2;211591168;4096245760;213164032;4123107328;22097410;3546625;14602;10928;0;4018176;10;4;/data/work/1a/0f877e861ae960af1ba9ef1f7794bc;-;-
16;cpu05;1d/4b3459;nf-1d4b3459d522f9582f0ccdf4e473b1bf;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668249630147;1668249640000;1668249645000;14853;4000;-;253.7;0.1;198438912;4096245760;198438912;4123107328;22309909;3621873;14973;11089;0;4030464;10;2;/data/work/1d/4b3459d522f9582f0ccdf4e473b1bf;-;-
