task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
9;cpu05;dc/777673;nf-dc777673182a1b2881204cc1855d96fe;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668312871027;1668312884000;1668312885000;13973;1000;-;5.0;0.0;3219456;5632000;3219456;5636096;150310;4930;228;19;0;12288;2;3;/data/work/dc/777673182a1b2881204cc1855d96fe;-;-
6;cpu14;bf/7392f0;nf-bf7392f0cd942abb0fb58d505b562e55;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668312871071;1668312880000;1668312884000;12929;4000;-;241.5;0.2;245637120;42178691072;245637120;42178711552;104407626;697590;40859;243;0;1044480;18;5;/data/work/bf/7392f0cd942abb0fb58d505b562e55;-;-
3;node8;5b/4dcd53;nf-5b4dcd5377d602e8cadf15daa23f6223;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668312871109;1668312883000;1668312884000;12891;0;-;28.9;0.0;2883584;11567104;2883584;11571200;232611;113157;173;65;0;139264;2;1;/data/work/5b/4dcd5377d602e8cadf15daa23f6223;-;-
7;node10;9d/976405;nf-9d976405bd2345764c171e65640dce68;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668312871183;1668312880000;1668312881000;9817;0;-;20.3;0.0;3375104;5632000;3375104;5636096;132514;3148;198;46;0;12288;2;0;/data/work/9d/976405bd2345764c171e65640dce68;-;-
2;node10;69/bedcbe;nf-69bedcbe2222e1f8fa0a140bc31c09e4;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668312871249;1668312883000;1668312884000;12751;0;-;20.3;0.0;2768896;11567104;2768896;11571200;52257;1090;154;18;0;12288;2;1;/data/work/69/bedcbe2222e1f8fa0a140bc31c09e4;-;-
8;cpu14;9f/e01852;nf-9fe018526f0167adaeb77ce75b6eb5d6;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668312871289;1668312883000;1668312883000;11711;0;-;42.7;0.0;3186688;5632000;3186688;5636096;82650;3157;199;46;0;12288;2;3;/data/work/9f/e018526f0167adaeb77ce75b6eb5d6;-;-
17;cpu14;e6/ef3ed9;nf-e6ef3ed9af7fa059811c64b85558114b;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668312871435;1668312879000;1668312885000;13565;4000;-;209.7;0.2;227852288;4096245760;233021440;4123107328;22094835;3546626;14518;10970;0;4202496;10;6;/data/work/e6/ef3ed9af7fa059811c64b85558114b;-;-
16;node10;72/249e25;nf-72249e25f1e19d911a8b368e6855ec5c;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668312871471;1668312879000;1668312885000;13529;4000;-;201.2;0.2;224358400;4096245760;229097472;4124516352;22276886;3621872;14892;11047;0;4173824;10;3;/data/work/72/249e25f1e19d911a8b368e6855ec5c;-;-
11;cpu14;a0/8d774c;nf-a08d774c629c3e6da7b3e1b401b6b337;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668312871323;1668312883000;1668312888000;16677;5000;-;174.7;0.2;273420288;16194019328;273420288;16194039808;104429538;697371;40837;241;0;925696;15;6;/data/work/a0/8d774c629c3e6da7b3e1b401b6b337;-;-
15;node8;09/2dee9e;nf-092dee9ea3546cf66cd4a47faaf545ff;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668312871398;1668312881000;1668312888000;16602;6000;-;234.1;0.4;568475648;4096245760;578424832;4123107328;55791583;3639833;80645;11157;0;4214784;10;8;/data/work/09/2dee9ea3546cf66cd4a47faaf545ff;-;-
