task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu14;89/faf90f;nf-89faf90fdbfcf46a1dc5746c9d4e780b;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668357712683;1668357718000;1668357719000;6317;0;-;61.1;0.0;3309568;5632000;3309568;5636096;82650;3157;195;46;0;12288;2;2;/data/work/89/faf90fdbfcf46a1dc5746c9d4e780b;-;-
11;node10;ed/c4ef4d;nf-edc4ef4d4588bbeffc6eda52f36ad66c;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668357712636;1668357721000;1668357724000;11364;1000;-;7.3;0.0;3006464;11567104;3006464;11571200;52256;1089;154;18;0;12288;2;1;/data/work/ed/c4ef4d4588bbeffc6eda52f36ad66c;-;-
4;cpu05;8e/5cdacf;nf-8e5cdacf85c11bd86ebdbbc363af8dcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668357712725;1668357724000;1668357725000;12275;0;-;9.1;0.0;3309568;5632000;3309568;5636096;132510;3147;198;46;0;12288;2;1;/data/work/8e/5cdacf85c11bd86ebdbbc363af8dcf;-;-
10;node10;61/7f36f1;nf-617f36f1242b636dce8b4d51328c7ba3;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668357712833;1668357723000;1668357724000;11167;0;-;7.0;0.0;2928640;11567104;2928640;11571200;232964;113169;173;65;0;139264;2;2;/data/work/61/7f36f1242b636dce8b4d51328c7ba3;-;-
2;cpu14;fe/eadb15;nf-feeadb150d939ea5afd9890e98394a16;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668357712867;1668357719000;1668357723000;10133;4000;-;250.0;0.2;305479680;42184982528;305479680;42186145792;104408218;697590;40912;243;0;897024;15;7;/data/work/fe/eadb150d939ea5afd9890e98394a16;-;-
3;cpu05;25/7ea2d4;nf-257ea2d42ebb9d89515298ba3b4b9c06;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668357712760;1668357730000;1668357730000;17240;0;-;23.0;0.0;3301376;5632000;3301376;5636096;150311;4931;228;19;0;12288;2;3;/data/work/25/7ea2d42ebb9d89515298ba3b4b9c06;-;-
1;node8;b0/e2150a;nf-b0e2150a57b321b94eb2745e438398e7;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668357712796;1668357725000;1668357730000;17204;5000;-;161.6;0.2;284561408;16187441152;284561408;16229404672;104432750;697358;40858;241;0;892928;15;5;/data/work/b0/e2150a57b321b94eb2745e438398e7;-;-
13;node8;06/72b9a8;nf-0672b9a86a279b4cfc30bce6ee4f9088;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668357712907;1668357726000;1668357731000;18093;3000;-;215.2;0.1;188653568;4092051456;188653568;4123107328;22268801;4322751;14767;12196;0;4718592;10;8;/data/work/06/72b9a86a279b4cfc30bce6ee4f9088;-;-
12;node10;77/998c31;nf-77998c310c725f3646b8065a68f53e4f;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668357712940;1668357722000;1668357728000;15060;5000;-;258.2;0.4;540667904;4094148608;540667904;4123111424;54490543;3595248;78341;11069;0;4096000;10;3;/data/work/77/998c310c725f3646b8065a68f53e4f;-;-
14;cpu05;fb/94975a;nf-fb94975a4e3a5eb638d0e4f4e3549b1e;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668357712971;1668357725000;1668357731000;18029;5000;-;224.6;0.5;708960256;4096245760;709054464;4153536512;51480271;3891449;71733;11440;0;4407296;10;7;/data/work/fb/94975a4e3a5eb638d0e4f4e3549b1e;-;-
15;cpu14;d9/01ab54;nf-d901ab54dae7bb9f4f5092eab4179e24;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668357713001;1668357722000;1668357729000;15999;6000;-;214.5;0.3;446648320;4096770048;449646592;4123107328;55790174;3639846;80688;11157;0;4063232;10;8;/data/work/d9/01ab54dae7bb9f4f5092eab4179e24;-;-
