task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;node8;e3/3faaf9;nf-e33faaf99c18ee7a4fa13eaba982fc26;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668285676490;1668285684000;1668285686000;9510;0;-;15.8;0.0;3276800;5632000;3276800;5636096;132157;3135;195;46;0;12288;2;2;/data/work/e3/3faaf99c18ee7a4fa13eaba982fc26;-;-
6;cpu05;3b/e7ead4;nf-3be7ead46fc66553dedeb12f25233038;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668285676678;1668285683000;1668285685000;8322;1000;-;6.6;0.0;2895872;11567104;2895872;11571200;232961;113169;178;65;0;139264;2;1;/data/work/3b/e7ead46fc66553dedeb12f25233038;-;-
4;node10;9c/6b995d;nf-9c6b995dea2202991fdb848ba1b9374b;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668285676398;1668285684000;1668285687000;10602;0;-;12.7;0.0;2932736;11567104;2932736;11571200;52258;1090;154;18;0;12288;2;1;/data/work/9c/6b995dea2202991fdb848ba1b9374b;-;-
3;cpu05;91/7a5246;nf-917a52466727b280986b1c4e9a6838f0;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668285676604;1668285684000;1668285688000;11396;4000;-;256.3;0.2;299470848;42187079680;299470848;42243723264;104407772;697590;40872;243;0;897024;15;5;/data/work/91/7a52466727b280986b1c4e9a6838f0;-;-
9;node10;b3/1b69a3;nf-b31b69a39a0edf4566faffcb3ac2a7ab;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668285676532;1668285688000;1668285689000;12468;0;-;26.1;0.0;3289088;5632000;3289088;5636096;150315;4931;228;19;0;12288;2;1;/data/work/b3/1b69a39a0edf4566faffcb3ac2a7ab;-;-
5;cpu14;1f/3181fc;nf-1f3181fc4def157e6d2d17d60de43dbb;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668285676714;1668285693000;1668285694000;17286;1000;-;2.8;0.0;3244032;5632000;3244032;5636096;82648;3156;197;46;0;12288;2;4;/data/work/1f/3181fc4def157e6d2d17d60de43dbb;-;-
15;node8;ec/f69a0f;nf-ecf69a0f17f2726c10dd1b4ca0eeecc7;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668285676783;1668285686000;1668285691000;14217;4000;-;228.3;0.3;464109568;4096245760;465149952;4123107328;55790431;3639837;80724;11157;0;4050944;10;9;/data/work/ec/f69a0f17f2726c10dd1b4ca0eeecc7;-;-
17;node10;aa/1060bf;nf-aa1060bfba212e70548cbb69dad8d837;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668285676815;1668285686000;1668285691000;14185;4000;-;200.7;0.2;227479552;4124508160;232517632;4125270016;22096715;3546625;14534;10928;0;4014080;10;3;/data/work/aa/1060bfba212e70548cbb69dad8d837;-;-
16;cpu05;48/8515b3;nf-488515b323bfcb7ccd8f0fa4d29b3c50;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668285676850;1668285686000;1668285691000;14150;4000;-;199.4;0.2;233103360;4096245760;239607808;4153536512;22241806;3621873;14801;11047;0;4096000;10;4;/data/work/48/8515b323bfcb7ccd8f0fa4d29b3c50;-;-
20;cpu05;cd/53de5a;nf-cd53de5aa1a00dc467405c91a001b847;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM;test2;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test2);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;28800000;-;32212254720;1;1668285687805;1668285693000;1668285695000;7195;1000;-;99.6;0.0;2895872;11567104;2895872;11571200;4080892;4005969;1164;941;0;450560;2;0;/data/work/cd/53de5aa1a00dc467405c91a001b847;-;-
34;cpu14;2a/8aa510;nf-2a8aa510a230dff20cc00475a5ba37e4;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM;test7;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test7);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;28800000;-;32212254720;1;1668285687902;1668285690000;1668285691000;3098;0;-;303.1;0.0;2969600;11567104;2969600;11571200;7336741;7276128;1866;1671;0;729088;3;3;/data/work/2a/8aa510a230dff20cc00475a5ba37e4;-;-
13;cpu14;67/b746d0;nf-67b746d09f910858c3c77238127d722f;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668285676449;1668285695000;1668285700000;23551;4000;-;210.2;0.2;244043776;4096245760;248254464;4123107328;22269334;4322763;14881;12196;0;4853760;10;7;/data/work/67/b746d09f910858c3c77238127d722f;-;-
1;cpu14;f7/eeaf0d;nf-f7eeaf0d2d8c3caa7393491caf8d514d;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668285676568;1668285691000;1668285696000;19432;5000;-;158.3;0.2;276451328;16185344000;276451328;16229404672;104429783;697371;40857;241;0;1032192;15;9;/data/work/f7/eeaf0d2d8c3caa7393491caf8d514d;-;-
12;cpu14;4c/d7a1e3;nf-4cd7a1e305d08b3d0decb1c8c1f65f25;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668285676644;1668285689000;1668285696000;19356;5000;-;227.2;0.6;869814272;4096245760;878583808;4123111424;54487406;3595248;78252;11111;0;4317184;10;4;/data/work/4c/d7a1e305d08b3d0decb1c8c1f65f25;-;-
