task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu14;2b/2b0ed2;nf-2b2b0ed285f97e996567ec9826478afb;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668355543628;1668355551000;1668355551000;7372;0;-;47.8;0.0;3293184;5632000;3293184;5636096;132524;3148;196;46;0;12288;3;3;/data/work/2b/2b0ed285f97e996567ec9826478afb;-;-
5;cpu14;43/cee2b1;nf-43cee2b1704bb1edd11b14db8fd5862b;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668355543738;1668355552000;1668355552000;8262;0;-;46.7;0.0;3260416;5632000;3260416;5636096;82649;3157;194;46;0;12288;2;3;/data/work/43/cee2b1704bb1edd11b14db8fd5862b;-;-
2;node8;8e/462cb0;nf-8e462cb06662e2d96b078f70e5d763e0;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668355543585;1668355552000;1668355553000;9415;0;-;50.0;0.0;2895872;11567104;2895872;11571200;51906;1077;153;18;0;12288;2;1;/data/work/8e/462cb06662e2d96b078f70e5d763e0;-;-
6;cpu05;86/08e3bc;nf-8608e3bc970c07fa9c00fdd3f2f36e76;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668355543705;1668355552000;1668355556000;12295;4000;-;183.2;0.1;173998080;16172761088;173998080;16172781568;104429035;697371;40785;241;0;962560;14;6;/data/work/86/08e3bc970c07fa9c00fdd3f2f36e76;-;-
9;node8;df/42463a;nf-df42463a3e0ddeff1ee081fa69614a78;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668355543773;1668355550000;1668355555000;11227;3000;-;251.6;0.2;303583232;42184982528;303583232;42186235904;104411411;697577;40933;243;0;983040;15;6;/data/work/df/42463a3e0ddeff1ee081fa69614a78;-;-
8;cpu05;ed/5d4709;nf-ed5d4709116c8878e176344492f68c9a;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668355543836;1668355553000;1668355554000;10164;0;-;31.0;0.0;3297280;5632000;3297280;5636096;150312;4931;228;19;0;12288;2;2;/data/work/ed/5d4709116c8878e176344492f68c9a;-;-
14;cpu14;b0/3eae00;nf-b03eae00546f8b80c92f361c19867719;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668355543871;1668355550000;1668355557000;13129;5000;-;230.9;0.3;430071808;4096245760;446443520;4123107328;51481091;3891449;71763;11440;0;4427776;10;3;/data/work/b0/3eae00546f8b80c92f361c19867719;-;-
17;node8;53/a38e9a;nf-53a38e9acf681805f24917d62297da0a;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668355543967;1668355554000;1668355559000;15033;4000;-;239.4;0.2;220753920;4096245760;223948800;4125270016;22096397;3546613;14513;10970;0;4059136;10;8;/data/work/53/a38e9acf681805f24917d62297da0a;-;-
4;node10;fd/d25877;nf-fdd25877d138bd8411075234143b8b19;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668355543537;1668355555000;1668355557000;13463;0;-;11.9;0.0;2912256;11567104;2912256;11571200;232966;113170;175;65;0;139264;2;1;/data/work/fd/d25877d138bd8411075234143b8b19;-;-
13;node10;09/717c9b;nf-09717c9bcda61c04ab8f1e22bf816560;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668355543669;1668355554000;1668355558000;14331;3000;-;274.0;0.1;187789312;4092051456;188305408;4124512256;22302627;4322764;14823;12238;0;4792320;11;7;/data/work/09/717c9bcda61c04ab8f1e22bf816560;-;-
12;node10;f2/703c0b;nf-f2703c0bf71364257a20d21b62fc1f43;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668355543803;1668355554000;1668355561000;17197;6000;-;250.2;0.4;509009920;4096245760;518803456;4123107328;54489433;3595248;78185;11069;0;4169728;10;9;/data/work/f2/703c0bf71364257a20d21b62fc1f43;-;-
15;node8;dc/9b3006;nf-dc9b3006aff37d70222994ae05d7a3b2;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668355543904;1668355557000;1668355564000;20096;6000;-;217.4;0.4;522522624;4096245760;526090240;4151439360;55792281;3639833;80760;11157;0;4071424;10;7;/data/work/dc/9b3006aff37d70222994ae05d7a3b2;-;-
16;cpu05;6c/3fd2b1;nf-6c3fd2b1699e8b986bf0866206343333;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668355543933;1668355555000;1668355562000;18067;5000;-;216.4;0.2;222617600;4097015808;222687232;4123107328;22277261;3621873;14904;11089;0;4038656;10;5;/data/work/6c/3fd2b1699e8b986bf0866206343333;-;-
