task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node10;41/af78ab;nf-41af78abe734cf9a138759af39a25d68;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668258196472;1668258201000;1668258201000;4528;0;-;42.7;0.0;3239936;5632000;3239936;5636096;132514;3148;196;46;0;12288;5;0;/data/work/41/af78abe734cf9a138759af39a25d68;-;-
4;cpu14;af/a3ec3b;nf-afa3ec3b4fbc59b1e553e79d54388618;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668258196503;1668258200000;1668258204000;7497;4000;-;252.9;0.2;311676928;42187079680;311676928;42188435456;104408081;697590;40901;243;0;856064;19;5;/data/work/af/a3ec3b4fbc59b1e553e79d54388618;-;-
5;node10;b6/780173;nf-b6780173f9639a0428ea0d67db37eaac;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668258196565;1668258202000;1668258203000;6435;0;-;39.0;0.0;2928640;11567104;2928640;11571200;232965;113170;174;65;0;139264;4;4;/data/work/b6/780173f9639a0428ea0d67db37eaac;-;-
11;cpu05;d8/5cd8f9;nf-d85cd8f9519643ab0962d0f3c4086570;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668258196434;1668258203000;1668258204000;7566;0;-;10.9;0.0;3309568;5632000;3309568;5636096;150311;4931;228;19;0;12288;2;0;/data/work/d8/5cd8f9519643ab0962d0f3c4086570;-;-
15;cpu14;15/59da55;nf-1559da559db6b6ac2a49c638f68736ec;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668258196743;1668258201000;1668258207000;10257;5000;-;227.9;0.5;689291264;4096245760;694571008;4123107328;55789407;3639850;80757;11157;0;4050944;16;15;/data/work/15/59da559db6b6ac2a49c638f68736ec;-;-
21;cpu14;1f/179ffb;nf-1f179ffb624b5ce3ba740873605decaf;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM;test2;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test2);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;28800000;-;32212254720;1;1668258205824;1668258208000;1668258209000;3176;0;-;346.3;0.0;2887680;11567104;2887680;11571200;4080900;4005970;1165;941;0;450560;4;4;/data/work/1f/179ffb624b5ce3ba740873605decaf;-;-
10;node8;8e/615048;nf-8e6150485eb700a2ab61e01ef7373dfd;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668258196536;1668258209000;1668258209000;12464;0;-;8.9;0.0;3301376;5632000;3301376;5636096;82280;3143;194;46;0;12288;2;1;/data/work/8e/6150485eb700a2ab61e01ef7373dfd;-;-
12;cpu05;f4/5bb443;nf-f45bb443f16f896eafc3aac4f7bce5af;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668258196634;1668258204000;1668258211000;14366;6000;-;230.2;0.3;457699328;4094148608;457699328;4123107328;54488010;3595248;78194;11069;0;4141056;10;2;/data/work/f4/5bb443f16f896eafc3aac4f7bce5af;-;-
17;cpu05;19/ec9746;nf-19ec97460dbf7d77eec978d5edcb4037;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668258196801;1668258207000;1668258213000;16199;5000;-;191.1;0.2;216600576;4096245760;216600576;4123107328;22094727;3546625;14512;11012;0;4005888;10;6;/data/work/19/ec97460dbf7d77eec978d5edcb4037;-;-
33;node10;36/c4d40f;nf-36c4d40fec40b932bf280c620d115f0a;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM;test4;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test4);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;28800000;-;32212254720;1;1668258205908;1668258209000;1668258215000;9092;5000;-;468.9;0.3;511184896;5844340736;524046336;5941092352;185276549;187374672;41350;36973;0;36294656;159;2;/data/work/36/c4d40fec40b932bf280c620d115f0a;-;-
