task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;node10;7a/6ba8ed;nf-7a6ba8edf89c01edb59d7bb917e371bf;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668239141648;1668239149000;1668239149000;7352;0;-;47.9;0.0;3313664;5632000;3313664;5636096;150313;4931;228;19;0;12288;2;2;/data/work/7a/6ba8edf89c01edb59d7bb917e371bf;-;-
9;node8;20/8ad24b;nf-208ad24b4fc49ba301fae14565ea7a3b;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668239141529;1668239152000;1668239152000;10471;0;-;64.4;0.0;3207168;5632000;3207168;5636096;132155;3135;195;46;0;12288;2;0;/data/work/20/8ad24b4fc49ba301fae14565ea7a3b;-;-
5;cpu05;75/160d8f;nf-75160d8fa8df9d4de3c618d422e11588;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668239141573;1668239153000;1668239154000;12427;1000;-;4.2;0.0;3248128;5632000;3248128;5636096;82636;3156;197;46;0;12288;2;2;/data/work/75/160d8fa8df9d4de3c618d422e11588;-;-
1;node8;51/0dfdad;nf-510dfdad4fc118f08dfc9d875891da86;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668239141613;1668239148000;1668239153000;11387;4000;-;184.1;0.1;169787392;16172761088;169787392;16229404672;104432486;697358;40832;241;0;942080;15;9;/data/work/51/0dfdad4fc118f08dfc9d875891da86;-;-
4;cpu14;2d/395d1d;nf-2d395d1d7e93a90c318f3ea25af98fa2;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668239141683;1668239152000;1668239155000;13317;3000;-;258.6;0.2;299421696;42184982528;299421696;42186145792;104407922;697590;40881;243;0;872448;15;9;/data/work/2d/395d1d7e93a90c318f3ea25af98fa2;-;-
3;cpu14;b1/abf536;nf-b1abf5362dcadd60ecf3aa9b69e8fe6e;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668239141752;1668239153000;1668239155000;13248;1000;-;7.1;0.0;2871296;11567104;2871296;11571200;232974;113169;173;65;0;139264;2;1;/data/work/b1/abf5362dcadd60ecf3aa9b69e8fe6e;-;-
13;cpu05;93/a38ab0;nf-93a38ab0f0854899b8e1a0d1407d8186;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668239141785;1668239150000;1668239154000;12215;3000;-;244.8;0.2;212238336;4096245760;212746240;4124749824;22268428;4322763;14888;12238;0;4833280;10;2;/data/work/93/a38ab0f0854899b8e1a0d1407d8186;-;-
2;node8;73/7397ad;nf-737397adaf2353e3162123ef961fbac9;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668239141822;1668239149000;1668239152000;10178;1000;-;6.7;0.0;2924544;11567104;2924544;11571200;51899;1076;153;18;0;12288;2;1;/data/work/73/7397adaf2353e3162123ef961fbac9;-;-
16;cpu05;33/5742b7;nf-335742b770435c3be382a62feecc02a1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668239141925;1668239152000;1668239156000;14075;3000;-;217.9;0.2;231956480;4096245760;237215744;4123107328;22275156;3621873;14866;11089;0;4100096;10;7;/data/work/33/5742b770435c3be382a62feecc02a1;-;-
17;cpu14;0d/545082;nf-0d5450821cb94658e79c167a52108bb0;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668239141962;1668239152000;1668239156000;14038;3000;-;226.0;0.2;229330944;4096245760;235257856;4153536512;22127448;3546625;14512;10970;0;3977216;11;11;/data/work/0d/5450821cb94658e79c167a52108bb0;-;-
12;node10;42/9bac77;nf-429bac77db8d4ffc91710b666948d52c;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668239141720;1668239151000;1668239157000;15280;5000;-;262.2;0.4;578805760;4094148608;578805760;4123107328;54487447;3595248;78116;11069;0;4026368;10;3;/data/work/42/9bac77db8d4ffc91710b666948d52c;-;-
14;node10;24/4ae316;nf-244ae316749bda73cfcf75b63be3999f;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668239141859;1668239151000;1668239157000;15141;5000;-;222.7;0.3;428769280;4100562944;428769280;4123111424;51513118;3891449;71700;11482;0;4313088;11;7;/data/work/24/4ae316749bda73cfcf75b63be3999f;-;-
15;node10;24/c001b0;nf-24c001b0278d4d227f0361e3d13354aa;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668239141894;1668239153000;1668239159000;17106;5000;-;234.1;0.4;507195392;4096245760;508542976;4123111424;55791293;3639850;80702;11157;0;4030464;10;5;/data/work/24/c001b0278d4d227f0361e3d13354aa;-;-
37;cpu05;74/3f4953;nf-743f495397859e8d94004f58887bd801;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT;chr22_1-40001;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_1-40001);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668239158127;1668239160000;1668239160000;1873;0;-;66.7;0.0;3305472;5632000;3305472;5636096;87870;3237;214;47;0;16384;6;0;/data/work/74/3f495397859e8d94004f58887bd801;-;-
22;cpu14;9f/d31bd0;nf-9fd31bd0e6223dc82f5fc68583c34bcb;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM;test2;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test2);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;28800000;-;32212254720;1;1668239157874;1668239162000;1668239163000;5126;0;-;360.3;0.0;2965504;11567104;2965504;11571200;4080905;4005970;1162;941;0;450560;6;0;/data/work/9f/d31bd0e6223dc82f5fc68583c34bcb;-;-
35;node10;ee/01c1ad;nf-ee01c1ad7695af3a81963b7501ba3adc;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM;test7;NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (test7);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;28800000;-;32212254720;1;1668239157958;1668239165000;1668239168000;10042;1000;-;77.5;0.0;18006016;5592043520;18006016;5642743808;7336730;7276127;1896;1671;0;729088;88;4;/data/work/ee/01c1ad7695af3a81963b7501ba3adc;-;-
