task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu14;2f/8e8459;nf-2f8e84595df9f803a6cecbed2487c593;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668308585415;1668308597000;1668308597000;11585;0;-;40.2;0.0;3334144;5632000;3334144;5636096;82649;3157;195;46;0;12288;3;1;/data/work/2f/8e84595df9f803a6cecbed2487c593;-;-
4;node8;20/fcafc2;nf-20fcafc245545a6a965f8dfb164e3640;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668308585453;1668308597000;1668308598000;12547;0;-;9.4;0.0;2871296;11567104;2871296;11571200;232609;113156;172;65;0;139264;2;1;/data/work/20/fcafc245545a6a965f8dfb164e3640;-;-
2;cpu05;04/3ca5c3;nf-043ca5c3d7ae3b4e4d1d252a0282e464;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668308585534;1668308597000;1668308598000;12466;0;-;62.1;0.0;2969600;11567104;2969600;11571200;52256;1090;154;18;0;12288;2;3;/data/work/04/3ca5c3d7ae3b4e4d1d252a0282e464;-;-
11;node8;af/baa455;nf-afbaa455f3990ed48e2a8109c97bb2be;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668308585568;1668308596000;1668308597000;11432;1000;-;5.6;0.0;3190784;5632000;3190784;5636096;132158;3134;195;46;0;12288;2;4;/data/work/af/baa455f3990ed48e2a8109c97bb2be;-;-
8;cpu14;76/720e5c;nf-76720e5cfcd341817d367da6a5a410ba;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668308585676;1668308596000;1668308597000;11324;1000;-;5.5;0.0;3223552;5632000;3223552;5636096;150322;4930;228;19;0;12288;2;3;/data/work/76/720e5cfcd341817d367da6a5a410ba;-;-
17;node8;58/29b0e0;nf-5829b0e0cfda04e88f3f0003da57420f;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668308585818;1668308593000;1668308600000;14182;5000;-;191.9;0.2;224546816;4097105920;225529856;4123107328;22066082;3546616;14598;10928;0;4083712;10;7;/data/work/58/29b0e0cfda04e88f3f0003da57420f;-;-
3;node10;a6/c8e8bf;nf-a6c8e8bfa6fb3779ec07fffb5bae9bf6;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668308585372;1668308597000;1668308602000;16628;5000;-;195.6;0.2;286351360;42182885376;286351360;42243723264;104411321;697590;40881;243;0;909312;15;8;/data/work/a6/c8e8bfa6fb3779ec07fffb5bae9bf6;-;-
1;node10;34/a89bf4;nf-34a89bf4b7f3b68040064aef38ddc732;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668308585605;1668308597000;1668308601000;15395;4000;-;173.2;0.2;280727552;16191635456;280727552;16229404672;104433052;697371;40868;241;0;921600;15;8;/data/work/34/a89bf4b7f3b68040064aef38ddc732;-;-
13;node10;2b/c14b0d;nf-2bc14b0d698958013c0c4ac98ae98853;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668308585641;1668308598000;1668308602000;16359;3000;-;232.1;0.1;193069056;4094148608;193069056;4125270016;22301186;4322764;14731;12196;0;4804608;10;8;/data/work/2b/c14b0d698958013c0c4ac98ae98853;-;-
16;cpu14;d4/273bd5;nf-d4273bd5d2e2b85d268e937b8d7cda58;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668308585784;1668308597000;1668308603000;17216;5000;-;157.3;0.2;227401728;4096245760;232448000;4125270016;22275272;3621874;14879;11047;0;4046848;10;4;/data/work/d4/273bd5d2e2b85d268e937b8d7cda58;-;-
12;cpu05;ae/33898f;nf-ae33898f3a4a1bcf94cdaa534f2dff20;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668308585497;1668308597000;1668308603000;17503;5000;-;234.0;0.4;492040192;4096245760;497070080;4123107328;54486839;3595248;78176;11069;0;4079616;10;5;/data/work/ae/33898f3a4a1bcf94cdaa534f2dff20;-;-
