task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;node10;9b/928b22;nf-9b928b22d1b42c5e7d93a58fee6587de;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1669072558219;1669072564000;1669072566000;7781;1000;-;17.4;0.0;3006464;11567104;3006464;11571200;232963;113170;173;65;0;139264;2;1;/data/work/9b/928b22d1b42c5e7d93a58fee6587de;-;-
10;cpu05;92/75dc92;nf-9275dc92f6dda399660fe960ca5eb3a9;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1669072558364;1669072562000;1669072566000;7636;4000;-;254.5;0.3;366104576;42187079680;366104576;42243723264;104408103;697590;40906;243;0;847872;19;10;/data/work/92/75dc92f6dda399660fe960ca5eb3a9;-;-
1;node8;2c/49ef71;nf-2c49ef71b0b3238f3a970f994ae7baea;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1669072558144;1669072568000;1669072569000;10856;1000;-;3.7;0.0;3252224;5632000;3252224;5636096;150015;4919;227;19;0;12288;2;0;/data/work/2c/49ef71b0b3238f3a970f994ae7baea;-;-
8;cpu14;92/c1ab0a;nf-92c1ab0aa8dbf61163c73c6fedeb2b36;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1669072558295;1669072569000;1669072570000;11705;0;-;10.0;0.0;2904064;11567104;2904064;11571200;52273;1090;154;18;0;12288;2;1;/data/work/92/c1ab0aa8dbf61163c73c6fedeb2b36;-;-
14;node10;b7/0f5d50;nf-b70f5d5097c98e626894b3d53f04d545;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669072558433;1669072564000;1669072571000;12567;6000;-;222.0;0.3;448696320;4096245760;448872448;4123107328;51514588;3891449;71700;11440;0;4325376;12;2;/data/work/b7/0f5d5097c98e626894b3d53f04d545;-;-
17;cpu05;ea/dfc473;nf-eadfc4733812fce88e05ebf2a77e1c6a;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669072558531;1669072564000;1669072569000;10469;4000;-;224.1;0.2;225288192;4096245760;230060032;4123111424;22093564;3546625;14400;10928;0;3936256;10;7;/data/work/ea/dfc4733812fce88e05ebf2a77e1c6a;-;-
2;node8;df/4432f0;nf-df4432f0d69bc54afd56b86e6ba4e9d8;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669072558100;1669072569000;1669072569000;10900;0;-;9.5;0.0;3239936;5632000;3239936;5636096;82339;3145;193;46;0;12288;2;4;/data/work/df/4432f0d69bc54afd56b86e6ba4e9d8;-;-
3;cpu14;d2/1ede7c;nf-d21ede7cb1bea3457bfa17865100a5c7;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669072558329;1669072570000;1669072570000;11671;0;-;15.3;0.0;3334144;5632000;3334144;5636096;132529;3148;198;46;0;12288;2;3;/data/work/d2/1ede7cb1bea3457bfa17865100a5c7;-;-
15;cpu14;40/2d8629;nf-402d86294016f911355ec158cc068787;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669072558464;1669072565000;1669072574000;15536;7000;-;207.2;0.6;848818176;4096245760;848818176;4123107328;55790400;3639852;80711;11157;0;4218880;10;7;/data/work/40/2d86294016f911355ec158cc068787;-;-
16;cpu14;43/7b0efa;nf-437b0efaeb7b40daacc60e9948034577;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669072558500;1669072570000;1669072576000;17500;4000;-;247.3;0.1;187514880;4092051456;187572224;4123107328;22309744;3621873;14951;11047;0;4132864;10;8;/data/work/43/7b0efaeb7b40daacc60e9948034577;-;-
