task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
9;node8;eb/282ffd;nf-eb282ffda072a56f10b54c524d6528dc;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1669043012832;1669043023000;1669043023000;10168;0;-;10.1;0.0;3305472;5632000;3305472;5636096;150012;4920;227;19;0;12288;2;3;/data/work/eb/282ffda072a56f10b54c524d6528dc;-;-
3;node10;7d/5b22fa;nf-7d5b22fae100054c3c2450d455e9e648;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1669043013056;1669043021000;1669043026000;12944;5000;-;215.5;0.2;312676352;42197565440;312676352;42198380544;104411606;697590;40916;243;0;925696;15;9;/data/work/7d/5b22fae100054c3c2450d455e9e648;-;-
6;node8;f3/1052b9;nf-f31052b9c5d9535d789c29306c6a7761;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669043013115;1669043023000;1669043023000;9885;0;-;11.6;0.0;3244032;5632000;3244032;5636096;132212;3137;196;46;0;12288;2;3;/data/work/f3/1052b9c5d9535d789c29306c6a7761;-;-
1;node10;0c/0c56c4;nf-0c0c56c4d206f92a29e9b41f9b6c5311;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1669043013153;1669043024000;1669043026000;12847;0;-;5.8;0.0;2904064;11567104;2904064;11571200;52256;1089;154;18;0;12288;2;1;/data/work/0c/0c56c4d206f92a29e9b41f9b6c5311;-;-
14;node8;a2/4ee816;nf-a24ee816de9009e20852437b6ec82d4d;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test3-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test3-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669043013187;1669043022000;1669043029000;15813;5000;-;209.6;0.3;448528384;4096245760;453656576;4123107328;51521622;3891437;71693;11440;0;4395008;10;4;/data/work/a2/4ee816de9009e20852437b6ec82d4d;-;-
5;cpu05;03/7e2462;nf-037e2462c4919b45807af463f07d064a;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1669043012876;1669043026000;1669043028000;15124;1000;-;18.3;0.0;2818048;11567104;2818048;11571200;232964;113170;173;65;0;139264;2;1;/data/work/03/7e2462c4919b45807af463f07d064a;-;-
13;node10;f5/d34dcd;nf-f5d34dcd845576bc1c4c739f427d4e56;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669043012913;1669043026000;1669043030000;17087;3000;-;261.0;0.2;221544448;4100866048;221544448;4123107328;22301158;4322763;14729;12196;0;4780032;10;3;/data/work/f5/d34dcd845576bc1c4c739f427d4e56;-;-
12;cpu05;ec/730725;nf-ec73072567001c8806bb8c57da8f47df;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669043012952;1669043023000;1669043029000;16048;4000;-;260.6;0.4;572936192;4096245760;573247488;4123107328;54486976;3595248;78236;11069;0;4263936;10;3;/data/work/ec/73072567001c8806bb8c57da8f47df;-;-
8;cpu05;8e/dd2241;nf-8edd22410981aeefdef6d2fe4ddfeae8;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669043012986;1669043026000;1669043026000;13014;0;-;18.0;0.0;3190784;5632000;3190784;5636096;82639;3157;195;46;0;12288;2;3;/data/work/8e/dd22410981aeefdef6d2fe4ddfeae8;-;-
2;cpu05;c4/90e80f;nf-c490e80f01e0bb5be875d761a644a7d0;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1669043013022;1669043025000;1669043029000;15978;4000;-;169.8;0.2;271745024;16189538304;271745024;16190369792;104429368;697371;40830;241;0;999424;15;8;/data/work/c4/90e80f01e0bb5be875d761a644a7d0;-;-
