task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;cpu14;9b/f58356;nf-9bf58356e4658addd0d8feb639d81b3d;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669057601996;1669057610000;1669057611000;9004;0;-;55.5;0.0;3268608;5632000;3268608;5636096;132528;3148;196;46;0;12288;2;3;/data/work/9b/f58356e4658addd0d8feb639d81b3d;-;-
4;node10;6d/3af539;nf-6d3af539aad218bf57bad1e25c5cd830;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1669057601812;1669057612000;1669057613000;11188;0;-;16.4;0.0;2830336;11567104;2830336;11571200;232963;113170;173;65;0;139264;2;1;/data/work/6d/3af539aad218bf57bad1e25c5cd830;-;-
1;node8;b2/aef4f9;nf-b2aef4f9825891c76dd8df821d706593;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1669057601858;1669057614000;1669057616000;14142;1000;-;3.9;0.0;2965504;11567104;2965504;11571200;51958;1078;153;18;0;12288;2;1;/data/work/b2/aef4f9825891c76dd8df821d706593;-;-
5;cpu05;26/35f37c;nf-2635f37c9e276f866ab3ec2f025a6ef8;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1669057601896;1669057611000;1669057614000;12104;3000;-;254.9;0.2;311029760;42184982528;311029760;42186321920;104407874;697590;40887;243;0;774144;15;7;/data/work/26/35f37c9e276f866ab3ec2f025a6ef8;-;-
7;node10;15/955ecd;nf-15955ecd8f6287bfe301820dbb61c4e2;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669057601962;1669057611000;1669057612000;10038;1000;-;3.5;0.0;3301376;5632000;3301376;5636096;82637;3156;196;46;0;12288;2;2;/data/work/15/955ecd8f6287bfe301820dbb61c4e2;-;-
3;cpu14;cf/6d4c6b;nf-cf6d4c6b1c983f73d55b65b470036a0f;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1669057602068;1669057611000;1669057615000;12932;4000;-;180.0;0.1;201293824;16174858240;202907648;16174878720;104429330;697371;40819;241;0;811008;15;8;/data/work/cf/6d4c6b1c983f73d55b65b470036a0f;-;-
2;node8;6c/c75dfc;nf-6cc75dfc5433517accc4392dcb58db81;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1669057602108;1669057614000;1669057614000;11892;0;-;50.2;0.0;3284992;5632000;3284992;5636096;150015;4920;227;19;0;12288;2;3;/data/work/6c/c75dfc5433517accc4392dcb58db81;-;-
15;cpu05;c5/c41b8c;nf-c5c41b8cfac45352e3e89d92b616e57c;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669057602177;1669057609000;1669057616000;13823;6000;-;193.5;0.4;494182400;4096245760;494182400;4123107328;55788503;3639852;80645;11157;0;4030464;11;2;/data/work/c5/c41b8cfac45352e3e89d92b616e57c;-;-
17;cpu05;dc/e4519d;nf-dce4519d63fa041833a96726f3f09683;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test8-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test8-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669057602208;1669057609000;1669057615000;12792;5000;-;157.4;0.2;222875648;4096245760;227655680;4124516352;22095178;3546627;14554;10928;0;3919872;10;8;/data/work/dc/e4519d63fa041833a96726f3f09683;-;-
16;cpu14;19/2ee0aa;nf-192ee0aaefb1be7171360365ab01ee9a;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669057602241;1669057607000;1669057615000;12759;5000;-;159.4;0.2;225124352;4096245760;230379520;4123107328;22275483;3621875;14897;11047;0;4075520;10;3;/data/work/19/2ee0aaefb1be7171360365ab01ee9a;-;-
