task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;node8;bb/77d023;nf-bb77d0232f5ee43a0745e252ce875d79;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1669028267197;1669028275000;1669028275000;7803;0;-;9.7;0.0;3211264;5632000;3211264;5636096;150010;4919;227;19;0;12288;2;3;/data/work/bb/77d0232f5ee43a0745e252ce875d79;-;-
11;node10;12/b5dac9;nf-12b5dac9615a8c4f1224893eaa5327cb;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1669028267278;1669028275000;1669028277000;9722;1000;-;7.0;0.0;2834432;11567104;2834432;11571200;232962;113169;173;65;0;139264;2;1;/data/work/12/b5dac9615a8c4f1224893eaa5327cb;-;-
2;cpu05;2f/acc03a;nf-2facc03ab27b8bf09fabb27d9a51ca5a;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669028267242;1669028276000;1669028276000;8758;0;-;75.6;0.0;3268608;5632000;3268608;5636096;82638;3157;196;46;0;12288;3;3;/data/work/2f/acc03ab27b8bf09fabb27d9a51ca5a;-;-
10;node8;65/2d8bd0;nf-652d8bd007f3972ff50401c5111675f1;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1669028267319;1669028275000;1669028278000;10681;3000;-;257.4;0.2;298950656;42188414976;298950656;42188435456;104410677;697579;40851;243;0;892928;15;8;/data/work/65/2d8bd007f3972ff50401c5111675f1;-;-
16;node10;c3/53a567;nf-c353a567f97704c6c85bb57f81e2febb;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test7-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test7-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669028267588;1669028275000;1669028280000;12412;4000;-;216.8;0.2;211734528;4096245760;211734528;4153536512;22277792;3621873;14931;11047;0;4034560;12;3;/data/work/c3/53a567f97704c6c85bb57f81e2febb;-;-
13;cpu14;cf/432be4;nf-cf432be4a6b5c0e9c5a12653ba9ee540;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669028267354;1669028277000;1669028281000;13646;3000;-;225.7;0.1;188502016;4094148608;188502016;4123107328;22266875;4322763;14735;12280;0;4816896;10;4;/data/work/cf/432be4a6b5c0e9c5a12653ba9ee540;-;-
6;cpu14;77/66fe70;nf-7766fe70db0ba15626b53cb2cf65dbda;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669028267388;1669028278000;1669028278000;10612;0;-;7.3;0.0;3309568;5632000;3309568;5636096;132527;3147;198;46;0;12288;4;5;/data/work/77/66fe70db0ba15626b53cb2cf65dbda;-;-
5;cpu05;ce/624dcb;nf-ce624dcb7d845ab2718acda83f704729;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1669028267423;1669028279000;1669028284000;16577;5000;-;173.9;0.2;288256000;16189538304;288256000;16229404672;104429260;697371;40818;241;0;917504;15;7;/data/work/ce/624dcb7d845ab2718acda83f704729;-;-
12;node8;3b/451186;nf-3b451186842bba1ab4e2bb328398be9a;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669028267491;1669028276000;1669028283000;15509;6000;-;246.7;0.4;502304768;4096245760;504692736;4153536512;54488047;3595237;78199;11069;0;4075520;10;3;/data/work/3b/451186842bba1ab4e2bb328398be9a;-;-
15;cpu05;55/2e47b0;nf-552e47b0e6be378eeda8e3d70766a2fb;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669028267556;1669028276000;1669028283000;15444;6000;-;247.9;0.4;495509504;4096245760;498348032;4123107328;55791105;3639850;80708;11157;0;4120576;11;1;/data/work/55/2e47b0e6be378eeda8e3d70766a2fb;-;-
