task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;node8;3a/8b54f5;nf-3a8b54f5517a7f2e1edb333fe57d0375;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669038702272;1669038714000;1669038714000;11728;0;-;34.9;0.0;3227648;5632000;3227648;5636096;132212;3137;195;46;0;12288;2;1;/data/work/3a/8b54f5517a7f2e1edb333fe57d0375;-;-
3;node10;9c/b073d0;nf-9cb073d01d93fe7e928887aa7dc2ff76;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1669038702355;1669038708000;1669038714000;11645;5000;-;172.9;0.2;305524736;42197565440;305524736;42198380544;104411409;697590;40888;243;0;884736;15;4;/data/work/9c/b073d01d93fe7e928887aa7dc2ff76;-;-
6;node10;ef/228477;nf-ef22847732127d183c7044b1c05f08a0;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1669038702440;1669038710000;1669038714000;11560;1000;-;7.9;0.0;2904064;11567104;2904064;11571200;232962;113169;173;65;0;139264;2;1;/data/work/ef/22847732127d183c7044b1c05f08a0;-;-
9;cpu14;35/0e6ea8;nf-350e6ea878db662d230091e20de97a79;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1669038702477;1669038715000;1669038715000;12523;0;-;5.0;0.0;3289088;5632000;3289088;5636096;82652;3156;195;46;0;12288;2;0;/data/work/35/0e6ea878db662d230091e20de97a79;-;-
11;node8;e1/e4c740;nf-e1e4c740fdc54c0db138dd7e2bd8c26d;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1669038702615;1669038714000;1669038714000;11385;0;-;48.3;0.0;3268608;5632000;3268608;5636096;150013;4920;227;19;0;12288;2;3;/data/work/e1/e4c740fdc54c0db138dd7e2bd8c26d;-;-
13;cpu14;6b/73cdeb;nf-6b73cdeb74ba89295a21356d22c8ee4d;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669038702400;1669038716000;1669038721000;18600;4000;-;194.8;0.2;218136576;4096425984;219791360;4123107328;22301799;4322763;14904;12196;0;4743168;10;5;/data/work/6b/73cdeb74ba89295a21356d22c8ee4d;-;-
5;cpu05;08/d227be;nf-08d227bee1272add69ef16fcac004e8f;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1669038702511;1669038713000;1669038718000;15489;4000;-;184.2;0.1;174145536;16172761088;174145536;16229404672;104429381;697371;40821;241;0;937984;14;6;/data/work/08/d227bee1272add69ef16fcac004e8f;-;-
2;cpu05;d0/2fdb9e;nf-d02fdb9e76a321ce7342b3c519d797ac;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1669038702544;1669038717000;1669038719000;16456;1000;-;10.0;0.0;2961408;11567104;2961408;11571200;52256;1090;154;18;0;12288;2;2;/data/work/d0/2fdb9e76a321ce7342b3c519d797ac;-;-
12;cpu14;44/8de86b;nf-448de86bf85951a5d2a004aca5c246cb;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669038702579;1669038716000;1669038722000;19421;5000;-;235.9;0.3;439058432;4092051456;439058432;4123111424;54487222;3595248;78209;11069;0;4014080;13;9;/data/work/44/8de86bf85951a5d2a004aca5c246cb;-;-
15;node10;6f/dc67f0;nf-6fdc67f080edfff8efaec484121739aa;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1669038702687;1669038713000;1669038719000;16313;4000;-;241.2;0.3;454361088;4096245760;455442432;4125270016;55791452;3639850;80768;11157;0;4169728;10;6;/data/work/6f/dc67f080edfff8efaec484121739aa;-;-
